Time (hr),Dox (ug/mL),TMP (uM),Replicate ,
0,Blank,Blank,1,0
0,Blank,Blank,2,10
0,Blank,Blank,3,5
0,0,0,1,"4,467"
0,0,0,2,"5,135"
0,0,0,3,"5,058"
0,0,0.1,1,"4,884"
0,0,0.1,2,"4,358"
0,0,0.1,3,"3,996"
0,0,1,1,"4,911"
0,0,1,2,"5,308"
0,0,1,3,"4,905"
0,0,10,1,"5,392"
0,0,10,2,"5,220"
0,0,10,3,"3,543"
0,0,100,1,"4,585"
0,0,100,2,"5,063"
0,0,100,3,"4,409"
0,1,0,1,"4,998"
0,1,0,2,"6,139"
0,1,0,3,"5,312"
0,10,0,1,"5,056"
0,10,0,2,"5,543"
0,10,0,3,"5,945"
0,50,0,1,"6,703"
0,50,0,2,"7,002"
0,50,0,3,"6,004"
0,100,0,1,"6,778"
0,100,0,2,"6,491"
0,100,0,3,"5,793"
24,Blank,Blank,1,0
24,Blank,Blank,2,250
24,Blank,Blank,3,
24,0,0,1,"96,048"
24,0,0,2,"92,805"
24,0,0,3,
24,0,0.1,1,"91,291"
24,0,0.1,2,"92,239"
24,0,0.1,3,
24,0,1,1,"94,200"
24,0,1,2,"96,258"
24,0,1,3,
24,0,10,1,"90,123"
24,0,10,2,"88,108"
24,0,10,3,
24,0,100,1,"79,746"
24,0,100,2,"76,631"
24,0,100,3,
24,1,0,1,"87,237"
24,1,0,2,"85,534"
24,1,0,3,
24,10,0,1,"78,114"
24,10,0,2,"79,958"
24,10,0,3,
24,50,0,1,"22,331"
24,50,0,2,"21,496"
24,50,0,3,
24,100,0,1,"15,705"
24,100,0,2,"15,666"
24,100,0,3,
48,Blank,Blank,1,
48,Blank,Blank,2,670
48,Blank,Blank,3,0
48,0,0,1,
48,0,0,2,"260,094"
48,0,0,3,"191,357"
48,0,0.1,1,
48,0,0.1,2,"256,416"
48,0,0.1,3,"215,474"
48,0,1,1,
48,0,1,2,"251,177"
48,0,1,3,"180,767"
48,0,10,1,
48,0,10,2,"224,152"
48,0,10,3,"198,261"
48,0,100,1,
48,0,100,2,"151,705"
48,0,100,3,"125,346"
48,1,0,1,
48,1,0,2,"151,722"
48,1,0,3,"144,804"
48,10,0,1,
48,10,0,2,"60,809"
48,10,0,3,"64,200"
48,50,0,1,
48,50,0,2,0
48,50,0,3,0
48,100,0,1,
48,100,0,2,0
48,100,0,3,0
72,Blank,Blank,1,0
72,Blank,Blank,2,666
72,Blank,Blank,3,
72,0,0,1,"551,133"
72,0,0,2,"488,467"
72,0,0,3,
72,0,0.1,1,"533,619"
72,0,0.1,2,"459,566"
72,0,0.1,3,
72,0,1,1,"605,034"
72,0,1,2,"556,863"
72,0,1,3,
72,0,10,1,"570,497"
72,0,10,2,"511,085"
72,0,10,3,
72,0,100,1,"229,386"
72,0,100,2,"187,775"
72,0,100,3,
72,1,0,1,"396,310"
72,1,0,2,"329,336"
72,1,0,3,
72,10,0,1,"111,570"
72,10,0,2,"120,268"
72,10,0,3,
72,50,0,1,0
72,50,0,2,0
72,50,0,3,
72,100,0,1,0
72,100,0,2,0
72,100,0,3,
96,Blank,Blank,1,
96,Blank,Blank,2,"2,560"
96,Blank,Blank,3,325
96,0,0,1,
96,0,0,2,"960,868"
96,0,0,3,"860,198"
96,0,0.1,1,
96,0,0.1,2,"955,573"
96,0,0.1,3,"854,783"
96,0,1,1,
96,0,1,2,"939,287"
96,0,1,3,"872,919"
96,0,10,1,
96,0,10,2,"811,516"
96,0,10,3,"720,002"
96,0,100,1,
96,0,100,2,"227,572"
96,0,100,3,"213,763"
96,1,0,1,
96,1,0,2,"385,255"
96,1,0,3,"562,042"
96,10,0,1,
96,10,0,2,0
96,10,0,3,"70,071"
96,50,0,1,
96,50,0,2,0
96,50,0,3,0
96,100,0,1,
96,100,0,2,0
96,100,0,3,0
