,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
,1,4042.08840043054,4110.48947161766,4118.65445437438,4148.99454176747,4251.52767035118,4310.16276240833,4113.14827664396,4114.20834104595,4136.63526895141,4131.23098510427,4194.14521298105,4118.24959547819,4051.64956568291,4092.07568075896,4134.17350714808,4106.27490953558,4241.62409986219,4260.41654125779,4133.59726732186,4092.40095867131,4159.94687695197,4104.24347760376,4271.16103677864,4183.67437741259,4081.16189291966,4048.87737919573,4085.66632126624,4067.01926125211,4193.5636264923,4227.42192007561,4180.6315831395,4120.97485859213,4202.08514697492,4139.90565480212,4313.02491282233,4233.91962080868,4052.14847054429,4076.62980707835,4118.0690817519,4112.53590404066,4280.97866053087,4264.38710226967,4134.88357940621,4138.9976412103,4118.81732466459,4086.31274402856,4202.9904402907,4222.29493817876,4053.15970839139,4080.23801812622,4113.88221254078,4092.0489010205,4251.89071960256,4221.00787523032,4127.80012869079,4115.84510651976,4112.14233502053,4047.7169215764,4248.47549461589,4198.27969362328,4014.00592179872,4056.66789587592,4098.55724920278,4070.96857054273,4233.77727189242,4279.52586668173,4183.31628272363,4141.18967371281,4113.1426194206,4118.8269995169,4316.81545692488,4301.5390700209
,2,4064.09379827822,4115.29330711972,4119.90451994989,4153.55339512153,4246.36220867513,4310.1557191503,4101.45613365153,4104.18031786116,4124.40675794853,4117.71212409324,4187.24008426469,4147.03491148612,4063.72142489652,4097.01300034182,4121.49531581582,4102.23730798014,4239.02133518953,4264.58884654457,4130.07163296753,4085.97611150833,4155.6608025534,4091.35765883263,4260.70857200201,4196.53579815168,4088.0001743096,4051.10614362489,4079.55075407537,4063.38247607088,4198.92596541361,4224.35755642685,4183.54034595948,4126.55992265498,4204.21632896001,4143.93272535781,4316.09697829154,4234.04704551368,4050.705715075,4081.04077767885,4121.39566332891,4115.2811883437,4287.84050243106,4272.10806383862,4143.95899587749,4144.41595786154,4122.9564920658,4085.87848672167,4194.63745828459,4217.9348369881,4056.41375078766,4072.98286440431,4110.97352839873,4087.05637580135,4257.60965528331,4225.07533024264,4129.21354822946,4114.74540603784,4109.67571306455,4041.24719380304,4233.68466283696,4194.13771619135,4008.79492094989,4061.07534081149,4103.07850643804,4068.45406281826,4236.62067751186,4273.20905443091,4188.96639752589,4150.00317588008,4114.21334738564,4105.26705209836,4308.16402161803,4296.78699039083
,3,4070.75971178868,4124.11808525211,4120.94914770564,4155.59864020027,4254.17799587894,4313.7778732476,4103.66079236314,4104.38995341549,4127.71381907966,4119.23575720296,4187.99354581518,4164.95275404802,4061.62470582026,4096.47204700009,4128.61644337645,4104.20745604392,4242.06141144366,4268.38988560414,4130.11724514714,4081.65451979927,4150.59017753206,4093.34380410784,4260.914974382,4204.16197385965,4086.94100169405,4052.56307247111,4079.26093748005,4064.51471554625,4201.46876574379,4225.57714000784,4185.25022448058,4126.08071132719,4204.60826733834,4148.02028585138,4312.14946836525,4247.74441780665,4047.7044895031,4086.58769798783,4122.94351574432,4117.45106137366,4296.91680513418,4276.24463210083,4143.89185548336,4147.83831658973,4122.71850683666,4091.99725703497,4186.87961912217,4220.39174929538,4053.22065927691,4076.36463264243,4116.78839299675,4088.5589899505,4258.99686351196,4236.15328480679,4126.85217794179,4114.26964759847,4115.09764247461,4049.16340333302,4239.1851420339,4195.61605147562,4008.87656004076,4055.25526775288,4102.75932944193,4068.92140160549,4231.40450600644,4280.62586289217,4180.23721226373,4142.50711568107,4113.40744169565,4100.53837345767,4303.33250347914,4297.20612887929
,4,4077.23956410912,4125.17555609684,4130.79180364176,4156.21382885493,4268.87786075985,4322.77000580977,4103.45775019595,4109.90344849919,4126.75315572132,4121.59353966802,4196.3254005373,4177.67964431688,4063.72336237876,4098.32914976923,4140.17419436338,4103.86019241593,4254.97785619888,4278.77968462091,4132.86698187135,4089.62586461952,4158.71431806824,4096.46569034038,4268.87781795393,4214.37619386228,4089.31667555106,4054.42791185709,4084.88047246397,4068.20083682353,4210.19484825433,4225.28242089015,4194.32697450758,4127.91023943611,4204.5946818906,4153.91509019994,4323.36224328632,4255.04969863654,4053.22214700477,4089.98911110639,4131.49766719965,4122.16331994921,4305.91453629792,4287.30435367137,4155.39748481369,4155.35453370045,4130.75155586414,4099.15519201647,4196.69160849289,4230.96693173157,4060.23337540813,4085.36210634499,4126.92709278389,4099.10381216594,4271.58864371332,4249.2108262288,4136.91707082434,4122.43407499779,4118.23984016223,4051.96754614915,4243.06985531428,4204.86682707354,4012.72843093377,4062.21993830483,4106.03544774741,4074.67619591118,4249.17798893272,4289.63311213219,4191.34023704878,4141.92101076054,4117.77992751504,4108.37093578131,4314.51662000719,4301.25033999261
,5,4083.43267574479,4127.99666626638,4133.44688232111,4165.40927154509,4281.65921939751,4339.63369733184,4109.91592505031,4109.68552015777,4132.79167187031,4127.96076954753,4205.94116327254,4185.93822857623,4072.32912317222,4101.00738814752,4138.47984967559,4108.08311824072,4273.39081783523,4297.81796226345,4140.96365896456,4095.12880139639,4161.57402423614,4104.95254402129,4275.94701904227,4227.30919408015,4093.873474567,4062.13451030292,4091.30844447786,4075.94191738368,4223.56585387579,4241.58196428795,4199.37186516387,4130.97396069049,4212.26998488388,4162.23042998111,4336.50318529992,4277.35104314818,4062.35837630327,4100.06155673123,4144.48302200822,4130.40074956057,4323.71688087066,4306.61209028839,4164.96083346135,4156.99606562721,4140.5744717568,4103.27853564077,4206.48934578161,4244.77698347765,4073.83257490005,4084.77496900559,4125.73891575619,4103.30201993071,4288.00692356645,4263.2858220237,4142.85359312565,4126.37758231689,4123.25353052899,4059.75012784178,4262.38575175136,4216.16319782741,4019.32161889886,4068.15147660411,4118.27733834071,4074.99481471298,4257.16869924904,4299.3656056947,4191.92298424389,4142.73722013039,4123.47218839115,4114.51842155403,4325.22485597529,4314.32366987491
,6,4095.07484895265,4140.32427162146,4144.50707805661,4168.31169311481,4312.33563533171,4369.42842752579,4115.86896778757,4118.51601149054,4138.34609632804,4132.63652426955,4217.63619534757,4207.14025143717,4080.0602930846,4112.24401386926,4149.89632254897,4122.57124174182,4291.65812420077,4319.04277932592,4145.14612963988,4099.06461221664,4166.53807285583,4108.2674373387,4297.19849693883,4249.56018347028,4097.49518963985,4068.8957836899,4096.10773245534,4078.17214223361,4243.73830610235,4264.11606595893,4210.32755211275,4138.21983299862,4223.85161114435,4170.53939325501,4373.4811618133,4301.87532801817,4066.13858097045,4102.56590730969,4141.32890034958,4133.68762124068,4353.58535858613,4332.31135456536,4164.78103490326,4174.96597604437,4146.11747371556,4111.98669951188,4227.79789141628,4271.01594071816,4074.56602850319,4093.83317156561,4135.73206657188,4109.50239152817,4314.98144535397,4290.32931110708,4143.31045193716,4129.01461500131,4135.48794150331,4067.46547119995,4285.52034854008,4248.55393113704,4022.14988070948,4071.57497647833,4127.74330525344,4079.16594928958,4282.75083408221,4327.7048077929,4192.93811354055,4142.47566082416,4127.4407169312,4122.68725272137,4349.72468018954,4337.02309865473
,7,4100.71128065675,4144.61919414009,4142.755397613,4177.44861866593,4354.16542206288,4411.89821052044,4123.02220593332,4118.68172578966,4140.56419644092,4136.70503617093,4243.54896771015,4231.07264303886,4091.22031237065,4118.54899184684,4161.53498620572,4120.63808266217,4339.8515367612,4366.97222301391,4153.45227163021,4105.42873899772,4175.81497591051,4112.9017776157,4327.76228172624,4285.64556377569,4103.91961151863,4072.44162389628,4105.97863170999,4088.70575076082,4278.06360196252,4298.70299210538,4220.59801821255,4149.82057006857,4232.24581778968,4178.30869301033,4412.21233316851,4348.01046818683,4068.86811461991,4112.08088228097,4151.26097008732,4142.98970052572,4403.65429061314,4379.97273195751,4178.72173373916,4180.57045385002,4153.27094236493,4121.61804224619,4258.53265886669,4316.80434048334,4079.02584694503,4097.67070120178,4144.57966337597,4117.56745638418,4357.23251995823,4326.77602769979,4154.92424891636,4135.00964365483,4135.98227193944,4073.6095530842,4331.00930027585,4284.97120318848,4028.10595313464,4075.00033793416,4132.31270323099,4078.53097477523,4329.39874365714,4367.30945115316,4207.4690660912,4153.9706479375,4134.77097892094,4124.79860577538,4394.30023658466,4378.08244308856
,8,4110.43034383783,4151.96088941564,4158.36452000056,4183.73883010247,4428.8759418924,4498.34791103258,4129.45738124634,4126.5605805509,4147.34081943986,4146.47357038224,4290.69534566901,4282.25799941059,4096.20036063226,4121.20877792116,4164.28110780024,4128.24436970915,4419.35816857946,4442.443879143,4159.99300990118,4111.78223434863,4177.48805779758,4122.90429416175,4387.29157133448,4338.52974143664,4108.66031736249,4079.56641274967,4108.45934836496,4086.28155397586,4336.537911482,4351.18593901125,4225.34221457542,4155.60844550779,4240.49320936004,4187.56165579688,4489.49721668465,4423.37666702059,4077.2044570202,4124.47754138905,4153.97866651283,4143.76369041117,4490.05770704673,4467.29634083565,4187.72930231083,4187.03383473447,4161.11614417459,4126.84122198024,4322.18597484462,4400.7840238,4082.75676451611,4102.44765592536,4146.84057648418,4129.4179455612,4428.48054565086,4410.69136963319,4162.36861829758,4142.59314804035,4151.42536526731,4085.75191041736,4406.43945017847,4366.59983004743,4034.09677308793,4090.03383182194,4137.65754072793,4094.37466731021,4411.76997030891,4445.39438962084,4208.07423022006,4158.40278368561,4142.33170272867,4135.22035846029,4459.00796884281,4445.04640813673
,9,4118.8401899222,4164.63629484055,4164.54130632768,4194.91225269586,4576.65295620793,4644.42508190932,4130.70536558305,4129.60877068966,4154.11226081927,4147.41288465883,4382.4596076574,4372.37258009488,4103.10002869153,4133.4149098539,4176.05478179042,4141.16263028664,4551.93974883843,4590.6514626289,4164.54496861204,4110.97038015327,4182.30057883162,4131.29611594406,4495.31861800715,4438.37882990086,4115.73625796811,4082.40099732582,4113.32992315992,4102.48550172612,4442.69330809795,4453.16680580841,4236.54973203595,4164.76605955147,4249.27501254575,4196.35745898189,4636.15010494882,4574.57708338653,4084.88316361473,4129.39863082637,4170.53305376603,4162.05683145567,4651.00393660267,4629.38468577523,4193.8211652918,4191.81908502244,4173.60981355916,4141.63137356078,4432.06758999574,4550.33848271867,4091.75664228718,4111.51573375691,4158.42507533947,4132.89392981212,4563.77685260764,4534.47282765942,4166.78522021238,4143.72891589835,4156.38608583955,4093.71639603023,4552.62276115283,4510.74995033409,4040.74040471534,4089.05144512168,4144.46968097776,4099.7361577468,4551.12536364991,4588.88716687954,4214.91993968472,4161.85185212864,4154.5897230967,4145.2030377162,4595.18839748651,4578.33242913094
,10,4125.61125710105,4170.1337223668,4178.12303971185,4203.30438883504,4834.7174535951,4915.93594769626,4137.28884858701,4137.98612915144,4156.76146689389,4153.93730039856,4548.33101635174,4541.96029401852,4110.5475935569,4144.76346176395,4183.9440374186,4150.22190335945,4813.41031767956,4850.42947252283,4173.84660864231,4120.73089552647,4193.67737440702,4135.44829952195,4685.56788432353,4619.97778013321,4129.58108454941,4092.32284770028,4121.24906513111,4110.25834348781,4638.31077764094,4642.79261492291,4247.78909472469,4171.05014063216,4259.58922889672,4206.77490537578,4895.16249109802,4831.93504841385,4087.40892346817,4134.81714266462,4180.2010060165,4171.55201501265,4937.38631361434,4911.97593645876,4200.5888611215,4204.60244098603,4185.84037083104,4150.70496342025,4643.26113605248,4815.2406292515,4101.97683769585,4116.61630699174,4165.88222524556,4145.05917859349,4815.89797684246,4782.93590611247,4176.2118892951,4154.78178939516,4169.75483950811,4107.49291411111,4823.82313269562,4769.16478962799,4050.85401015822,4103.49467444827,4156.58816309697,4107.93006755099,4814.89643591984,4840.24679146066,4224.20878562329,4175.241150246,4159.3250413472,4155.19844036829,4842.74953841451,4822.39962112204
