,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G7,G8,G9,G10,G11,G12,H7,H8,H9,H10,H11,H12
,1,4218.61604506116,4248.92910031341,4177.26064073012,4254.77611402937,4333.28362961346,4371.7828813907,4319.78645107042,4247.89487108618,4230.60141175358,4226.86451620504,4315.69139967253,4229.04242158305,4234.36606130099,4238.26831091864,4209.20631444765,4200.55177638918,4305.74079714005,4339.12483568679,4232.48995987161,4197.98333150553,4181.56282706349,4116.40465559963,4309.40390218774,4261.58866316234,4224.51703952793,4188.03341552286,4150.4100313761,4164.36819108753,4238.0818440319,4333.21954337741,4316.85283204808,4307.23427345855,4192.99984120193,4174.33314750061,4392.22723435044,4386.78901289996,4276.69266109823,4280.82286607049,4244.52699741775,4267.72076470283,4741.15799808664,4426.53625401583,4408.60016284229,4390.76081259446,4343.34061855195,4298.61178107999,4532.61674125492,4596.77507558569,4283.08129429168,4191.32527959653,4170.88135993051,4196.11402572782,4344.05592734473,4377.99838577715,4298.97344785972,4313.66115853148,4257.29514009624,4278.73157948516,4458.88388757027,4542.34165529096,4134.16830918711,4180.0751145332,4137.35774530654,4158.36437942774,4293.10374132906,4282.98518176266,4357.25242820399,4314.55189286793,4234.93663928124,4203.57799183485,4356.89689921251,4402.60549456776,4210.16237454539,4232.22059047841,4176.99183575505,4181.80663098757,4368.57869545368,4309.34331526866,4246.07551187192,4204.71463527607,4168.49509107077,4240.16529853103,4402.098874609,4337.8053020126
,2,4231.96825914789,4244.05645796301,4170.32536025694,4248.48274317854,4317.94822965301,4358.35207158435,4300.4572620799,4226.11589244511,4221.79176878376,4212.54168426585,4299.85335184527,4254.64332058967,4225.66124153156,4225.70860436544,4203.03908649091,4194.67815087157,4296.96173115436,4322.81578309199,4221.4959452347,4187.6443863646,4164.47009058504,4096.99821772213,4293.91921013389,4266.59359522332,4218.76801477096,4175.39339484515,4129.46447549592,4151.77267676002,4226.85554889068,4317.30692170009,4296.83205666144,4286.80579819356,4179.63793867162,4160.94315799161,4375.51699716633,4376.30804682338,4271.56164610338,4272.30112662703,4248.33089591172,4262.33001145895,4745.28139284877,4427.20189497906,4407.8276932809,4387.98276180198,4344.03260610891,4297.98625655298,4527.22932126627,4584.2818938164,4281.85012033451,4189.03860481617,4166.44993411837,4191.77328783306,4341.75360815055,4381.27499187404,4299.05647708495,4321.89663174504,4258.38530696788,4276.2872689168,4451.99130881827,4528.48580986162,4119.60996938133,4163.9273155169,4141.3515396013,4141.97809127978,4265.92720126076,4276.40463340009,4352.20329613746,4312.85746426999,4238.46208383247,4202.89645414479,4349.74754190018,4392.52746651207,4210.51822605226,4237.80695764134,4175.69906597098,4185.10751073883,4366.96101947848,4304.23825672653,4245.53373463214,4204.45413540589,4169.70312178965,4233.59601314387,4408.98380279489,4367.73835629981
,3,4237.02602815016,4262.06553295595,4174.90405084153,4250.47186416691,4324.3663774763,4359.40516556172,4298.71847071491,4224.84192718549,4214.88372931907,4206.22612634546,4293.6873542121,4262.73829342467,4222.81140250917,4214.97641982977,4204.54871959861,4207.24430491479,4291.82853738682,4314.85674983675,4216.50310317129,4179.4881702131,4164.57253175661,4090.44755558607,4282.06933387647,4260.68037608758,4217.9295969882,4176.56365601071,4141.59886536181,4146.85142751192,4225.35818971469,4309.00650636049,4295.23244030493,4291.03462103638,4182.68158698405,4161.14578849834,4373.08630979281,4382.01045370914,4272.47260821777,4280.84255734699,4251.11945618449,4267.87265255096,4761.18866259886,4427.21464041763,4415.52833225841,4398.2082717403,4351.52160396092,4307.29564723026,4536.89669090915,4599.37458539114,4276.22174498531,4188.88731852097,4170.64881123509,4194.80419099683,4350.56145430304,4382.58880508886,4310.0800608169,4322.53478242424,4264.66645844157,4282.43421006204,4457.48857902113,4540.93648769792,4112.19114444556,4158.33850653835,4127.31981994954,4128.93565806007,4261.97174856769,4269.88194419128,4355.83283243364,4319.24864237026,4237.81497966319,4202.14809024407,4357.69120645718,4397.74874657059,4208.96050363001,4235.22843425715,4176.04426163711,4181.77578569583,4367.60030051416,4307.67067500723,4247.50725375515,4208.96035744297,4172.44062012908,4236.12925504677,4427.9816011077,4373.15831250459
,4,4241.35558975698,4268.67319722857,4178.55070079468,4247.38671194469,4324.76503113205,4385.82427068699,4297.58903297082,4227.06169421591,4214.85998979255,4203.78499775401,4294.17586893647,4272.32975282757,4220.29807622482,4219.25282742073,4200.94528623212,4209.42855197391,4296.58073885027,4320.9081087848,4214.20372946494,4177.13991328919,4161.58432230178,4086.87583199068,4290.02203328941,4256.09350957179,4216.17993272918,4174.57050811839,4145.090237259,4150.12087924733,4222.87716925937,4310.39804778084,4297.68116809164,4290.14490832926,4184.30150400882,4161.02065100596,4375.31253232548,4385.97742452483,4282.1724165429,4282.19483370695,4263.16128570495,4275.41733049682,4775.45413662603,4441.54638003337,4422.46388375962,4401.13683404371,4355.92916812596,4310.36735770439,4556.03758044008,4613.05272220704,4284.62268866054,4193.76256284458,4179.17997891611,4199.1168341906,4356.25134399676,4396.3630982909,4318.59369993987,4329.02190566942,4271.61735949513,4290.53718545062,4473.71382737611,4553.40422759004,4115.10212948358,4164.93910071188,4134.24007049193,4139.66146021681,4261.99979710564,4273.19764220125,4365.79774236127,4328.38652727653,4238.51651468448,4213.99280134263,4371.70179598804,4405.71371997485,4213.33743102414,4237.84478692455,4181.07709818957,4182.38901239807,4371.15100763638,4317.42342888699,4248.40268203624,4207.35686303034,4178.46264314921,4241.6160645959,4433.19011403477,4390.13721499317
,5,4246.86365955983,4270.52399927186,4181.52869366353,4253.98460973253,4330.60439667991,4382.44204184805,4298.13570194343,4228.68685501788,4219.37214925825,4209.20947973359,4293.7545814102,4276.98126654833,4218.6355281148,4222.60074509248,4207.50367477531,4209.77160944867,4297.16692797087,4316.34841571148,4215.36913710811,4178.59726770682,4166.90352019025,4081.99099990863,4287.96344434329,4260.81108290729,4215.56722930836,4173.8910136301,4141.59205509478,4150.3289347477,4226.73996175644,4305.82227352633,4296.96336196956,4288.68000365672,4183.0715820681,4163.83444142692,4374.51147743749,4391.35689055344,4279.03180963916,4283.66381659739,4262.11364182814,4274.09333589614,4788.38958109,4452.48714554831,4426.93304629586,4409.39386237246,4361.96488503377,4320.06404146851,4569.71011532975,4638.18204107309,4284.16118224356,4203.53817563325,4184.94893861363,4207.79022577348,4370.48181048762,4402.38163903454,4320.8310522479,4328.09074042336,4271.87681586969,4292.13994242236,4488.71694770932,4573.4638757555,4110.48632825761,4158.30134973392,4139.06652919148,4133.84311339921,4261.33312615402,4271.63846760077,4374.06847791153,4330.73240211472,4247.33723906914,4216.96095165266,4387.15015513549,4423.47257424499,4214.74311353955,4230.83072367077,4179.69379509111,4187.10656375078,4381.23279480863,4324.13823917915,4251.70453997148,4214.57140462891,4181.19404679622,4248.29396987369,4451.02268632457,4400.70843013879
,6,4251.14266041814,4277.33699321421,4186.17288508871,4253.8056159835,4340.8695813123,4393.54935930039,4297.32275270549,4227.34293626618,4223.03302960052,4206.15607798029,4296.57352672072,4278.96769069039,4225.73404326478,4217.05009291443,4213.37263105147,4210.55876175474,4300.87339602256,4315.24337380195,4217.48124603082,4178.89933110288,4162.29898193969,4079.36499162688,4290.03906326653,4261.10759303025,4218.79364596348,4178.06734067265,4143.07936863194,4161.63389344004,4221.75573175487,4305.75576439023,4296.56492802789,4290.62071576859,4183.61010438106,4163.22273256135,4375.02702190468,4390.06121279833,4281.00832342337,4294.20620512325,4273.81590676376,4279.13676612895,4812.47659253204,4472.21989308782,4431.45613815516,4410.51890997226,4368.24325054049,4327.09370884202,4608.79311947349,4671.47265791647,4284.05886562306,4204.43218118106,4188.89208286582,4212.19967633712,4385.97697658863,4418.40296486217,4329.84943149631,4336.84501800572,4275.19352466256,4296.58580980525,4523.12015914763,4607.03633059059,4108.94508285309,4172.20623819161,4132.94108395177,4137.32921976672,4262.43100303175,4274.64460902886,4376.32789273536,4335.9036336863,4250.14534674536,4227.87826480736,4409.93718229839,4449.51931055427,4231.50230729485,4243.88342235992,4184.89744116196,4191.40681123907,4400.49470800751,4342.63498087506,4258.85746127297,4219.83185232773,4186.40027245377,4253.24005392391,4481.91331455233,4426.42862934966
,7,4255.60264986401,4279.34606490743,4191.84556330166,4263.94499631586,4349.71615353635,4409.30100091462,4298.06796497114,4228.689955339,4218.72953531415,4212.13090349946,4295.64783575548,4278.32164589755,4233.23300064799,4218.89256158932,4212.74783797989,4209.55346992562,4301.6117382913,4323.02612840888,4217.1233891858,4179.99649217569,4164.67131169503,4078.59654908596,4287.24330235544,4260.93864046551,4217.42245924303,4172.74737826922,4146.96839638899,4165.54001067379,4226.60081098783,4307.49456683468,4301.444695349,4293.58264079008,4190.38141290996,4167.88433030749,4383.98468302556,4400.98089736573,4286.62198302254,4298.87132876463,4282.3877682808,4287.90655278453,4840.67051610698,4496.95596793116,4435.89805158131,4421.68903740434,4376.99318408471,4337.74251696636,4671.38543645437,4746.25124235208,4288.55042114309,4203.08457938414,4199.22213656054,4213.39431390146,4411.160235971,4442.05291330466,4331.80856290952,4342.42612805492,4281.59601439137,4302.70620639517,4579.4917819965,4669.78198013566,4112.52870345923,4169.34196037577,4141.10669030381,4137.66975703785,4262.7681583972,4271.46971519781,4387.42015335624,4340.94371947062,4258.52113854391,4228.79556545162,4459.90824780939,4487.34760406133,4230.82327369729,4247.92129494338,4188.91531629768,4196.74902014934,4434.64832743675,4377.69823698901,4261.66499458684,4229.08806451627,4192.23080622572,4262.46118516289,4533.54295258334,4471.94529073673
,8,4257.84295619233,4285.18976945904,4194.04800786437,4265.54407588371,4368.31304890129,4431.73450994903,4296.42438984262,4226.14584326249,4221.64143122759,4210.24800449479,4295.34038210527,4281.53357759617,4231.19010256867,4221.79263361263,4218.90308241184,4215.06201632391,4302.46767627307,4326.42525177052,4218.36757954996,4178.50315984675,4165.72019425447,4077.57984780448,4290.17635239664,4259.52426128177,4219.84458534843,4178.89718663078,4153.92613217975,4169.09957172543,4221.47457621865,4307.37813679745,4304.01171498486,4296.81190568635,4194.19875031781,4170.94558006828,4395.2442624128,4411.53274921545,4291.64382241983,4297.27295357813,4282.505171007,4296.75932860425,4902.52322523583,4552.18930254499,4446.01730196223,4427.18690354862,4392.40156491115,4349.47595772134,4787.26980927004,4861.40922958274,4290.10036286641,4210.51625813881,4204.95396103,4216.78791664313,4466.80761385402,4497.45754748265,4341.5135638144,4344.91039756541,4296.31580324988,4316.03688723298,4690.51152354781,4782.26682345406,4109.369123574,4171.87656273505,4137.43744162335,4135.75048946066,4259.10407765292,4271.22426961209,4389.88018151865,4347.34792465091,4264.2777163331,4241.31476878203,4531.78418312236,4567.71299236764,4237.15509684682,4249.41571117854,4189.6801489167,4197.56248135894,4492.92957546577,4431.09376392686,4269.99096556515,4227.90252437467,4196.51162877795,4269.3129454709,4623.86397961319,4550.50331301056
,9,4263.20502935031,4287.25226104796,4201.86188738042,4272.56668949957,4412.95656128914,4467.16187781762,4308.78452056739,4232.4087348961,4224.33734145716,4212.81849859815,4299.41725178832,4280.84710212674,4230.43110972787,4222.52945555731,4223.1040543911,4211.5322792219,4305.74690551581,4327.33804026371,4219.38013169039,4181.02154846154,4169.25130566691,4073.91282411936,4285.53044302989,4271.48945960644,4217.3058365658,4177.07191575602,4149.58674389493,4165.28151637208,4223.82928034537,4314.68012478001,4309.79252304268,4297.12850801364,4199.70053267173,4175.85072644232,4411.05943461576,4428.22019532216,4292.1982311334,4306.85601745225,4301.54966540563,4309.57826166513,4994.98291641675,4647.96634491316,4448.86652300351,4435.5115849964,4406.63025621795,4361.74736846661,4985.24846794385,5074.63910688281,4291.9268855273,4218.61697570281,4211.31490328717,4229.46057171031,4556.91712141833,4586.63607159448,4347.55668698755,4350.97039333539,4309.61103961061,4327.91716458239,4887.17301116488,4996.63167534584,4107.70967578512,4168.3619580752,4140.90350194959,4142.81813213101,4267.47415162312,4273.1400004476,4405.61057413202,4360.99720230774,4281.26637208643,4249.37749771537,4677.7635849032,4714.80485872439,4244.8825786254,4261.75447361607,4201.63924193283,4209.36742870237,4612.81003537057,4537.43314072436,4276.59254628171,4240.48971930434,4210.27714958715,4277.59210943606,4786.41904506897,4689.78661200731
,10,4263.75359794155,4285.41226137927,4208.80666898147,4288.82162872336,4476.33042367507,4538.23606436087,4300.28372927786,4235.12517930517,4226.00198471962,4214.41586531573,4298.72402312096,4282.62571223228,4231.35233985599,4220.76653411838,4220.77520918321,4215.36824213794,4309.86214904994,4332.45481419642,4217.23048626498,4181.82025640702,4170.54193720271,4080.89626416636,4290.87102578006,4274.12570116514,4219.03818955306,4173.50622741306,4150.56456979369,4170.93966898762,4222.68337110568,4309.13342152432,4306.96097634006,4293.73485413144,4206.61691345745,4181.6353661602,4439.40738208964,4455.26762230806,4296.94330513875,4316.79911977829,4314.96057599449,4321.91084260628,5151.58587459737,4823.00332950965,4464.39543982301,4441.75170672525,4430.43327744947,4383.44285751464,5323.31978046445,5437.45777660104,4292.36397519451,4213.39838153037,4222.33156553485,4236.98001120583,4727.68238128904,4750.09873064971,4348.88902597648,4356.15254616151,4325.69672270232,4346.59860700925,5222.88224866694,5350.31261973827,4112.50137292638,4175.88671453086,4136.79463255185,4141.34853125946,4269.78967934407,4278.38784675432,4408.27301065658,4362.23347420459,4286.93874430156,4261.73775062033,4926.44819343394,4979.26810034485,4248.76157153044,4265.84443835157,4200.62602044044,4215.88044861348,4816.53904920582,4728.71385044998,4286.37247609134,4248.36372303057,4218.89982084105,4294.07593606251,5086.79284402283,4941.98183841192
