,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E2,E3,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G9,H1,H2,H3,H4,H5,H6,H7,H8,H9
,1,4953.34860055365,4957.71909310949,5010.54941410015,4899.66129551177,4935.11531339569,4980.69946185565,5167.13627560668,5157.34151029015,5187.75201911195,4886.22672631104,4946.96689495825,4832.31696417645,4986.81627570354,4964.58287664365,4957.20511779346,4903.7133260125,4882.19256504567,4921.14148318421,5188.53603090022,5178.52551376515,5239.30396304258,4782.7938424785,4822.80864652789,4771.09831296154,4933.83923297265,4939.77448753812,4896.2029116923,4825.78177194491,4869.95352223955,4915.9054193735,5217.76584175041,5084.48092615005,5161.45405757141,5039.97766605616,5102.6290388399,5017.32596875464,4917.93542342734,4977.26939787406,5003.11572281745,4879.43716665598,4914.00547888134,4916.9010812433,5225.73353520367,5161.86979249084,5177.43414070473,4922.49984732256,4940.16326316681,4885.06139314387,4837.80638772646,4897.30357509055,4879.91572065033,5014.51193044122,5056.82448494535,5120.99992096592,4871.24378547041,4884.92778816595,4839.75122827542,4790.36199718165,4845.28323660345,4753.92734402356,5169.7492532894,5091.36015951834,5136.56151211524,4969.53610936895,4850.22100878894,4854.78321697675,4795.51988440022,4832.15664233245,4747.39091764588,5117.68403541089,4964.26490679644,5046.82415922239,4891.12292891419,4858.44688428467,4873.61699470526,4726.4942900627,4809.45537156703,4748.24448279644,5123.96549905308,5061.11949301633,5188.32784727741
,2,5031.54409130742,5008.7242665138,5066.64502355652,4954.0830213117,4993.09625045671,5029.32157572637,5215.20312522329,5204.19190217012,5239.48190433877,4915.49371249581,4989.66155514061,4927.93917426573,5019.95703297848,5017.03445698445,5006.40740847776,4953.03665079738,4932.55084348052,4960.65614119582,5241.50362220786,5227.89003274905,5290.64289591946,4834.23389171273,4880.41454965122,4828.74417430907,4985.38498221674,4973.80044272053,4929.67184357433,4870.95625436074,4918.89264081944,4960.13560774911,5258.2986768127,5146.17393234801,5219.32007614246,5082.3833651605,5148.44610229718,5058.73455199507,4962.26373519683,5029.97717260616,5038.86825462692,4918.09416621179,4964.88943291775,4958.00763417826,5279.64653711734,5218.46751257707,5230.61014122817,4964.72746002821,4984.24923070289,4919.66280954176,4892.19126689615,4948.06012773467,4919.57216573894,5056.42135180527,5102.78047723352,5172.6737144317,4898.22754954447,4924.76774879751,4880.34265298137,4829.70782989813,4888.6808654117,4798.70503986003,5205.87540456851,5119.69064810518,5187.29832821487,5011.10515484933,4902.83571712831,4894.42858882987,4837.07290178226,4883.71027474323,4800.04803995709,5166.70842535702,5002.01704249215,5099.0694102295,4941.07783170308,4899.99795360999,4922.82636580542,4765.10384798646,4860.0919981838,4793.78190722093,5171.42973559598,5096.77013156966,5245.74009287196
,3,5064.1820695671,5047.51036724234,5105.84728173877,4988.46144179967,5027.76647378919,5072.83773724756,5270.05792800677,5250.89840518844,5295.14023049621,4948.29939995005,5022.13013588255,4981.08695755879,5059.13091180795,5054.94532747497,5042.34417937826,4991.13261198643,4967.56572597769,4997.97944622854,5293.90585186122,5278.5732997951,5350.83656345464,4863.40233269129,4911.60735243538,4858.13555696224,5020.48549556553,5011.34551325244,4962.32350718923,4907.19607520032,4952.45262711564,4997.35523321756,5314.87536096407,5196.37712358422,5271.27622731921,5129.1655610783,5193.70898241615,5104.92856458777,4996.98360591502,5054.11387456222,5078.94706309566,4963.89790468289,4998.95360311224,4995.60453086856,5338.89080415307,5267.21349581299,5287.41069080276,5001.7102875197,5007.0254961321,4958.30784886321,4930.50767651374,4987.24068143366,4954.02907888782,5105.40924139784,5160.10241145725,5227.48106780764,4927.44010436135,4957.48454769869,4907.72453860022,4864.24811086626,4919.80249788745,4827.34525095263,5253.78750421242,5167.05507901343,5226.40391193735,5044.31066614928,4928.51560755015,4924.1491618686,4875.59285255169,4918.84133016326,4828.30890937589,5213.43936409758,5035.03400754435,5150.07538288462,4976.1074080244,4939.449120766,4954.99781014384,4804.61105040482,4899.68046300238,4830.65779750093,5223.3867837941,5155.54318983118,5297.57366172976
,4,5096.83964631115,5079.45598137091,5141.95049364934,5022.61903942553,5065.89899613117,5108.64856642644,5330.32621329798,5315.50295623024,5359.51438245753,4977.15443906294,5052.57461002569,5020.22414006814,5096.54469042517,5090.20670160048,5076.88082358343,5025.25482544222,5011.83853600106,5037.0816968692,5358.46336799015,5344.8932256216,5417.77401385576,4897.64414939845,4939.70827664046,4893.27184253572,5052.56929584557,5039.79625382845,5003.83228811499,4951.4234059542,4984.23418504026,5036.41271975691,5374.29592455571,5262.59926940876,5328.27206034485,5182.24062984583,5244.40794032899,5153.84887216057,5029.68175726833,5087.27840760469,5102.76991053787,4989.95861669471,5029.21503195611,5025.9509590161,5405.53628348297,5333.17746169269,5346.47792332148,5029.55572026719,5034.72190000524,4987.7312668972,4958.20967678828,5026.54781976888,4998.6410276889,5170.35336815814,5218.16770709496,5285.55392981138,4956.10833957863,4982.92121747326,4936.73544097785,4894.48278099533,4944.64114669866,4858.8548214566,5303.84537958468,5218.29163022862,5280.13177869566,5077.28060713505,4963.65211272391,4959.81258269189,4909.85738767625,4954.41672668253,4865.05900608847,5274.265133723,5084.12624385568,5209.11672698264,5004.75220190129,4974.61133861195,4981.85200214516,4826.98943759929,4926.19135623578,4862.93203245409,5289.0585618961,5219.43311961891,5361.30633230363
,5,5131.87640953054,5104.63413451416,5176.88930615264,5058.53884302951,5099.48931817794,5148.18340496906,5422.80243541447,5412.91012995208,5445.35013554463,5001.63628768517,5084.24360766977,5049.97550725808,5122.455722923,5115.4767708441,5117.38508216982,5061.74452817757,5044.04069029062,5066.83411010175,5455.69293317943,5438.52427289416,5514.19723132299,4922.84020530031,4967.1273083338,4918.62903842795,5084.49236244427,5068.63561286138,5022.59854573797,4978.310823019,5016.46252616966,5062.29160097181,5466.86541220911,5341.54833020536,5410.17792438981,5246.96312040249,5322.95883549154,5221.99467836739,5059.10325665162,5118.19725283015,5135.05489637827,5022.41099696907,5064.50214316707,5046.7975184275,5505.67029111413,5423.58876717964,5443.2373743727,5059.28704419316,5061.88108500962,5020.70941913078,4992.78859986092,5054.99724882886,5021.55976132076,5243.60544130477,5302.77881450093,5373.40982261312,4975.58591238832,5012.88429060988,4960.41644091894,4910.50307434719,4969.2065913867,4883.70746997721,5385.04975720188,5286.16964935327,5360.140962814,5103.40987171504,4991.23380449869,4985.04599318908,4939.83641998729,4981.6604233157,4884.33243937713,5354.71968109015,5154.46971683001,5287.80021449646,5039.02440323977,5008.66907250967,5017.40236393356,4863.27568621708,4960.78768568629,4888.06938948024,5372.39568217618,5303.50815427963,5454.45746085942
,6,5165.44964210061,5138.96808645594,5212.0917727678,5091.68014070543,5137.46465431288,5188.66552288465,5573.71876681058,5554.76606893874,5587.54860652445,5036.12127378528,5112.98663355737,5081.77842279691,5156.51844342665,5153.12453439725,5139.33590292155,5096.85714451094,5078.87916727172,5107.91581225966,5601.28315830902,5582.77592087307,5658.59285663535,4952.04049986613,5002.25088378803,4948.77774989819,5122.22667003843,5095.60024853093,5054.82136648041,5015.09368922864,5056.86122992683,5098.15796879927,5599.59698923004,5469.92969516122,5549.8633371057,5359.42136007241,5435.40777141807,5330.3240026552,5089.35818958534,5143.92800976803,5173.71724448408,5051.77933944269,5096.56539040896,5083.58115999855,5664.9204472539,5571.99281549981,5593.29185731869,5088.72329632035,5097.71361560453,5052.3254709872,5021.89146930605,5089.83446045969,5061.96022652173,5373.52310862107,5443.42438713596,5505.3024316692,5003.49695447595,5035.22133671297,4995.44874081382,4941.05484295128,4992.75531553087,4907.80148924417,5520.53114655774,5416.07971521723,5479.1230842096,5139.43287811444,5025.94989724165,5017.88562897659,4975.58625171117,5012.93577577623,4923.35590729679,5495.95303849064,5267.76262072075,5428.77439456264,5073.67613605786,5046.43265647798,5048.27965885316,4893.74735792336,4985.38518429677,4926.22533965537,5520.47778957566,5456.56134514089,5597.87451548377
,7,5194.68480277379,5165.72409398398,5239.53944639552,5133.64318143432,5173.59356163109,5226.35832721192,5810.95746710046,5799.07742297584,5821.38239064571,5057.48065432143,5142.1355159206,5105.34016748368,5186.37838328848,5174.26557270811,5177.10257800171,5126.79253592213,5114.83366830536,5135.11493932636,5828.35554564797,5833.29200409076,5905.6175830062,4981.59777380925,5033.49747166089,4973.83755614131,5140.14418489379,5120.47641220509,5087.3825301553,5042.97197098394,5086.04120597467,5129.61416538441,5820.56176285803,5678.84557735402,5757.08706623982,5537.84806563894,5626.02663452355,5500.56925565056,5125.83012316441,5171.96075746195,5208.04307490278,5082.9106563444,5131.89152428351,5102.50578689054,5922.76767739206,5803.77725321827,5832.5452850871,5123.63166061226,5130.81662667068,5080.35435901814,5054.91780165921,5119.67363294749,5090.26200527807,5591.9881242673,5677.4836374667,5745.69913492169,5029.31285523833,5055.10883064077,5018.71981323326,4967.38311248359,5020.1641798325,4934.068976528,5743.32130155629,5620.59250470809,5691.6791256289,5167.54859685872,5053.88208241985,5046.32090763903,5005.01757213111,5044.81489525383,4949.97234595724,5728.59290096749,5450.64993876733,5646.46331989508,5104.64132800307,5071.08504520031,5078.23485830024,4925.27055025314,5022.26161766144,4945.6481313802,5746.98595574619,5682.13070818842,5836.3278905182
,8,5221.33471798958,5192.03501952947,5281.67826694537,5170.30815190445,5212.04415059495,5264.06337430662,6224.55735874087,6209.60193228939,6215.02321267481,5081.48713146074,5165.53150218709,5125.59791844563,5208.71076904465,5208.13426307581,5192.23775544139,5153.05532925746,5141.06035387232,5165.70746972721,6236.39889975212,6258.8191188939,6330.9733153958,5008.62332741995,5060.25135872663,5001.71502248184,5162.60592398565,5148.28654146125,5110.51272789553,5078.73997279497,5115.46618902621,5168.98825472715,6206.52971756592,6041.06547248685,6116.09847213652,5845.04889710596,5963.88465277454,5807.89019845927,5153.01502286645,5210.17586849777,5238.16170192494,5120.8884622381,5171.28713784037,5134.12976395416,6382.46276774923,6205.65621626218,6238.06585730128,5151.96866626579,5150.67711011433,5105.11617545744,5079.01315533908,5152.1768927702,5121.30409965102,5968.88849233993,6067.96807625847,6140.61140239864,5050.51994854742,5083.90245314364,5041.77912917381,4993.05288274071,5050.68762850291,4954.22582559655,6130.4994365093,5968.42061485379,6049.39461991994,5199.91286081988,5088.12417089044,5078.79147346014,5035.21228861259,5076.27920736508,4981.82080521276,6123.28806028605,5772.4449689932,6033.54658317341,5138.53390537207,5105.71411818175,5118.03061554371,4952.27342586181,5058.62278073215,4981.86489660497,6161.91030853009,6110.56951168773,6253.66825640191
,9,5247.82150030033,5228.70802727965,5315.37078632627,5209.88230213384,5252.14788032024,5307.91318710469,6902.27717840077,6885.70869864605,6852.65537560497,5111.63806786942,5198.51492018066,5158.87988733344,5244.70616581404,5245.21463159008,5233.44617260135,5200.71037931301,5187.34312211066,5217.02465717587,6894.40126429886,6953.8658685486,7018.20215845438,5043.01321940416,5085.48174254354,5027.11402018008,5196.85678946241,5174.59404901555,5137.08606526716,5109.04857217953,5152.35434441825,5201.36331050382,6841.10364402214,6652.48920853425,6717.21676957451,6379.98543328985,6532.31764455209,6333.18004484658,5188.06892687648,5234.26758698527,5266.37950378104,5152.3504501345,5204.23081880607,5161.80982366008,7136.66544300148,6860.8974834589,6902.53929905791,5179.81058419749,5174.6010380414,5134.27044577948,5113.3246926042,5184.64129188867,5154.21894066313,6562.12369117595,6722.76580433079,6800.36988635982,5078.12614963108,5099.35991231504,5059.53814906948,5024.62600853391,5075.49903086483,4986.50428026708,6785.06520103808,6584.29828062445,6684.61327433137,5225.37366309616,5119.14343780534,5103.82299650301,5078.00096132056,5110.55485039873,5004.73187743206,6780.91541334306,6270.92993211127,6679.34408102387,5169.33381878179,5138.97577549797,5144.55442464259,4985.98999088355,5085.77697930401,5008.37416694603,6839.71499180624,6796.60220443928,6949.30590453663
,10,5272.92308719172,5246.80732337399,5346.29404032841,5256.62459173481,5299.47151370488,5357.10604462227,7874.16315711853,7812.70817392338,7719.955561433,5129.49933626999,5223.88833067769,5180.25400530574,5273.46454508128,5263.85783533123,5256.55254143759,5232.10266575438,5226.06530662438,5243.81010474029,7777.66700006989,7909.02713855576,7957.79035502761,5080.70599262785,5123.42578332031,5060.90823067711,5221.23328283314,5197.04142333009,5168.74256651612,5145.80319936599,5183.0325782298,5236.21773544397,7769.79975936585,7531.8900221284,7563.59706704453,7194.90248962272,7390.91840456564,7138.32011009434,5217.50050945379,5267.15164559815,5298.76565765834,5193.77577728698,5246.56451065425,5185.05166012969,8170.15851074576,7728.728113964,7820.40327535835,5203.92190125338,5209.61165506163,5159.66398513915,5152.18390601633,5227.84795019103,5191.8792114583,7363.62705169313,7643.35951217628,7731.72148034712,5095.01348831562,5133.26753165271,5086.93968314816,5052.80466904349,5108.96886248575,5017.77617564845,7764.10597536676,7517.84797777073,7638.49067974249,5260.10430673068,5136.5929002125,5129.77582092215,5109.42803822617,5143.29482476377,5044.14884853408,7718.84616411679,6931.27453796927,7622.03389871757,5201.01788777395,5170.53889342518,5169.105443771,5021.20832215547,5134.70951681842,5051.46132182236,7818.19766174903,7757.75795943317,7974.49292496339
,11,5302.70871752618,5272.54518974527,5374.57558429494,5316.5865792078,5360.47544553782,5424.7830853852,9038.07152274563,8892.80912505783,8739.25790364496,5159.65972251925,5244.9050343673,5200.68983428708,5301.82365683018,5306.86391107426,5295.98347866962,5298.35115026297,5286.56645786094,5308.5505275096,8819.50690808514,9043.11347098131,9077.56454684206,5119.06681762939,5168.73750034251,5101.2573291379,5249.99277327862,5225.35306626049,5190.37243615974,5190.8593225563,5227.21905840022,5282.08689679617,8903.4769868359,8603.82043937283,8601.31798786029,8230.26727123865,8487.59576716244,8171.46805031755,5250.4905076357,5298.47154165416,5325.85785566019,5247.41013144739,5302.24830046958,5238.50584353622,9351.95228098779,8754.26662128179,8890.77670409289,5234.14323816369,5227.56700155739,5190.96175256174,5203.11135973907,5278.51945961711,5244.09099735647,8279.66183277239,8729.87941734346,8825.01860687174,5116.73974482556,5157.85062269688,5113.97599213719,5096.93001948398,5151.92868644898,5055.91500296392,8953.62847999532,8657.71896558512,8806.51711515106,5285.96654490919,5167.21036575083,5160.08920839571,5167.90245142151,5196.38179612319,5096.81064428132,8830.6549520618,7680.34335707569,8753.10302700598,5227.6761967126,5196.73511611666,5207.98324081513,5075.65294597701,5182.03294027906,5097.98433351832,8979.0060416073,8885.90778779952,9204.72375413065
,12,5334.00403188483,5306.24115082134,5415.82204952555,5408.10161225404,5446.6191995634,5509.57048986731,10227.2539426878,10010.0946250893,9788.58115485704,5188.61419475178,5272.89779962936,5225.49232920547,5337.1656351403,5334.18246071154,5312.58598497223,5362.53167675189,5354.74486013028,5374.41885192553,9880.10618885842,10191.3346948801,10224.35696558,5181.84507657082,5228.69823942439,5157.87085579642,5274.73433591001,5246.44392744809,5213.36424784465,5250.28764515399,5288.70910587169,5343.55509276007,10067.2134140546,9700.80596759963,9686.31637493942,9323.55282483652,9641.8111381109,9261.73135967286,5277.14931610507,5318.48836325745,5362.99704517076,5322.70968800463,5377.85780386348,5308.43540586157,10541.7988662582,9797.4038311903,9989.74401987612,5254.57022017868,5249.14603864231,5219.68922326997,5259.65351266235,5346.5231854483,5306.91535858288,9221.46660345595,9824.96829870318,9930.12034608796,5143.13838134575,5178.50000152599,5136.96600445778,5155.80279273961,5211.58721346038,5113.36073591652,10137.1736964296,9797.90919681863,9976.99334426451,5315.97823526974,5202.17880713597,5188.83729661647,5232.84593810141,5259.33108638076,5159.80873372979,9937.35904228754,8445.13662659067,9876.50966644945,5256.10813270726,5221.94726404615,5232.15303735505,5137.32605688295,5244.08697036848,5152.20967103807,10104.8615902842,9990.55798261736,10404.64975302
,13,5361.87485756914,5336.6124518053,5444.46773241158,5540.30358559881,5574.73044145753,5637.84515641743,11453.0534363286,11177.2712450691,10903.2186486222,5211.22634199008,5297.90927692087,5239.603536133,5369.18319956665,5368.65506727419,5352.04359423706,5481.41668750019,5470.90658105929,5489.24380562741,11060.1177337321,11392.933562337,11436.0456922119,5273.00056433504,5312.90917070998,5234.31300201876,5305.20188300503,5271.02027424479,5239.31709860914,5339.85392827507,5380.59210929019,5438.35002486433,11281.3818674142,10827.6615377177,10847.5844865601,10452.6878347338,10836.2901537134,10394.1948982891,5313.37496380073,5358.66254505574,5383.63163281524,5431.32163368753,5502.68274589555,5410.3897307642,11800.4559127354,10887.775177135,11171.6826194774,5285.7543482204,5274.78086162854,5239.15487488866,5363.62852711489,5464.093214992,5427.66264003649,10225.194134904,10962.3508150027,11101.3888534181,5159.43898999165,5195.66762650128,5133.21444455718,5245.11381450301,5299.56917869637,5201.32842182303,11361.9825209662,10972.4505107754,11225.1416676044,5346.8359127867,5223.02349382941,5215.39808136294,5346.93403228492,5364.89734838829,5257.09121118116,11067.5636097296,9273.18094335773,11023.4787579408,5283.51983096867,5254.43609674629,5262.79145844011,5233.39788634124,5338.61997454499,5248.72063596923,11279.0829747632,11116.8716104202,11643.9973781147
