,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E2,E3,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G9,H1,H2,H3,H4,H5,H6,H7,H8,H9
,1,4995.48677868542,5095.61189813633,5045.94986064027,4963.01599239154,5042.39174815969,5005.03867666057,5058.98203216722,5287.7553628881,5206.85218045593,4931.88248779363,4906.61672858661,4923.48811770082,4994.1005306038,5059.84718586535,4952.51405717334,4993.13725352847,4975.74348765914,4984.24678713033,5242.49665626937,5170.00953299321,5216.12768926564,4827.13917509104,4848.99614948727,4830.57275418986,4908.70251372854,4944.81708853619,4981.33408867343,4866.05399578703,4955.10996588693,4966.47046177204,5286.83415457793,5216.85546599803,5204.97693328314,5105.96852792218,5257.99071769945,5057.7936782893,4888.12421396743,4923.0537244429,4934.35017815761,4836.3582543001,4857.0051067368,4869.56650975489,5076.22866309728,5129.75616010833,5095.44547166633,4930.72346251324,4889.72383289151,4886.83712603954,4883.9473816093,4863.13418993135,4862.81926096906,5142.37580040509,5089.72169567815,5152.99923951639,4825.19307840582,4866.93756526217,4890.13905174991,4787.99581042769,4812.35812528298,4772.10033164905,5177.13527968169,5074.53156389983,5151.92223343959,4823.57047202054,4734.55925842646,4817.89909716069,4723.52618596375,4729.98747459577,4693.37184128025,5085.34569209041,4927.52313004893,4993.71261124234,4772.41386654162,4772.0653496892,4797.91016847991,4608.22620669206,4705.01236873946,4723.2587448427,5080.79768335482,4986.70386521171,5008.1716668155
,2,5101.58348811514,5167.91259053542,5116.24146245139,5037.77339155627,5114.90083947062,5077.10524766159,5117.63156502734,5369.76466995275,5271.83273513863,4984.65794356432,4956.86797067096,5012.71893868135,5050.63930986085,5123.66761222974,5009.36846890339,5054.55947381237,5041.50798664774,5046.86237967814,5309.86943492766,5232.85575733096,5275.69973425762,4868.21130575792,4898.78498545855,4886.37608449474,4968.30798305805,5007.54812996348,5033.49888308813,4921.14590081454,5012.43008415888,5021.42797021553,5348.23101992501,5266.3498042904,5262.60421453115,5159.98399959292,5304.73024616931,5106.82975059061,4940.25242138308,4968.64879106728,4987.81617945381,4891.32157485791,4911.07182414419,4928.50911941922,5145.66823891249,5192.41646448175,5144.52782257927,4993.15330899316,4947.03978968752,4928.84923322432,4934.31357189744,4916.50633003726,4916.15746790307,5193.52734061218,5141.40802565465,5204.93475155554,4855.11029595919,4896.54297941059,4926.50716144385,4824.62439444362,4850.73048017881,4811.82092469664,5212.68596698898,5123.96310969202,5183.70660132721,4851.49000107262,4739.73667373417,4863.5319037137,4760.3914889832,4771.99949408408,4729.66876779779,5126.39962044,4973.67363947563,5026.50009386808,4822.20211095793,4814.91391977815,4843.87737213864,4652.73029618428,4752.277299966,4763.20105430287,5134.35634493873,5030.24196029071,5045.17356064202
,3,5151.62418213692,5208.31440147581,5157.53396939141,5084.51579595438,5155.91673323869,5128.76938732798,5160.64495490624,5426.47136241888,5317.07815254245,5009.6637844347,4986.58220206184,5070.34092930139,5078.87419443888,5151.70928099615,5040.11072440438,5096.28995506052,5079.00331956769,5078.28625716201,5359.12181675297,5261.11216438626,5325.61946412005,4895.14664960104,4933.97246222256,4920.02164288283,4993.26429746488,5043.48504584436,5069.01032885344,4947.219957057,5051.7142674567,5056.03393766036,5402.16328376816,5322.28284473969,5310.62516110636,5203.25347814838,5349.30426230846,5149.58862554368,4963.71430220806,4999.16776566949,5018.51019193111,4926.60459425546,4944.44379810102,4962.00086718996,5195.48768143324,5246.95292984095,5184.1164294171,5008.96887129555,4972.15243114648,4957.43166915278,4970.33513387736,4939.49265769198,4944.59271920109,5236.25061013664,5200.22544070342,5247.16074764732,4873.71288643671,4915.73149994663,4945.62048878675,4850.68209616858,4863.41275082459,4830.53791573283,5237.88955073714,5158.33434504099,5214.14562857747,4868.20136604211,4752.40326331554,4884.73508558836,4781.10781620063,4798.78275104366,4748.25577633618,5160.20723669442,5007.71899751934,5061.98064415566,4841.25286303999,4840.14956083201,4867.10946350262,4678.31164542655,4779.60869322676,4784.52401976562,5176.34856194218,5072.68840341644,5076.02715317771
,4,5187.30569738628,5236.5563153505,5187.17925159408,5112.81343223936,5182.9011125868,5154.95688416904,5207.89828853356,5488.50540234726,5373.00449804125,5037.32900871604,5012.38881309112,5100.35929358643,5102.27343342946,5184.30288135018,5076.36774557543,5128.48076264402,5106.93678817021,5109.27002300215,5425.44646305329,5307.49399017624,5384.31142502634,4920.65386878699,4953.65119763749,4946.99149197137,5026.14437761244,5067.0642377722,5092.46792918206,4975.34835559464,5082.74748975316,5087.28498554991,5465.9704008207,5373.43701956665,5365.6034840907,5254.06418814912,5403.60492037802,5194.34678625607,4983.32457244643,5021.53183651838,5034.7527809929,4950.65816349561,4971.4832600935,4986.0987457924,5248.40684618717,5294.18289050579,5232.13695550465,5029.53377165658,4993.74399429997,4978.24222112847,4997.69530670414,4967.28985936569,4967.74898445019,5290.1304919185,5245.77861762207,5296.73329217181,4884.45212361235,4926.80824873688,4960.2824905093,4868.5761767357,4877.83799854566,4857.02014392065,5278.42196701445,5194.49006415317,5254.2047916758,4884.91847857425,4772.19592400545,4903.48623296527,4798.44687076162,4819.60514889351,4768.76245444992,5200.73614245652,5048.60960779266,5108.74972248955,4860.34929151752,4859.51976275047,4887.41788604904,4695.76769410529,4805.98506095313,4813.79606214364,5218.32731825323,5116.47259724396,5111.61538829917
,5,5218.90735723952,5272.58968218887,5216.81780065521,5145.25546321907,5215.64065487808,5190.23890818417,5276.32032064463,5579.40946571249,5453.06221922915,5064.33428386633,5037.05059034299,5126.38344333425,5131.86749697291,5218.03346618121,5100.70619747351,5162.18753093965,5146.88444265784,5134.65688527975,5522.77570899126,5381.2277680923,5468.47084892736,4940.6873894141,4983.48503013479,4974.49968030807,5054.16764591613,5099.69133079614,5126.30864382116,5011.19745124263,5113.88301404217,5118.50262905862,5549.98173789047,5460.25112276772,5446.34591310381,5326.97498804972,5481.73397201801,5261.4081650408,5012.44786194573,5045.07525496346,5069.9340999796,4979.80198202117,4996.36520198147,5009.2495037272,5322.95750078942,5374.74189338436,5309.07244009589,5052.72361037469,5013.89987926679,5003.36622836014,5015.71900610647,4989.79888547381,4990.61689953913,5363.08919967363,5319.43519074351,5374.07741950137,4909.66616453267,4941.81731598625,4972.33925238182,4890.80658437449,4905.93479721293,4876.56305020889,5348.30312222329,5250.17148504596,5322.67536023028,4903.77360270365,4793.44374479495,4917.20001248132,4816.81178109571,4829.33477713848,4794.40216590831,5260.57190119701,5107.91362568674,5162.99760083258,4883.55941514659,4891.86159484779,4907.75226125921,4721.1281115841,4822.15761562552,4831.82013820474,5301.73280656759,5187.43754578652,5175.38426104383
,6,5244.65743085914,5301.54720047081,5240.64938550111,5180.73835093629,5242.23006202505,5222.26328616386,5386.27638024486,5727.69507110156,5579.80148793456,5085.45503681188,5061.60382887557,5151.669817012,5162.83053217137,5242.77526391952,5119.5051154315,5190.34472893622,5168.5090867851,5162.85334286603,5652.59527804332,5493.58370451299,5592.47551506315,4964.59706291028,5005.3281740891,4995.24724555168,5067.39294024987,5124.32642441681,5151.38813015236,5027.06884389809,5134.76271910018,5141.82484190379,5666.72836751124,5580.99554917473,5566.76238898881,5433.70370571492,5600.21530238609,5361.33606615176,5031.89856761766,5062.43850701004,5095.47377607108,5004.74367863771,5025.54143894759,5033.21986118027,5437.0117240335,5487.03672618075,5415.98765327663,5068.84098565941,5039.18960507142,5023.59962366177,5041.6629942555,5015.53836082032,5012.57459594258,5489.81062516869,5429.83349610606,5501.56693093453,4922.42724286742,4971.00316504839,4987.79616656416,4900.93526249152,4924.65353328848,4893.81250882767,5465.80109624407,5376.29693708958,5433.39689200147,4922.76651201097,4810.63869646422,4936.10663424676,4832.49114653998,4852.9908351523,4813.63777583522,5353.7992931362,5184.57603011664,5250.37443531396,4899.91852618063,4906.6542089591,4927.92029881814,4740.13289636385,4845.64464435975,4854.59351929063,5416.36005775875,5293.0504530417,5267.0212910498
,7,5267.04273449398,5337.4299248437,5269.47212533549,5208.01661683396,5274.77810183183,5254.03340962889,5583.66692121419,5964.59749030895,5794.25243029284,5106.6596424051,5079.51109452235,5181.27445256317,5186.91629093461,5265.06182211985,5151.78344011781,5217.02366225686,5200.56611306725,5192.74427391497,5890.00559143397,5692.35128869277,5816.96386680423,4988.33110632077,5027.43448676618,5025.5633351841,5094.56738497304,5149.55841188339,5179.28636767236,5056.65376735364,5167.01031449639,5172.31950952108,5883.65168562774,5775.84215407635,5759.36438241976,5626.45129159759,5803.27940920229,5535.85918760851,5048.85141653247,5090.42767089501,5111.91254208596,5028.95241955916,5050.84623373584,5062.01263845557,5646.86214921118,5690.62273565257,5597.61484899873,5096.41859742665,5058.26300971245,5045.05226220533,5070.11236474056,5033.42877874033,5036.27536332844,5692.73667917655,5628.70974037574,5709.37794387108,4934.79779820685,4985.19368550524,5004.94340161319,4915.95488517578,4932.80816792629,4903.04710861531,5657.09621117005,5554.50436603825,5625.87261739653,4932.11390015429,4862.236075596,4955.47164146659,4848.47612825151,4866.73308843609,4825.34844194693,5512.42818201266,5318.59526747665,5396.87649143776,4920.59754615095,4933.13758618793,4944.75380128014,4755.2457127083,4863.06905227812,4874.02148942236,5628.99466466785,5494.93543961991,5440.70730447198
,8,5297.83063410349,5368.72357619384,5305.08334696892,5242.75892071413,5313.15276205441,5291.98942720358,5913.9871877554,6370.64505251576,6155.49136482592,5132.89816392708,5109.37202430665,5202.39200549002,5218.87869354247,5288.6995139704,5180.7260176784,5248.50645496594,5226.40543737984,5221.03657570461,6285.08188618035,6021.78031396117,6191.58671360677,5006.86287993222,5050.80975458622,5044.75883705793,5112.39365120753,5171.87694364606,5198.2160116603,5075.89397326874,5194.44740853814,5197.7031667354,6235.85630097984,6119.60112800835,6095.61602705118,5954.11552215848,6143.87907579609,5844.39184124428,5078.27989364714,5112.18195882769,5135.1211236399,5055.47923545058,5077.51157389872,5083.94687899773,5978.68835755342,6019.17516553359,5926.53655968529,5112.69565481679,5078.10611961156,5063.16403123982,5090.37833823311,5056.28423304246,5058.17378282576,6045.49640142244,5968.13214451128,6068.09357360157,4952.5537673873,5001.02359005197,5024.05328002006,4937.29605805869,4956.08174379874,4925.39392972194,6021.76545058791,5902.29731618686,5982.18234406402,4957.99402449065,4845.63522413442,4978.71336771788,4870.82691945346,4886.28873862784,4850.05635743553,5805.68843307893,5571.02251292816,5676.70445404922,4946.19997983571,4955.72321731185,4969.71314278784,4783.85635774701,4889.04115872361,4901.52035946335,5987.42217430992,5823.02321721567,5734.35078480639
,9,5321.50619785768,5397.65300765043,5337.88034036143,5279.918264416,5349.0997876944,5326.54566757915,6460.28878000075,7026.48264376598,6756.54517486703,5156.6668515453,5127.96699818669,5221.85474664758,5241.43312052529,5326.50588924116,5210.5031217804,5271.26662836753,5260.86643710566,5256.3730822213,6944.94465938747,6565.73799060033,6798.77436146566,5039.71804903282,5078.65657220338,5077.00065519514,5138.86812484709,5199.13119835305,5222.41104890493,5112.8457384152,5223.84153935156,5228.54550305905,6831.42578369803,6687.59872133029,6650.74784735335,6499.59243921608,6731.30714456726,6363.27441495671,5096.11572832593,5146.16282585068,5156.32280541671,5083.08504911365,5109.57479921472,5113.72761156325,6531.12545684807,6592.56341450591,6456.4563025774,5134.38298121055,5101.27804675573,5084.71554295441,5122.94464196481,5078.83334312477,5081.21567030471,6647.17954103985,6543.12125355712,6682.05674134769,4967.35405164367,5010.49644064497,5041.1758074482,4956.94296871314,4976.22361869435,4941.22267131841,6611.41459807893,6448.76165757468,6586.56993632046,4969.13914397872,4899.47478895099,4988.83701908951,4886.86818265212,4900.99189635608,4864.98877089535,6300.31908360217,6008.45535865757,6149.86180411033,4966.15393167248,4968.66329350046,4988.42214856515,4805.21343692576,4909.95406468302,4912.67031332524,6591.94346746743,6400.58852462637,6241.14918007748
,10,5355.35803055753,5427.62036000401,5371.34416191244,5321.12151334987,5388.28508653276,5370.19746250617,7282.50770093703,7968.5904262947,7619.62455308265,5183.41621531185,5153.36081721882,5244.15100968019,5275.96217661195,5351.45554251612,5232.08595295438,5323.17394249248,5298.17601299099,5298.63998037216,7831.86498507188,7367.10859904044,7656.51700476191,5070.26586397279,5111.5470040471,5106.02602919544,5160.22490039889,5225.2742565548,5250.80736750821,5141.48912289535,5258.73206243815,5262.8944326666,7690.66719574042,7536.39467376017,7456.5645696177,7304.98650562917,7582.71362316324,7165.16060347054,5122.47995342465,5166.31410202358,5186.67380550211,5120.53181370138,5140.23792248168,5141.8312216544,7317.02684490726,7427.95635300756,7268.80193933911,5151.34030382384,5121.48444482817,5104.9917992394,5146.37653531734,5107.67572099916,5107.83848718213,7521.97528120678,7384.29882668536,7582.85062263966,4978.1889672945,5019.24306766121,5053.68816270759,4971.10021096389,4991.52056942332,4961.38732951221,7519.46081441314,7309.4027905832,7482.36765782779,4985.14232592798,4911.66309729081,5006.24610298106,4907.84941061918,4923.06452134496,4886.7569016355,7098.46380957462,6712.75891875621,6913.77352322566,4984.95250631773,4996.95481829141,5000.53988543178,4826.69411134693,4932.85992008269,4945.23386392191,7493.50564979815,7231.73567920717,7005.60085265498
