,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E2,E3,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G9,H1,H2,H3,H4,H5,H6,H7,H8,H9
,1,4905.67308228641,4975.69215954234,4910.06106381645,4891.96315278263,4905.35801257356,4867.75302557185,5094.04047467156,5178.39954802475,5202.36087626599,4792.26317154753,4784.82866488707,4718.18452942165,4905.29273098448,4951.86516670027,4888.52092032606,4891.06471227714,4868.58532021883,4875.29434700815,5156.31760226409,5122.89968940839,5086.45505780175,4698.53493282982,4694.42670854755,4681.98411560696,4917.44470786038,4927.64148492259,4950.06712340282,4820.13864718976,4890.42884259785,4910.11317977592,5190.12130003946,5202.23924329101,5205.49382846807,4968.68346182462,5135.16453590399,4980.2971444845,4893.19147182565,4812.16068681309,4930.56463874896,4869.45724934246,4978.96435499753,4870.46424203802,5206.7309454471,5155.54265519401,5105.22993699428,4914.0825692289,4844.35746415387,4843.82255691244,4794.95292175306,4834.43723225601,4788.9826697706,5030.90134895708,5114.21274946174,5125.4057510986,4830.75652805609,4794.97859259723,4987.96240465677,4748.98082680582,4764.43205375376,4766.34996901639,5135.70443879798,5088.14471036495,5139.86271449172,4825.85102415186,4773.48668172599,4753.49729733579,4723.42429575945,4737.17287711864,4677.11098071885,5001.8719112449,4948.42798836937,4974.69230645891,4776.00851662004,4764.26434594832,4761.86008647941,4619.3286235418,4712.37365340251,4639.52283342392,4981.11398448222,4955.70825737961,5048.54229259811
,2,4992.61835935601,5042.21831065322,4960.86296297162,4956.81366236086,4961.66860656164,4931.79810726816,5160.35835699371,5258.72658992424,5254.95112103241,4818.64949634085,4818.58991308111,4795.9496203994,4961.30783205563,4999.6530039847,4942.46196926867,4949.09414681162,4925.27153094774,4924.41471500669,5218.90181075127,5194.41360516129,5151.57285812025,4728.4205747747,4724.28679336104,4724.31311306337,4977.32293007775,4979.42173574104,4994.63573344669,4881.68576707035,4946.95276865764,4964.48444234407,5245.37249378312,5262.21035882542,5259.69047710249,5005.93765758398,5166.9750037337,5015.08665039638,4939.21467573873,4849.59550920076,4975.05318303279,4934.99132107427,5038.83933201815,4918.31524146946,5266.48437158582,5211.78782780546,5168.70271786423,4953.29627328303,4888.19820305408,4877.99547663431,4833.75820961254,4868.60344179102,4820.54244532942,5069.89728858541,5156.51507841377,5167.7074909742,4861.56468686935,4829.75205699023,5020.09578352521,4781.87102138132,4807.99987347814,4802.01621488626,5167.88792399635,5128.60837970917,5169.78456284043,4850.67315296371,4801.46512665961,4782.77796956645,4753.01806671504,4765.14969042116,4698.58828885039,5028.09971897485,4987.47810949258,5012.58667008223,4815.65315770614,4790.40155658005,4789.94082832327,4655.56904588317,4745.94628195296,4668.31949664664,5018.60211395952,4991.46043226192,5072.05094468899
,3,5040.18158388724,5079.68929359774,4999.46639536036,4990.67636013619,4999.63035157279,4968.55355108675,5213.12041132165,5308.32533537787,5314.12123734503,4842.66310785619,4839.07448435687,4834.99143674047,4990.62197755532,5026.79722983539,4974.51515191111,4982.1808559527,4958.29541295301,4961.2153358333,5271.83803151129,5239.00838484088,5188.75035919382,4747.61182366794,4745.76840961116,4749.9480583933,5010.00938289485,5011.7884809083,5026.44747614507,4910.82434837083,4972.29706472563,4986.32629159736,5284.82722566975,5307.03524589813,5311.59697708193,5033.2717359322,5191.75196113399,5047.14001238635,4967.99924230509,4878.58020975288,5011.75283635881,4967.11773289317,5070.25306704687,4957.11237377709,5318.46185173724,5266.13391689368,5214.63766052418,4969.78712002727,4903.08704271869,4896.72121387688,4854.43909396807,4893.09520654316,4845.02799953299,5106.03430517506,5185.11163589362,5202.02965783999,4880.81831911906,4848.3735671381,5039.02766197636,4803.72139629506,4824.40533927356,4818.41486586693,5196.13241485955,5166.82400687704,5198.99863886349,4872.16337960984,4828.13481771032,4805.95810638212,4770.84320043811,4788.22288080056,4725.55760028139,5054.68307194861,5014.04181507522,5046.64113199514,4844.09594568422,4800.23273753142,4800.53904208029,4674.17964327746,4762.68655929233,4684.93792715267,5052.3838720236,5021.03163142631,5099.68529799812
,4,5078.30043675482,5106.29526512582,5026.07904459216,5019.22185634785,5027.28272835467,4997.08916687869,5268.43982920229,5363.49277053727,5370.42802841535,4859.5933793806,4863.56648763771,4869.22157591795,5015.34284938017,5054.19628019213,4997.86807233042,5005.60266776724,4988.02803754857,4984.61992289014,5318.3899228749,5298.35070267359,5250.44309886907,4763.26156043593,4767.35709181352,4764.47704063249,5042.71559913553,5037.64380381042,5056.84092835905,4941.68588225104,5007.93139068113,5016.25979563894,5343.3431989694,5366.47731635824,5364.87456982651,5084.8090413414,5238.987983455,5093.87814091879,4992.21967277375,4891.38722156314,5039.1717620996,4989.51370843249,5101.48893994073,4977.98296549552,5375.09408793061,5324.08975511896,5270.14690108228,4987.66851852244,4924.80204356364,4918.12490239439,4870.88106492759,4910.99091074825,4860.11031476787,5143.26742329912,5226.95651471596,5243.14832196485,4896.12523186663,4867.14903322496,5063.05203131859,4830.24495094037,4848.39204192066,4837.98673093686,5238.86578997908,5204.30597222092,5245.65455654661,4890.39326644506,4845.63467371931,4826.53859132862,4786.515162543,4807.06984245602,4742.67748798922,5091.41209054786,5053.38636767876,5081.1919956834,4854.07958701299,4822.61443622866,4823.26280690787,4689.55349298962,4780.29867190073,4706.47154464109,5089.35549881387,5078.61759644985,5140.39749838025
,5,5102.0967859379,5133.17893519625,5053.8034323104,5041.11045810873,5052.33217690782,5020.1235165815,5344.03762445415,5446.13358715903,5445.70397134198,4867.35522031194,4878.02617833873,4884.1359097146,5040.92597599638,5073.40872305755,5026.22350725519,5033.2694291242,5013.61411767046,4998.99346430284,5389.24723991424,5371.35652612685,5313.75314147569,4780.26437447066,4781.3995970239,4778.21931297949,5057.99599854726,5059.08106202742,5075.01616961642,4958.58775392265,5023.62883739104,5038.09378772451,5401.46986776949,5435.59985541977,5437.96198687176,5141.15683675418,5293.28202778817,5147.44953344832,5012.70625784221,4915.14627066719,5060.92872349822,5015.1861143215,5112.47738515485,4994.67995389229,5459.60854696244,5387.48061549212,5345.10385233725,5002.28773199705,4940.83679896755,4933.68928146842,4890.98792306115,4927.68692752444,4876.99219568681,5206.34773602454,5285.79988833883,5308.90611103925,4910.48807402516,4884.92670378257,5075.74846268153,4837.77139425791,4866.92147702689,4854.30659457266,5306.14437167384,5270.29239801239,5307.19178647997,4909.70446749799,4863.31677785191,4837.83716430037,4803.43855577074,4823.11847368448,4759.58728706522,5142.02188689975,5108.60924631778,5139.95604787668,4873.34007980042,4836.95232884998,4835.36002771144,4705.60531105046,4793.67530226386,4719.1091390393,5150.88432392515,5123.94567146211,5196.52150817428
,6,5122.65997012539,5157.01464322361,5081.25600534961,5068.22565137311,5078.7523920711,5047.97016162189,5465.95270461575,5570.15932191849,5569.14406740156,4886.91747665233,4893.69556536386,4900.08082241213,5059.72352065086,5102.32284230202,5054.65512100415,5055.70169176428,5043.71233152541,5023.85235689567,5515.94270857735,5492.63381698344,5432.27790941611,4794.93219792346,4793.10386794562,4794.18529143318,5079.40768599316,5086.54223343561,5100.12310505812,4993.12663266025,5047.3642736434,5064.50613437512,5512.33293820926,5556.30238740761,5550.64929975354,5239.84527460974,5393.05435835146,5240.74007964231,5030.74609492625,4927.57184512819,5086.90941320508,5034.97384456834,5139.93752550736,5025.4713196268,5596.16752233861,5527.53106602048,5479.32361643975,5018.24650928569,4957.18540818163,4954.49142993658,4908.58199878384,4950.06448966205,4889.52770536112,5306.65115327291,5389.20702138905,5416.92976948232,4929.58138098525,4898.4895343652,5089.58109278402,4855.66696498471,4877.7670047986,4866.98186678009,5412.24955936399,5372.19915989352,5418.17602766742,4922.96724498274,4878.74981151566,4849.86360714264,4816.80391931582,4838.32350683435,4778.60722433754,5228.56587679103,5198.75855133943,5229.44125379591,4888.6393285237,4852.82222332217,4843.46886864066,4716.50461159029,4810.81886613124,4736.21388741511,5257.27505500608,5232.6893449664,5291.40044723062
,7,5146.46901045102,5183.56216061495,5107.13615854422,5096.35786408683,5104.31956003024,5071.24370312668,5670.72648108973,5781.66832495799,5772.30815109639,4901.40797445745,4904.56134479617,4916.38354394195,5084.64748039332,5124.6286049899,5071.90837591275,5081.52268665066,5067.10080705208,5041.67826757791,5717.36292131989,5711.71764981186,5631.38803835462,4805.72397867875,4814.79198565277,4807.73809734883,5102.12281978081,5108.66514075819,5121.93941077124,5009.88396298919,5068.46554392272,5089.49652231339,5695.10451833945,5743.86167265581,5741.73928591282,5405.78891532596,5564.77073837951,5403.44544161883,5058.49775920191,4952.64371886859,5106.99650079239,5061.81672425198,5165.63329311939,5043.56158169624,5823.66840726026,5746.73723758486,5705.65130144115,5033.24895834138,4971.36894394961,4967.25059677674,4927.68361289134,4967.20683696812,4909.9220980512,5485.60329492228,5565.27279901772,5608.80462791015,4943.38356697355,4919.21922215447,5111.1014380736,4874.52610434618,4899.81781271202,4887.59422939465,5614.1105395366,5560.22262200671,5617.67733701905,4940.34706477687,4893.17683629382,4875.90905368487,4834.92154243477,4852.31889154906,4800.77001472981,5393.52423361722,5349.76382532485,5396.64515421901,4904.08936798214,4871.90315270881,4854.20234572735,4735.27959393334,4828.06732803491,4751.72843048906,5442.85509858361,5415.95056475022,5458.89102790809
,8,5167.23633610422,5205.3778987345,5135.39020890963,5124.77813181079,5130.40596277889,5104.53086073093,6020.84459878031,6134.30632407468,6117.75618485049,4914.15737812356,4924.52805950112,4931.42728141063,5105.58716497212,5147.18817603923,5098.63416292794,5111.68315803833,5096.57424503676,5077.59856992513,6059.76122692052,6069.23954583825,5959.3215597565,4825.09624178172,4829.72241190095,4826.50797164343,5129.4659735177,5127.53915809057,5142.2107585108,5038.35780205695,5097.18606176372,5112.84590981784,6002.8056606065,6078.76124173437,6067.07892556628,5698.86136147614,5854.56920201435,5688.52442992698,5075.05513184877,4966.07114797538,5127.09734043656,5084.50886987505,5194.12811265862,5075.19108151901,6207.81445736129,6101.32195566459,6076.01495871168,5045.32747746378,4992.6058153618,4982.27215115948,4942.85026861886,4984.25229064185,4929.70229604645,5790.28251539726,5874.62360075403,5943.0414882882,4954.24493133471,4933.64899302166,5139.53205261433,4894.57569693042,4917.33068238185,4904.93164016282,5948.19294801665,5874.59223841033,5955.90469144319,4958.80612487231,4908.65309952141,4890.04917851556,4852.66450939846,4868.42915679634,4817.35240242043,5667.21919756688,5628.59570994589,5678.14626038327,4920.91845159661,4885.76015131004,4873.97751105644,4750.60203256462,4843.3704493575,4767.01487315206,5758.53808014632,5734.42231626724,5757.803002594
,9,5190.07959170577,5234.14584465878,5154.39670425359,5156.01773809891,5156.4691144302,5133.57404280394,6565.79137224008,6691.59460652384,6671.17073354961,4928.2796718716,4943.36793607753,4947.93738076084,5131.5442218112,5171.51291681694,5119.34951504904,5139.87641021843,5129.50349327045,5098.59539272071,6607.2033355374,6651.37126954401,6477.37585877581,4841.53521295924,4846.22597703866,4839.90068180849,5146.0608230857,5156.1888253193,5169.59283326935,5061.71309023666,5120.44867813701,5136.6449587987,6507.13002162979,6606.4661649146,6594.18936469739,6169.39703542951,6339.23710542074,6156.21444550142,5096.93794405069,4991.21628546359,5156.53868223783,5119.95038701453,5234.70585407641,5102.31474309426,6807.43091936884,6684.04189663095,6660.16105394542,5058.98540712751,5001.60038705364,4998.82284483056,4963.43063263116,5007.07801955015,4947.36216762523,6299.41488397623,6401.42157574914,6497.89846320836,4978.04181143636,4944.90113424689,5140.33262173386,4915.33913325578,4935.01763446787,4922.35008375818,6503.25816489653,6396.41832215665,6527.35452533799,4974.98800857534,4924.51672236663,4907.06047549498,4867.54131155968,4888.92945488799,4834.00855908375,6141.05552552542,6082.57938196678,6157.22126190204,4939.72699373376,4898.13921601474,4882.91630145141,4774.68321589285,4860.94241584837,4783.3449317806,6291.7405698396,6267.53219842973,6246.83665129208
,10,5213.0774709582,5259.97098151223,5186.48372181411,5189.52696785581,5192.25772660853,5172.26968212384,7357.03980745717,7500.12978877125,7469.67985011475,4942.52612985453,4953.65795888668,4956.61596203636,5150.467463163,5194.03275733301,5146.81590041488,5169.28142843647,5157.66631939656,5138.56232708604,7416.81923033714,7493.94542426568,7235.03194487067,4854.76134602486,4862.76832327426,4852.70495430156,5168.23385873126,5171.47756888003,5190.04080962047,5093.68394448281,5148.80391543632,5167.59251718456,7273.03632136533,7402.37657419407,7373.21118089668,6883.23500577801,7077.1080628739,6862.74285715799,5124.24958113843,5012.49316042673,5208.03162251553,5149.81901286966,5266.49409715206,5136.58738097142,7665.64802659745,7545.49038414946,7467.42864326524,5079.0980217744,5020.75058483376,5014.63262893177,4988.72781208577,5032.23400959535,4970.72507953716,7068.10798175558,7196.78366945987,7335.95753176702,4990.61749985122,4957.99857768453,5155.72774497822,4944.59037494177,4958.17360160643,4946.96980109499,7335.05044425175,7169.83001147586,7380.8719176495,4989.22256676772,4939.1351662386,4925.25032536221,4891.03453566971,4909.71345390384,4852.75850844658,6870.47843454654,6796.69485193887,6911.77902871944,4950.45030439096,4906.66356628483,4896.28556771536,4791.01643468843,4882.20520429344,4804.56633168974,7080.37776884909,7073.31150534277,6966.51431601423
