,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E2,E3,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G9,H1,H2,H3,H4,H5,H6,H7,H8,H9
,1,4827.15101188337,4976.41005818463,4946.19991069827,4823.19376087718,4778.40151675525,4899.11414298241,4917.82544591655,5393.7450477942,5056.60626767124,4680.17240811291,4801.40757739533,4708.20126250082,4857.67026651962,4849.86766302288,4918.06067020431,4825.0421018669,4697.32634021654,4839.46688415421,5088.60590169575,5176.04510797473,5079.28142670652,4651.39389777651,4654.41287422444,4582.17473438126,4956.7966513413,4889.03520355551,4963.09318762705,4755.05297572316,4810.79458063882,4849.37760446339,5169.51032356056,5218.30101452503,5011.03252093643,4897.42058725535,4916.8531193811,4899.90689713069,4875.58274011381,4863.08200834976,4946.80678307922,4867.1301929477,4833.027535864,4863.62346637974,4971.27664577864,5155.54769853303,5089.99067652474,4899.52000670047,4866.35111348161,4880.85988431413,4796.27342506106,4854.97688456281,4842.14717681102,5057.81846211674,5153.77786128365,5116.35214784898,4799.96266829545,4779.65889708013,4713.15206800594,4708.84979004011,4746.79053038857,4676.83116881409,5094.47953288448,5115.09749147966,5038.83458038889,4901.78458171374,4839.8328683938,4871.18875905811,4741.20393590575,4815.97729756069,4763.40436755499,5094.7674983382,5037.54964522158,5052.43408061124,4776.40380057212,4760.05540068402,4723.64408552947,4638.07181595392,4709.69695624134,4656.1725841223,4971.5484759924,4951.96784426035,5040.50180086447
,2,4909.17470665643,5041.89273184457,5001.83657330058,4871.47095875916,4821.30221602233,4943.3615305075,4961.97666074383,5443.69634919528,5095.39922523627,4714.03758502696,4835.20392258714,4779.59452896962,4906.48853673979,4900.68937136761,4977.29685280038,4877.04549647736,4738.90310166212,4885.23988860771,5131.60237539362,5219.98016426345,5119.91489874882,4670.07974923609,4676.38679517553,4632.64284311242,5016.29654534863,4947.47165414628,5012.37310831067,4801.83059756254,4851.66741424475,4890.16912672875,5211.61377316236,5258.4739550937,5046.17047580103,4934.17646465029,4944.01623913674,4937.75021244251,4910.55098637155,4903.46486634723,4984.65301946559,4899.75956163293,4862.86001362848,4902.46633399946,5010.48931318687,5209.73292013677,5134.71942143759,4941.43390175902,4906.35444824472,4932.69598451191,4823.98352814348,4900.40717534338,4876.69460971014,5104.02100285842,5196.90977325995,5157.31225429057,4829.60451857339,4818.08150426815,4753.24581401976,4751.46040694854,4773.19583376606,4713.80912080039,5126.29845642427,5155.78877350234,5075.41673815384,4954.78485946412,4879.94423783877,4919.14042784997,4776.60922792473,4864.31833795778,4803.81100091852,5142.14852020183,5086.22513068478,5095.69870694558,4784.74288809792,4788.26974751113,4765.70277357697,4675.75706978981,4747.32847073337,4696.45459208161,5020.28244351104,4992.79451828189,5082.23332833745
,3,4956.36669708481,5067.87566355924,5037.25841846823,4898.96859120651,4842.80555974715,4972.47169818446,4995.37095437688,5481.84069236017,5135.19641473376,4736.01143262441,4853.6372336018,4819.98822153417,4941.26612794647,4932.67236699217,5004.18423732587,4904.00464453227,4754.80047421479,4907.25090437896,5164.78835297077,5258.04362443647,5163.67243261261,4690.99169838734,4693.5620404916,4662.48722323907,5040.57146012381,4972.78550054175,5040.3385783565,4828.12265762418,4879.8355523141,4919.14387799357,5251.11873678823,5317.68444439648,5084.47386953186,4963.1495246439,4968.31860396146,4970.50182427283,4944.52766638989,4930.96006828873,5020.94998110971,4934.51654588631,4885.27504001708,4926.53489284762,5042.81665107496,5255.58117609442,5171.25090469248,4973.95333851736,4929.6069820609,4955.31696121215,4853.4347317294,4927.77093634895,4901.92187929227,5145.65446050234,5238.49720388009,5201.49123323434,4850.93561937352,4837.43260626276,4795.11838667217,4775.29195099947,4790.71903126756,4731.69957061215,5154.89686281706,5192.9933285129,5107.3274226139,4977.06892220587,4905.46695562042,4939.94425580532,4799.12828661831,4888.74702165811,4827.30135416759,5180.07391605676,5125.83273055271,5133.99596817999,4811.65706659793,4813.60368859831,4790.39845329064,4700.22320330538,4770.37076434794,4713.69461496848,5043.32103299446,5029.34634000905,5107.60511204167
,4,4988.63871794597,5102.89137273176,5059.29833629384,4920.97603497637,4867.81411573109,5000.45071005926,5040.81354026181,5539.06147268578,5187.29242106049,4753.93412651124,4883.12592226268,4848.80994634912,4962.15798234639,4947.72124326154,5025.27116648261,4923.00820131434,4775.02551147606,4933.61135144284,5212.65787853892,5319.909059625,5214.34894657454,4706.85477009903,4712.81350631097,4687.99058891808,5062.17768149765,4998.95068608047,5058.82638215053,4848.70023737694,4895.02908895221,4939.51424219823,5303.20497379597,5366.16221538255,5127.00227003635,4995.62027918374,5006.25960168174,5007.77831375995,4964.68775264584,4949.99069536516,5036.2902104692,4945.23885746443,4908.99634886099,4939.99445892772,5080.46008681761,5306.72582506328,5212.19256701304,4983.139001099,4948.66192881382,4975.727290171,4864.62318946137,4942.92038367582,4915.85660538292,5194.21793013906,5287.52218863964,5247.7567900488,4870.93456066431,4860.87357256515,4811.13070396469,4789.09082645761,4813.27472649447,4752.865455751,5209.82279526803,5243.25785004568,5154.78912392333,4996.98611556213,4930.20426914638,4967.38213266132,4823.14359883189,4915.88983548079,4850.8020680491,5231.34372461729,5176.61083460028,5183.41612093455,4823.94509230543,4829.50706655204,4802.6357474759,4712.41358203755,4782.08004570053,4732.66862458139,5090.26111125542,5071.04681615684,5154.32179355205
,5,5011.96508082294,5128.78662478153,5085.13396560547,4951.4170916046,4889.71397457347,5028.05877284104,5100.12301547685,5608.17144350259,5243.49328061362,4770.20103303218,4892.3699229671,4867.75442218632,4984.93005033094,4978.41212512016,5045.90213069796,4940.85715829306,4785.51418744492,4948.99469725119,5281.92662088143,5397.17591623518,5276.89532316488,4725.37527856895,4724.34285411168,4702.849000289,5093.4158660174,5020.59719183005,5083.82699739446,4871.52774658998,4914.20689683133,4960.36351167597,5370.79830917517,5443.71824127578,5179.21684262451,5045.83158430727,5051.2528978416,5048.59245887598,4991.15091465684,4973.52089408203,5057.94543955476,4973.25203455239,4933.61679847617,4969.65105162334,5139.27124232315,5379.45096702638,5279.9786570503,5010.77737539148,4971.54539976216,5000.7253879886,4892.70103822718,4963.74367217374,4935.60255060277,5258.26546311588,5362.14453566414,5320.34513559107,4889.49286512489,4871.59428826538,4828.38872951766,4805.65332522455,4825.26306021861,4767.61841237359,5263.01981445976,5301.78261448034,5215.34205770027,5025.37619820383,4954.23734843115,4989.13454291361,4847.3995357646,4932.71213448373,4879.56972553958,5308.75210074798,5253.6059989981,5258.72360721196,4847.90801727248,4848.64118344654,4826.26266907267,4725.55877587698,4802.80053001687,4751.86160021929,5148.70271887903,5124.72395951893,5212.77730607155
,6,5036.69490388349,5161.11639890349,5112.01992716738,4973.77157934527,4911.6456143431,5051.10288519882,5189.43266067003,5714.30472397484,5352.81513795816,4785.20291254219,4913.4704534524,4888.63055045974,5016.02583728129,5002.65841699504,5066.67076079097,4963.15344325156,4813.82515955842,4979.21546497175,5400.07337593464,5528.49929580177,5392.27249364722,4741.93959252143,4742.62091391145,4725.7468881618,5115.28477694015,5047.7344360924,5110.05809578104,4893.62058578996,4938.54822066172,4984.44949040923,5484.29211640498,5568.2759545338,5275.36970658329,5125.59317125507,5120.26520817584,5123.5053978003,5011.22800445988,4994.44921464799,5089.03723468746,4997.65487023993,4953.08853151035,4989.92070089744,5222.19197244842,5505.98578728963,5396.82874809259,5031.84077064872,4995.31065653164,5025.44078518581,4917.35272338891,4990.63128940032,4954.54086117123,5380.20994850051,5486.55094900321,5436.39516878801,4906.80973585441,4894.68215625555,4854.18167880099,4827.60238441866,4846.92050599737,4785.85934530434,5382.42948309262,5426.86269609632,5326.64143671811,5049.62328149434,4976.95012107834,5011.44428278062,4866.92854482471,4961.49087321565,4901.8534224398,5437.68292023699,5379.1742565114,5371.67997643876,4868.11087860325,4868.73356301514,4847.5051473134,4750.36213759141,4823.0049492454,4771.65447191208,5248.08743602664,5226.38734001405,5312.13300199223
,7,5065.5126148953,5181.56407178464,5135.88302621301,5001.89372605696,4930.39163588869,5080.31760528115,5349.31876696384,5896.66992961367,5530.49411754822,4801.83468413949,4927.44502755786,4899.52588298474,5031.63466937845,5024.07107291629,5092.59005900181,4993.41465272816,4836.01016326729,4993.88299671654,5594.78766672295,5746.90264057209,5585.3650350438,4759.89679021545,4760.98175383431,4738.8088797479,5131.80767401982,5065.72990174456,5129.23924776183,4914.88099299633,4956.57258570744,5005.59647302641,5673.35602952152,5773.71106330342,5429.48182853663,5253.33934209901,5241.870178149,5245.30756151616,5034.23440152901,5018.83964123661,5109.99919978634,5015.17983178643,4973.98145619276,5017.38454528563,5382.92134174525,5712.23808688084,5580.61479593919,5058.3480003919,5017.60796305987,5050.97943524121,4936.82393331507,5010.37275524144,4981.80436000823,5572.56848917909,5697.63530554873,5627.01662525362,4931.95297899524,4910.98025797474,4870.89678064385,4844.60803454259,4865.04471871699,4809.32054169866,5561.76825997164,5623.87705667289,5499.89737780939,5073.11883822921,5003.97158076508,5034.66284390985,4892.12132980513,4985.66833365551,4923.56401691283,5649.14468126399,5595.5859088923,5582.29639547833,4883.29389485504,4889.11739320777,4859.97676560845,4769.43029032411,4846.25824746274,4788.93530245611,5419.39958938541,5385.895592072,5483.72081201973
,8,5096.22132598257,5208.52670467623,5155.50826295239,5027.7962490934,4966.27527562941,5109.97741105247,5628.34766854717,6212.74492497233,5843.36670054333,4818.14516064652,4946.07672030139,4918.10109152348,5061.65621084091,5051.5730883681,5117.51431107353,5017.32133996958,4852.28550753712,5029.41014176934,5939.64848789251,6140.83371033972,5928.66306849093,4774.22536964908,4776.8432085663,4760.14994598277,5162.99058929053,5095.9881374518,5154.8364015263,4936.31218017762,4985.26638133021,5033.4402849462,6002.75851567738,6119.91823188734,5704.34303432371,5475.49809240989,5450.1914225027,5453.15963846035,5055.04792637551,5040.65159333887,5124.78425840252,5037.29437847589,4995.33023268074,5040.92880728803,5649.93011079555,6072.30291420634,5900.85315165258,5083.19223424749,5040.87716822507,5073.29030051357,4966.49138856111,5040.84804935703,5012.33897665877,5918.13691077431,6056.46927278074,5973.7531008063,4947.16013212684,4935.36037860328,4895.21129265277,4866.63658458767,4890.83096572042,4834.71936093707,5903.32518705383,5965.37094457184,5807.01997616385,5098.31275843566,5025.88805804915,5053.59264668269,4910.44419125839,5006.32417645516,4948.3044567087,6010.91681162295,5961.73022284824,5935.63178756005,4900.17480011866,4908.11055249699,4876.60322658818,4788.31549699935,4861.12295015975,4811.96854264631,5710.61255465316,5677.84967370137,5780.02347084114
,9,5121.89929492855,5237.54589027972,5187.78906167137,5056.49707819175,4997.32529267877,5147.12287225126,6112.87328025591,6739.10797113049,6369.86218619099,4835.79480589457,4961.24512013674,4936.62414209721,5084.06245650115,5069.00832264234,5146.04374175667,5045.94972534662,4875.64441189013,5056.14129858406,6522.95399938071,6771.8413124704,6484.89422960391,4795.20477838875,4799.82239249103,4779.46082317249,5186.87991885347,5113.2338024865,5183.67187283653,4969.98733559188,5008.47114546185,5061.53282985783,6559.66886226192,6719.36154712661,6182.07395340939,5865.80319995032,5826.27143517751,5838.4348653555,5081.10946870642,5064.17166176703,5155.82343305511,5072.74557362294,5027.91511218649,5069.50349975978,6127.48641702295,6677.55489954753,6461.16726519709,5112.24295757478,5068.12960176939,5104.0705473185,4989.96087405965,5068.22633043506,5032.36206673715,6490.43043290901,6662.64115709524,6552.08992548919,4968.0097611008,4958.43064184345,4917.52785898163,4879.82526272163,4904.81090441001,4845.68697019443,6459.60217843839,6551.01420022676,6335.53543478544,5130.6094528348,5048.91132222268,5087.48406666988,4943.75358485235,5036.76059664353,4981.22938614049,6633.7872819979,6572.09968439687,6544.99028141378,4956.58978196096,4930.7710838333,4901.11471873184,4808.02795102757,4878.82285650059,4828.19739842638,6221.99643776104,6194.69404826757,6297.17389603403
,10,5150.23457820981,5262.99041257542,5209.1387960286,5094.15781688567,5024.31007714644,5186.09350591023,6854.40919985417,7506.96230695647,7169.14788665997,4852.33354311589,4982.70941847166,4951.29890217476,5113.29740449796,5106.20682702079,5176.03950952214,5090.0249473734,4909.80779955711,5089.684548567,7416.4667214685,7697.09420322655,7337.98269578856,4824.53382086762,4821.87265276055,4794.88145283438,5209.08451717569,5144.86877668617,5202.33961740088,5001.92095587219,5032.82191748491,5090.32902166223,7406.35394463565,7602.18127772207,6942.22940472067,6496.72340834073,6459.23053492715,6469.31920019792,5107.83909052076,5086.402044577,5178.1907892364,5098.02486907183,5056.73664284955,5108.07520943187,6904.91763427121,7560.60310167196,7282.01033092568,5129.98470687525,5085.23511149135,5123.39089601117,5020.70724591271,5100.79037750577,5067.36964865955,7341.54044356221,7561.14335595664,7415.03262127339,4993.4877524741,4980.96713696693,4937.74637271333,4915.04901955808,4933.61111044231,4875.15170902025,7330.04316707126,7430.22202829562,7172.76486609039,5158.46494397567,5072.38362095766,5109.12313792798,4974.69698875844,5074.49886546122,5017.29913447048,7524.95717987503,7434.4824281484,7418.96308849834,4983.07982083183,4953.44765087143,4923.22264764206,4828.16380674476,4911.84276826309,4855.88990426131,7004.61518661732,6975.81635602789,7110.91160729968
