,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E2,E3,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G9,H1,H2,H3,H4,H5,H6,H7,H8,H9
,1,4923.53212358633,5043.43530019457,4987.72598049583,4794.29502558037,4892.6943141781,4854.40950380928,5051.46451980605,5204.95185428432,5181.32417269258,4942.99359905121,4969.96216677265,4903.75693544033,4931.31247850719,4971.82529353472,4908.71992044906,4892.16341750479,4865.77022480845,4888.09650081339,5191.03732479646,5119.07732188796,5162.37832370771,4895.35302105194,4842.4139755003,4793.96318225121,4972.61673146073,4974.39593464282,4968.60751523355,4864.00616645306,4882.7280638838,4920.31785329125,5227.55059101115,5294.86128700949,5193.86738782376,5056.70779406189,5203.74360842736,5047.08010475521,4850.04259944971,4907.92590879198,4904.38839534931,4805.50104776236,4851.23801786149,4795.68649789524,5135.72734574778,5085.64093196443,5042.8089197074,4904.42823856805,4877.96530676863,4904.50982316126,4815.05782855287,4823.33881298935,4758.66174529905,5067.78557125027,5062.13531571019,5070.54391969266,4876.80233269988,4870.30528928882,4937.22065219603,4804.34544440731,4805.68212397636,4757.73048472252,5156.19993011616,5113.62230617292,5120.57710534051,4947.44756156486,4933.0773369682,4906.14261066161,4817.6863326327,4848.49996361017,4762.34059740831,5241.77320820228,5128.67209985773,5150.35327235277,4656.47415525239,4689.47212296322,4678.24163346637,4437.41836613409,4536.13169257127,4505.00807953813,4864.25483490482,4849.24332856758,4905.77904737435
,2,5014.82996299615,5111.1902274532,5054.59585811673,4854.20072990771,4952.19557411324,4919.2960531814,5112.38524731971,5280.03318459359,5241.99802436929,4955.03505548104,4994.41256402759,4969.98086487542,4980.21729265424,5013.16962935473,4960.92218262561,4941.54855502701,4914.73125172839,4948.41217766588,5245.2256374267,5172.59238391007,5210.46879669956,4915.37292806982,4864.18678329008,4820.78647171574,5025.94051394523,5030.43282568078,5017.60168396999,4919.9404881827,4943.8325191612,4974.8942606508,5287.28578279526,5358.13402551611,5249.02614527665,5080.48534392337,5228.91757325271,5080.24854594641,4883.69674303187,4944.08134685314,4948.19763681188,4848.66207779914,4886.74797449068,4839.91784351722,5178.40032179161,5137.97750988639,5077.62119867083,4938.84068709768,4919.71736711254,4936.56335704846,4854.52773061455,4850.81420255696,4787.21715006349,5105.1407361047,5096.18308343224,5106.48101008119,4911.03816803601,4908.06003988616,4974.19589100483,4841.27392203266,4846.08485806773,4793.42708222881,5193.44074268579,5160.5020754001,5155.30185500267,4973.45477037493,4918.72650088931,4938.94497452544,4857.66003735841,4879.5917087407,4798.76741596621,5284.64709169864,5175.52026101318,5191.68350428152,4674.19740976883,4703.9846706104,4683.70777754524,4450.38238550215,4554.44079236064,4509.9712650762,4890.81524522204,4872.08730712859,4922.13061889889
,3,5051.31464431931,5147.61530409416,5087.24231173769,4896.08539366481,4992.4400343071,4950.20726114841,5156.05822512754,5332.08506687506,5287.95708719167,4972.32051949505,5008.48713183802,5007.75513937449,5011.09080372577,5055.122896911,4994.14232595747,4975.92846916371,4950.63258157412,4980.18381780687,5303.2382063296,5226.424161097,5258.88914180856,4934.41546396817,4880.92686555563,4846.16944523329,5053.88423424541,5063.30016259927,5043.39826350131,4951.98971046649,4972.29264520639,5010.46871416045,5335.78261586929,5411.55146138515,5296.12836043322,5106.64751277341,5251.67284025984,5102.16037668338,4899.42632673515,4965.70840559597,4968.78117860832,4874.02889930057,4909.49957773044,4857.81364825438,5214.36068991791,5163.19756538681,5108.06689725721,4955.30706670238,4942.12943938606,4954.81573910586,4871.12720313901,4869.6944440111,4804.1468099196,5131.27225220692,5127.22108533321,5129.74051153172,4927.06811199956,4922.80221064613,4994.14878981878,4861.45139247825,4865.6327038099,4812.64875137166,5231.89832828282,5195.05507050841,5188.61451554113,5001.2496834737,4944.30042997339,4959.56706079939,4883.18322215375,4898.87712703399,4817.9813091918,5319.38740885807,5220.9898793435,5233.09005037928,4688.00380277424,4713.25723381649,4695.94606143623,4465.99202306535,4566.15502740379,4523.78238403592,4909.80654550594,4889.22900799457,4943.0264362003
,4,5082.28999008628,5173.95510373193,5116.79456606351,4918.65021719744,5018.9249824153,4977.84512420481,5201.4742851265,5393.86443034498,5347.26202747883,4988.05265774366,5022.31103675624,5023.04011624432,5034.53881938461,5075.62555410107,5024.7833878706,5006.25186297922,4980.85542196919,5008.73444361852,5365.23450895977,5287.76886420562,5311.00594541324,4946.65416436839,4900.4438870919,4859.94128734445,5080.99472583336,5093.04054206412,5074.87856237651,4976.04160908875,5008.15716128039,5038.55532517167,5395.64612819156,5467.72359388788,5347.90692112305,5147.69845569722,5294.53136999805,5141.17289249415,4918.26957781443,4986.77938301932,4983.45058423517,4887.56044977622,4928.81407047543,4883.67513352977,5256.82744891968,5213.25401866459,5146.61899258756,4973.82319528142,4961.03636819156,4975.16745492428,4892.29527335099,4893.95552281655,4825.51318915461,5176.38673683743,5173.95472149533,5173.62366283905,4949.38881852388,4943.51035958492,5014.69850051213,4880.28097498104,4886.64581323763,4830.10364632351,5273.75751042916,5236.47349723402,5230.56906911264,5017.23086644754,4970.61473519877,4976.30638957119,4903.39430957413,4924.49327438088,4842.97314720508,5374.15218489824,5267.65570226285,5290.04826222038,4704.73323904204,4723.00015598248,4708.8678737619,4477.8983813866,4578.71227775471,4531.21418747481,4933.76300719135,4914.30261375019,4972.01185700008
,5,5110.38541561426,5210.24847511552,5142.97661309445,4938.53341489213,5040.63093874071,5009.41001745949,5270.4808357673,5474.34703895833,5413.11579249966,5002.14488302769,5037.74029984174,5044.23974146693,5054.56661453796,5106.62190840456,5051.27761663826,5028.1342872146,5004.79902397167,5028.91763585998,5445.83773068898,5364.62596022208,5382.04595386169,4961.80475435634,4911.95823410551,4875.50492263332,5104.49761201264,5122.92749864278,5095.60262183458,4998.40688477267,5031.78564197487,5066.07244293308,5474.59559616941,5554.5233568312,5423.13652392678,5205.12364438134,5355.2457705965,5191.75608886323,4935.47053529864,5005.53738558842,4995.65318086929,4900.22101529105,4949.91610854168,4899.80375181129,5320.34002053763,5267.52330400844,5201.41936727164,4984.70075530631,4970.57425552992,4987.75227815988,4911.67917398065,4907.25768924458,4832.18910887437,5226.98957404552,5228.69957367917,5230.65957558742,4962.3020676816,4962.02349507088,5030.91326340174,4898.27532170831,4901.60322859098,4845.6454376501,5336.59194896922,5300.06475148114,5292.17561235379,5047.42197308871,4992.14818313264,5001.48637331697,4927.30718914252,4950.64126829386,4861.78357307699,5454.84375557111,5341.59493828314,5361.80644974445,4719.22177806364,4744.19412139784,4719.27981326942,4491.10349731212,4589.1869555527,4539.57956846312,4964.48017703957,4953.53434233252,5005.02803873623
,6,5133.19860566913,5234.37481917204,5169.99596016527,4971.29342367578,5073.94793893476,5031.29189444737,5386.1492296351,5604.42926069065,5538.18642581813,5020.01235787401,5056.93684353607,5067.05352804611,5078.94890023151,5124.45376766657,5073.40311031421,5052.76129779153,5035.64968927953,5059.74539929746,5575.04250155207,5495.76188748967,5502.58070544592,4980.13965724618,4922.1718056176,4888.59387094709,5127.75053874159,5139.68466190763,5119.93550792672,5027.36027586669,5055.37612486746,5088.30190365437,5591.53011103915,5682.54293888738,5534.7682823039,5297.07392741573,5457.82320419973,5284.17827693222,4946.77849585471,5024.13841127473,5013.2879248265,4917.7944334141,4968.07567109007,4916.6148124223,5405.98676295029,5375.44989391116,5296.03074703683,4999.57541913224,4983.66194960693,5009.35918378565,4922.74988602889,4927.10547437485,4847.10144529776,5323.3484479835,5328.5550804134,5322.72329207802,4980.28363987146,4983.35514431214,5050.95236336168,4916.8462174247,4918.9310395796,4868.66048522486,5435.94679225235,5395.73335048766,5385.50325039226,5067.72149960771,5012.64014016891,5024.53060436942,4947.45353335882,4972.76313854188,4888.68339137048,5584.73977060901,5466.71977134774,5488.43562602615,4731.82963197025,4753.9105118257,4737.41311869955,4505.76107413346,4600.51255350881,4556.55692587333,5018.51287167547,5002.77031137015,5062.21959869623
,7,5157.4757942635,5259.15390451168,5195.91224474245,4996.12147643306,5095.79574970448,5056.19576239812,5578.87089546569,5822.33360578339,5736.22153390213,5031.70656628131,5071.82531167691,5081.78725167902,5107.24998339283,5148.10840999409,5098.38888826735,5082.96929091848,5057.4446114472,5081.371251928,5790.54153887429,5704.82315906574,5708.25484820498,4997.98998807472,4940.42126675693,4907.0253471643,5149.14703781403,5161.38871436436,5147.88953355038,5050.96922204485,5078.85513128787,5116.58420872858,5787.2311084425,5885.75170086318,5725.50098469983,5458.46895942827,5628.21984543214,5433.86829845008,4968.75865525476,5042.88779878827,5032.82129985062,4932.74349732888,4984.69548617704,4930.42167710019,5581.80247172516,5536.72190492982,5453.50535813247,5014.77161718354,4995.19375504717,5027.85025884795,4943.89059245,4937.78220660259,4858.87378052444,5489.59988413177,5491.52171301683,5492.3088653229,5000.80465911329,4997.76724647252,5067.29081693859,4934.32502170081,4937.59498058208,4877.66780729829,5625.68443279856,5581.99041902388,5571.96607607987,5090.29435459774,5036.18227115624,5051.19888752932,4979.63584752403,4999.24562830185,4909.06314831998,5810.79916102926,5677.1676414708,5696.79841893647,4742.60617637917,4765.16191753882,4748.28342135466,4520.86655149506,4613.8706379432,4571.43334239774,5111.79778319184,5095.09274868068,5154.82863056409
,8,5183.11964159277,5292.23671467986,5225.2508563348,5017.12554243981,5126.48871272033,5091.7110674345,5905.09921906706,6198.19475499496,6088.33431073869,5054.13839787816,5090.480415601,5095.67133236316,5131.74479759196,5170.76985157003,5121.04056289363,5111.86064420198,5088.81851292348,5107.22557419067,6166.20379449759,6071.69818036002,6055.47051595876,5015.47877995888,4958.61182448302,4921.36489273876,5175.75535166175,5188.30337517182,5166.42563354011,5076.89571137753,5101.9068621812,5134.95698501601,6118.30494876887,6251.64002398778,6055.69830098304,5750.20392655367,5942.08140946898,5716.12003049961,4985.82548926494,5057.46530091325,5052.73937592194,4964.4374156698,5002.99267444944,4952.62729801824,5879.60342010005,5840.2455329254,5739.18787488402,5027.99682602218,5019.48420344479,5041.74411347727,4961.82398133841,4960.1928875939,4881.62331768775,5783.53792802868,5789.80598971595,5791.8658143272,5013.33522416215,5021.85902594847,5080.82161993016,4945.92847465532,4959.37657844751,4900.89366045078,5952.93395899217,5898.75022746274,5886.46371238495,5114.15226341048,5060.2375285039,5068.95214383611,5009.36671441135,5025.93883488175,4937.50176033631,6204.19871371664,6040.02468529376,6069.8156759139,4762.63839686488,4788.31481044591,4769.11701888079,4538.09068466881,4636.03862268879,4583.8700030838,5274.54625492444,5257.56001089346,5318.00657423438
,9,5212.58391733345,5320.89853409963,5253.38418731938,5049.85732468403,5159.52733902767,5119.97414213421,6460.85368414251,6817.09097443379,6674.26083300425,5066.86198653109,5106.46602377854,5110.34844675193,5153.30856063597,5195.56024407621,5155.01647416514,5135.59647192028,5116.10749516509,5136.78750120336,6780.22562465431,6701.65644212109,6628.52450010945,5038.71604778225,4977.46052025509,4948.52702403209,5197.44515614244,5211.96166099098,5198.6132848481,5101.69984281138,5134.50597420435,5173.68265718296,6686.65764417116,6866.64490480718,6604.63343813176,6255.62753445857,6490.65153455166,6206.67957221384,4997.04344258478,5075.61857525419,5065.96998986331,4981.88748731559,5030.04301988842,4976.98117825746,6402.40470128131,6369.23541459123,6238.31906018795,5043.88940703385,5036.25940387822,5057.72145594239,4977.17335934089,4975.49230088369,4895.08488663568,6281.37163915102,6292.69603624575,6308.94969117713,5029.46856327259,5043.52838083343,5100.19925482296,4972.68625645224,4980.67794970542,4922.12337050937,6504.7305630194,6443.96582019873,6437.49615698103,5139.59420100157,5090.80057345104,5099.3603244012,5036.81813078801,5056.46690832607,4962.92265971265,6859.52296097202,6652.47719008007,6690.27591487865,4776.59896426656,4806.14109067789,4774.29401985047,4556.95407942154,4650.05644202003,4596.63115599908,5556.94023912773,5539.94758443602,5617.65911436639
,10,5233.69847576612,5347.65258203125,5281.04600220744,5078.62956664082,5200.16594305806,5159.40492237199,7280.10535534259,7697.36602805911,7520.28195776903,5083.86065118866,5119.762018104,5130.53169075743,5176.52529222452,5222.29291402967,5179.95668375746,5166.61894632779,5156.96011362913,5165.48604554247,7689.45392723785,7602.65544283055,7454.63714285988,5063.08349841725,4995.43800913206,4963.14117232746,5216.02193303581,5235.25293314392,5220.44759216862,5135.96657904205,5168.3437704631,5203.48021596387,7522.66333667327,7766.1172564358,7417.6145026133,7038.98355038701,7339.9206730144,6983.12847142157,5013.65934765099,5098.34258466092,5085.1518522014,5003.3127359791,5056.87812983074,4998.96975209245,7231.41097904678,7172.91407632212,7011.76796173177,5060.09028007844,5053.27338109528,5075.23677633845,5005.93545193645,5004.04359076027,4918.35846861946,7084.17347604485,7094.88258471042,7135.83132554872,5048.16870242755,5048.56120148758,5107.3551619703,5001.01583417275,5002.29693551231,4944.26133852262,7355.77874495975,7259.43040525673,7294.8605646469,5166.14279410038,5115.50534315928,5122.85766951547,5070.74859043877,5087.12278633208,4996.4813907728,7811.6068991595,7553.1644859911,7620.27786195301,4794.72758938296,4820.60619121078,4801.16907074613,4582.71319543606,4676.37303406866,4613.92132052508,6068.29924467511,6072.23182500895,6154.38737585204
