,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E2,E3,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G9,H1,H2,H3,H4,H5,H6,H7,H8,H9
,1,-38.53379425392,-19.4982133354279,-15.6888527338924,-10.8068177102286,-7.04594702973191,6.52972626786141,88.8334253554031,159.06742114929,142.727039364762,32.8426117791369,14.284977095157,-47.2830160906115,-9.35950844061244,-7.78237834529864,-8.90220625601614,-7.94912688934892,1.73188192917769,7.89217398515211,181.795512558648,171.152609979478,170.412287721655,39.93228333559,41.3851883211628,11.0032029775502,-8.27585101010209,-25.1980055335816,-18.0652991094166,-10.6291779582461,-10.1974569842459,-4.7743189777957,166.66589551032,164.232834856526,107.346011039856,135.989956216087,126.53365465118,115.236121987406,21.1970600066606,27.925122577617,18.894661176605,37.1582008652504,37.3228487327015,43.4953818025997,122.629095399731,128.034783126627,133.935255710499,21.8849505601793,26.6678444047093,26.7351652063571,40.0922084133817,16.2980736295094,30.5305359992817,109.202264508182,100.968106119292,120.534041665967,47.9491350355347,49.1209766717793,39.6722040970208,56.3324341098014,63.4580710574746,56.0181050080737,93.5883776912005,77.7423432596624,101.738860460009,42.1950911594922,47.0703906129011,51.8271838014452,55.698861461301,51.6201672473944,58.0339137808833,82.5099884480624,80.4714418233507,88.3699594870595,14.0998847122637,23.1345281385438,14.8293430819131,18.1787231832132,10.8450673413627,16.5844258764828,167.950053146189,156.255753573285,185.187503312499
,2,5.59635374161826,8.04393181609066,15.8804164767544,9.13542927451181,18.2901229097015,24.5108716865507,141.609465472832,211.087191718631,190.601577366016,22.9218982944776,12.8311851628023,-11.3482499184765,9.02399031682126,11.8363688347554,8.18665019562377,10.4120938452625,22.454094217429,25.3111019450362,231.650115153814,222.396105108674,215.776733290679,28.1259547930458,29.5689804664271,20.0671667256784,14.3153416006553,1.74963225647662,9.65915548212706,13.0319899672158,17.4669827304306,19.2441344218287,215.846274318341,206.851070167508,154.545430529468,150.069613864948,138.319267102422,133.841903803609,14.9074232693456,22.1386263516579,23.9831561626188,28.5847185841822,22.5649129644298,34.9566715604724,149.576660089007,149.570430010188,161.42632269135,25.1569766961102,28.8260740198293,20.4773104132446,34.7370015515198,25.4624185014864,26.5706983880491,135.649337460002,122.897694468638,138.901420873296,32.8157139786263,31.0563359102052,26.3220462274276,39.5055927723433,44.7289674986596,38.996479523661,61.627581247566,53.1472030350069,67.4808623564531,33.5778416536723,25.6762718342006,31.2708719619832,41.0662576631285,39.0697804012525,38.8136008061992,50.8327582336697,44.0971963173915,55.3993900863488,21.4564668633084,27.8020521406197,26.8692025515047,31.4105663306982,18.0129077525335,17.6161569300311,187.966254733879,184.018680550506,206.850557843846
,3,13.8765556474928,11.489226628767,17.1587939182782,18.3692687380617,17.406121434311,25.7975151354522,197.492668817245,259.438120954102,242.187985533443,19.530507632172,11.6408233906432,3.86707428798309,14.0118607668683,13.9336477636734,16.8208450502107,18.4055551296351,24.8129711168021,21.6289828552544,269.90589142378,266.110029873942,264.628550742898,24.0481916677263,21.5319017160555,23.7033714800946,13.7767942556929,11.8398041211931,11.8276932953868,15.7883079059284,17.0335787513213,16.9985428537957,257.504094851098,260.771323368771,207.112342122678,165.589785655593,162.351896865832,149.888554536017,18.0957047591446,17.275214311765,29.6326325951504,31.0795132956318,28.8341075501476,33.8253339518305,187.261131041724,187.683272155111,192.704716033036,22.1650532521608,24.120845834208,21.5740616702606,27.5232950812224,18.8298287699772,19.6188437752562,156.209619274842,149.24158358248,166.287780836492,24.1528255714575,25.7498424858804,19.8650039529766,28.6747679459531,30.6404253450473,31.5225564552966,35.1136820718848,37.1529429303273,42.1605719693498,25.7160203442327,21.3838985129587,27.4630018421076,33.8968960731727,31.2761693072625,33.4668819460248,30.6570922725423,31.1978452284875,33.4223452489714,15.7288702567075,21.3493806861015,22.3848547372454,19.5413506257501,18.4030317181532,21.4146732971012,216.443854338592,209.541493205255,235.03966628022
,4,15.6975904354922,15.09962088053,14.8227653024987,14.8808407654024,19.0357106513829,15.5129885846309,248.302652785663,309.540092826706,284.30788664931,13.1275974602258,13.1406330399341,10.8909548663751,16.7465723656524,10.718657239483,20.5441669380743,18.3111943466356,17.6328881375921,20.6423110195419,320.794940292735,308.972304818818,310.107653244718,16.9302863478979,16.751721701542,16.3619504279313,11.4897919041505,9.71661593943281,14.3868382894016,14.9067396500914,17.372562232782,17.3383845700073,314.929695934357,306.559183987971,259.958542495503,192.526896721679,183.993381415636,181.586448083355,12.0496978809015,14.8293883923598,16.8396118103719,12.1761078855652,17.8459522229477,24.3301307017828,219.031146196054,224.302897108595,226.344845365968,13.0901755124351,20.2124370949932,16.3588581354506,21.3284003831941,16.0681642145119,14.4765843270097,189.151934323355,176.127753630043,194.714008177401,18.2855298630757,15.4015495434769,17.3903967273418,21.6076516983594,19.8447967189659,17.6774068192262,15.2516595285633,15.6106471072044,17.0922973352663,18.5089636231505,12.5648801286125,18.8515767688787,18.7819866437503,23.3216759598463,19.6698939134685,14.492496809803,14.5006769098536,13.5141940388348,13.4401920121272,13.2619792383721,13.2537301130005,12.4587870764499,12.860414913177,13.0913827180466,259.743648320166,250.55740603095,283.620294128849
,5,14.5342726243207,13.3722351500937,13.6061477677504,11.5851766524065,16.518153422865,9.62169346631981,326.150266901288,391.324902365521,355.614042499724,12.5961802685733,10.7829376731906,17.2267289529054,14.8214852673473,14.7514188397781,12.8800583020638,9.53523918296105,10.688145670114,12.3093774277968,401.560943908004,389.307972171618,393.85999638012,12.3275473305648,9.76462129128595,10.5349099475116,11.10697687228,16.9463752271822,10.2971265683937,15.8066192710085,15.2342681954633,16.2485913449482,390.628502524191,387.619478523734,341.948987470852,230.691893004805,214.978951523048,208.958082929577,10.9004772615517,12.1058020978935,10.5886783777923,4.53202673408668,7.07981612405911,14.8923463687315,271.531395251801,279.068702934903,286.42704033829,10.2865272725603,10.3399540858891,11.3800560949703,14.7664964171099,13.6359545799151,11.4780245512902,236.192231720669,220.269354034438,246.09166269202,12.5183872399366,10.7163109377661,6.89763684879836,13.2476691983238,6.63225784519909,10.4120145744191,1.19847666465375,-4.99163253712959,-0.253369933963768,10.5194225250489,15.0462785684704,16.7744966914988,15.5714090557221,9.3360522869134,16.1618266013093,2.07888834657933,-1.03383707290504,-0.741401664092336,9.4643225917298,11.9064372762532,10.68636955071,13.5620119211053,11.7190098588244,9.09989479387878,315.883068549682,306.54781921586,353.697133324202
,6,8.13765621253606,14.2837187266896,8.7880331899978,9.35879313733949,9.73499183904278,7.25249206779517,445.355060541373,503.194616392867,468.539535461869,10.6804948592107,10.3341037165364,10.1198542126876,10.5552917861578,11.6977679633674,12.3206349868033,9.87814941275883,9.66381432098933,12.2358620068699,523.721541546696,512.904606124687,510.64458107629,-1.91981221411424,6.60554896294707,4.6531304274431,16.3657999120951,10.9030399661397,13.7723571215083,13.7282454826272,12.4693254047315,9.21338865032794,503.937853100879,503.910591342609,459.97738059353,284.753038866059,269.222638364208,256.924057362314,9.5145235735481,13.4239071754791,6.94806507945304,15.445279412239,8.9190300374903,14.2283696756595,362.393939048756,364.992293488376,372.257753946705,12.1187004910935,11.3418541052279,11.3120600153716,11.2450611803033,7.60236675141823,9.74624773415326,304.639362292687,289.11099133283,321.038111385613,7.08933169332613,6.2887178324836,11.2736521599445,8.65654228726817,2.80476343537521,4.54677044977416,-8.39765432717468,-6.84057240119182,-10.8354691780987,10.260180875458,10.0942927715078,10.4106049798092,7.08939289108002,8.88745668699084,7.07324532425628,-12.0149578509972,-12.9683179517615,-8.89005139319761,12.1353402888017,8.49109132011381,9.52807256960659,8.29966400327794,7.1327553676856,6.26309076444795,422.685551869026,408.497281369908,458.05295024883
,7,14.6756555971351,8.9155291187044,7.22406484002204,5.94267118446896,6.49588146970473,10.3964882890095,652.867733450419,717.481790214788,660.014427185619,2.62435012971127,8.03778971152678,10.9024677594134,7.82888884576278,11.4097991045337,7.10846181360921,2.42254115527794,6.30939607111304,7.80733025360678,739.792063448877,722.655949357022,715.035109300826,2.44230862135919,5.15493496048566,6.6182635345067,9.35159162841774,10.8583081722099,12.2218453998912,8.59809861095982,8.10479381796085,8.12915720416731,705.729991918136,703.189911124377,669.470296618058,367.736296791299,357.308302531625,339.613973098486,2.00767871297376,4.57639028252379,4.91642641177259,8.17509555513607,4.91962651743324,0.113570097933916,503.277078937677,509.980455665214,513.955436876131,4.64047075690905,4.91907019156861,5.90426185882461,-2.3082978723487,2.82789617449725,8.51993808802217,418.640024915471,403.791308080372,438.426826691965,1.29793708278339,8.6059125396032,8.82374929997059,-4.55941659725522,1.54408557955048,-1.65663337182286,-12.6648559746518,-13.6454476537065,-12.9441701623527,7.11262566447112,4.90667364331875,6.38135864794367,1.54375235066891,1.37835788219127,-3.02350208653752,-10.9700592565396,-11.2148914475711,-12.1525227623752,4.29552789092213,4.77285576385475,-0.173995933591868,1.93592191530206,2.75143975739411,5.03255803373668,598.712731363865,564.166318170788,652.77637682318
,8,13.0262211649297,15.5024230763984,10.6856189443843,12.668412262753,12.018101418802,7.10231415790167,1002.40217729692,1071.13481892249,992.691103371833,4.41144021124273,7.97630980312169,8.47856807537755,11.0527806806194,10.8989280814112,8.43148972362178,9.11476620365465,10.66495207965,7.01699875909708,1113.48642839035,1083.61537805784,1073.50093808011,2.9718697704684,-3.37746907119526,-4.53801938769629,12.5896691402522,14.2941057648177,15.5406715176659,8.41791396686313,4.72381640041931,10.5825970294891,1053.17059752844,1049.72842182932,1022.94406361592,522.793719447114,519.476270027962,482.572542461294,9.72237730508459,5.6211212507751,2.43542111746774,7.3642653759598,6.25579661806478,-8.32374488313508,758.367466660303,763.24917153165,777.017481171976,6.16580182453254,6.40015387151288,4.11064310294751,-0.826281822546662,4.32532224741681,1.4553634408021,623.285228298175,598.723971152423,643.466732206864,-2.18508571088751,-0.191833435930675,0.291797805232818,-14.8681634726036,-11.1086199282381,-8.95021059382088,-0.488114726020285,-2.33136640764042,3.13878706655123,-0.901541606526735,4.54728968534346,2.13910056814439,-9.08259892963997,-8.84107841395053,-9.74203351686174,-0.870068531675315,1.1305012225348,-2.12127634465742,5.29116970417181,7.02339452024444,3.32577034440783,0.000451051269919844,0.54236269269677,4.72834834592231,922.933450648266,887.318377105197,1006.50337508047
,9,8.43460366225099,14.6165622577319,16.1705724915773,11.8635456835991,15.7614429547311,9.41080264419816,1590.502025459,1675.43673387433,1551.14460521875,1.75999622801464,3.12218170044798,5.21251411153753,13.6343946184115,4.85692306903729,5.01762745521137,6.80056868735483,5.83088894860884,8.81048330943031,1733.48888487226,1695.68835709993,1662.25065190555,-4.80169506619222,-3.68748083027458,-2.71248068804107,10.5180985419302,13.4956468151049,6.41425882023759,4.22457462322018,11.8775288693105,8.32228213545477,1630.63465622753,1634.98403787002,1599.17467164484,793.235618596314,795.686825537654,737.268626611367,6.22213322328025,6.54335693434859,4.33536740084219,3.23902729718975,4.05769548554144,1.52793498996198,1194.67982316092,1210.96269745944,1225.58057615294,2.85967668063131,3.08844820453305,3.02032381979006,2.5564702182819,4.81859188208364,1.24509727346685,971.448507003297,939.737962891234,998.592965836358,-5.68402157282162,0.922772322517631,0.768371806831055,-13.0675201835384,-10.1101533087585,-12.499634353976,50.2279757880387,51.9988903124213,55.6931788912825,-2.13272542554569,-2.89991820835166,-1.93553483115102,-19.2999800607413,-17.3410670886888,-16.7440940962806,45.2484517012426,43.5049804782448,47.6496992040529,1.90162648211935,1.08247084266623,6.56581222743353,3.57056973103499,1.74406424661356,-4.92021926138204,1475.62368112144,1419.09275364375,1599.17183477924
,10,15.287681005424,10.9354614358044,11.1239750876139,20.5482530996087,22.1362078435677,15.1252380360893,2460.29277192479,2573.64541887976,2379.2146752393,-0.127127107857632,6.87624802120899,3.89455387861926,10.166549633208,5.50735694410014,15.5440656391665,27.8727201999027,17.9641593302167,20.713524242492,2664.0602874217,2605.2456289852,2534.75494843311,-1.2993471948339,3.19104610352315,2.77663401610153,11.7371531883782,12.2597059166192,12.5321057507072,16.6836929416531,11.0577530049823,15.4706337718462,2516.78071518642,2517.78228788431,2478.33360537093,1279.88856407659,1307.53021984536,1193.94936621836,14.9873869310031,6.59924558357852,6.89088656249896,15.3533521625941,13.0793013121756,4.99485683192142,1935.02075064151,1946.15796494758,1960.56902925382,7.23352157397767,5.5205370814665,5.12727518344127,1.30955376783641,14.8389874890172,12.6731207330222,1578.02328072724,1533.43658956953,1619.39765887669,-4.41848013203798,-6.08337438796934,-7.5490524007464,-21.0861288308806,-16.4350162914188,-17.5016321895846,162.850566148351,151.142238265625,172.911698910026,-1.47757887094031,-1.7481243212751,-2.75436899426313,-21.3002670451269,-17.1970135614984,-16.728414305253,139.304239449375,137.077135449907,152.396026922737,5.07802483276464,0.297753864688275,-0.945213508389315,4.82915002011396,2.37441159712489,3.91235041488289,2356.03440921103,2262.74400306275,2504.96098080165
