,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E2,E3,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G9,H1,H2,H3,H4,H5,H6,H7,H8,H9
,1,-34.9158894636748,14.7505522815381,12.6754080561986,-9.40588633487823,33.5463391080411,20.3857242255181,119.283184632187,107.830887387133,117.466532227966,16.6125509829635,34.9232480141172,-36.4626319364424,11.3946633715805,22.5067887457571,7.04016717559989,10.8856799263394,29.1876072703817,27.9113145550709,147.45114927784,106.251788567964,131.863869252114,37.1363419296713,46.7508515695363,32.005303935116,8.46781687608927,29.2424589432949,38.0054621218751,17.3690338587085,46.5460860221674,47.1282370978761,64.8213625020944,90.9629076376123,104.6091961865,30.2118083505848,45.2384183107797,34.8849851521136,31.517568484117,32.0289512565905,30.7199530379357,20.6395321267873,69.3656708837743,43.0734622971941,119.302451049847,118.404713423165,104.558738850826,17.5668166691739,30.7122136781654,38.1701305907172,15.5145182199667,38.6059013219874,24.6792028008977,157.544549105216,147.432910708858,123.375440550984,20.7533449046932,37.106336494895,41.2299481281652,10.4664646975889,45.9712837881289,42.9829328175947,139.182492068202,135.94799630017,144.409476818077,12.3952098757063,8.97373289809366,10.4830502067434,15.9982846288885,50.0802273555455,27.7198125967534,75.0490401059678,81.9851870136281,98.3085418533501,17.0581020227055,39.1291484810063,43.4920999694205,43.4146982463462,62.980646878369,64.8521895234662,76.8936966165384,69.6697528933782,80.0645886244729
,2,5.26708661528301,16.1214429241927,24.0415905330974,11.2081775795059,39.7538408537084,24.0568850813352,157.080362597863,143.024465286304,156.630448375376,9.367239555585,23.6991248019976,0.452956047176485,15.1537970779273,24.736141469526,8.85425441509506,22.5355790969616,29.3761306641709,31.8205892265514,184.372993059168,132.656843028863,141.971794652617,22.7978038124684,31.4196828688246,27.3029887466182,13.4665124623543,16.5665814278182,29.132379069024,17.2378847691052,29.0420710631452,31.5392814690558,45.2193735808978,72.1596732443295,75.4475704494562,17.5516671613232,32.3940171121121,25.1414028509835,29.3885168796651,30.1885230546204,28.4999295950356,25.7506300671848,58.3366440361351,40.4564791724133,162.60236731156,128.707755241328,113.906617789588,26.5894577694889,27.4380818358313,37.8107942781435,14.3895281341893,31.9098060611414,23.8013919000468,219.362947812479,168.478058919978,137.119856947124,24.3099472333906,33.731794716191,35.5189894908845,18.2227070938434,34.0067692453822,26.3659128140362,192.592625577578,137.071220883915,155.709929261192,13.3766926581347,14.0250700153847,8.19309033066747,18.6046176942327,43.2067596616462,28.9643761881207,95.7993710749188,65.7619487844777,74.2333315211263,17.1956453704224,35.2390782972143,36.7341930541779,36.0177933348832,51.3165745563383,47.2828308279131,60.0874809755205,59.6605980423719,53.8938633460621
,3,13.6160118845792,15.8495177718351,21.9102961869085,15.2165774862724,30.8889451547147,23.6143039282306,200.40813254396,178.726901074057,186.184348773734,9.3088650658392,19.0407869281944,9.43373780152979,20.8435410179291,19.7655999952949,20.1984518458721,20.1687011050944,20.4515588281465,23.5407432465172,226.5204718133,157.693590492195,165.871918678156,14.8922310565085,25.3738333450856,22.4790665721175,8.93623754134478,15.1341136574329,27.6525781852688,18.7212107929518,26.8803383057239,27.6827448142503,31.0306243018604,48.6986619290137,49.5454745702773,10.8464843459196,19.2292971408315,20.573943645154,22.883541268352,24.5094635331197,23.5085055097125,21.452524578157,41.9966879916938,29.3957597648687,196.535732972693,152.247066661426,130.806526013322,25.8140543894469,22.9396383212015,33.5463774188502,22.1336058874958,20.0178965387904,25.8383876422586,282.333221407556,196.883842706068,166.349473525632,21.193563637873,27.0053070957147,31.8689942198171,19.9192787756047,24.3047163169049,26.0546879219228,256.697690876024,176.285209265355,183.89034804635,12.5147279737794,9.89640816536757,15.382276859692,22.0705359688991,31.5843139216049,25.378580767745,118.902306080151,39.4951611973693,48.0147973362782,13.9381164528986,29.839364305637,31.5942523872518,30.8947597829028,38.5275789253601,39.668906210054,37.5269605394351,39.8701288837265,36.4865494863816
,4,15.1377266334985,16.5429261534418,11.8007382105079,15.5561133291312,21.7455097962884,16.8810075797273,237.758558855184,211.936421066265,223.911292764326,7.7558854063027,11.5547241901995,11.3680155121165,17.562847250947,15.1155740934028,13.5508424681839,12.6633814904735,15.7840434926038,18.5102978447712,275.709214149952,179.421708583237,195.690891508169,11.9601246819175,19.1299296429834,21.8569398579893,8.45959985372974,11.4455922956204,23.1980215209742,14.829453269871,21.1929431192257,17.4315706025236,10.6785494108399,23.9631205082596,24.0973497677023,11.8458122375187,19.5924087599024,18.8079906643497,10.8367749654744,18.3369401161272,15.7629301705938,6.19917740542769,24.7290085340146,20.282495142088,234.272946460569,168.931777179137,147.59140275112,15.6210520491377,16.6341355234808,16.7840599394822,15.779061689821,15.4065104179181,13.5121298307549,355.285096430443,235.728000544371,197.342887310889,15.5870859454144,24.9206929430793,24.5027565453893,23.114167631189,17.8504769919909,19.4584683043213,323.233771144587,215.358260821753,220.636118176568,11.3175969179265,8.08347867693283,9.43550564849375,12.0375175732061,23.2260906149068,13.9219867521233,135.0109815941,23.5710023574266,23.5387971228374,12.4671894344601,23.1238442137419,23.7306554449342,15.1994514635307,36.0938193498196,32.0499282507199,23.6076460856284,21.1534579469517,15.94207308157
,5,11.6612569854005,18.1462062159972,10.3856881258043,13.5387648659616,11.7916132038799,13.5579030370563,303.345976180728,267.964231962544,280.594437935543,8.22455050805274,5.94979574538593,11.1219653927565,14.330128476081,11.6268043064974,4.28896429451197,13.2668791109727,8.43042623093424,18.0193409411686,343.672843087511,214.06310287925,229.72055478956,10.1929751468797,18.2733083701696,15.853263743742,15.2696890548441,12.7228639514879,18.966817067816,9.68911510908129,15.1308722180629,12.2042217411199,0.583831433486012,10.1534605823363,8.82240429310787,10.2849574648899,15.4614766060013,17.5816587647505,8.224077730516,9.89784239132132,8.78026321512698,5.64561221012627,17.2918131958577,12.6788752865068,294.487352653885,206.683454226099,176.947653720586,12.3367762683392,14.0898665840523,17.7872646369324,17.5834974552581,12.4550006638419,10.1034087472144,466.323529256683,293.031607368912,251.172455574903,13.6374229841049,13.4689397435905,8.05630025746541,16.1721358723244,9.29433658430389,16.2984180590347,424.023521455355,271.912612814545,273.154517498622,15.1821175869627,10.4185474005681,9.55605229502089,7.01050195978951,12.2051403230389,13.9941339751085,165.85454362669,0.382853176768549,2.61840435858176,5.35943240331744,16.7357664319034,16.9261329691735,8.79681696315402,20.4500003614139,20.1453335418319,-2.73096954261655,1.05454695787739,3.61565046024225
,6,13.433396306641,9.42025463121718,15.6255841198927,9.6522994418392,6.89785761501207,7.52672381051252,387.649825484366,346.114263702168,362.285432168998,3.57068219630582,12.4828541319175,6.2030858948192,14.6954557957806,8.41409954938808,11.1425680349512,10.6043109274569,9.49905976484024,10.4790660398094,442.449669262496,266.225913829076,279.490838095995,5.12666351745884,6.39260112944157,12.9291232919331,5.02828492009394,9.75728630071353,11.1342173914245,3.67858855955274,10.314242822059,5.08974721332015,-3.58263983660254,-11.3110687396538,-11.2942990982228,4.20334798173917,11.4402385108669,7.95954742985305,5.09532186756314,5.74279407899485,8.65889888882884,12.3046696845686,-0.0170419054793456,5.94016732314049,381.409786134476,259.94359665426,215.415991630082,10.6023915259066,16.0373339636681,9.25950477156675,18.6842286179044,7.08524294726431,8.6915017131987,639.166861874698,383.106752033634,321.876988766953,9.39618605074884,10.4542784881323,4.28614108216243,12.7929937127028,5.63313111242769,4.05540367522372,585.993249345428,344.022358942619,358.217214634577,9.89039417717595,11.2419153519595,6.60670573267635,7.95215686168376,9.57582092430221,5.70647620575619,203.634325375359,-7.22918816305537,-11.9758436296261,10.7792184801656,10.4190435561513,16.1479961989289,9.22560831687952,18.457929330476,8.96648334041674,-11.0374834581926,-10.0108707103554,-9.09897625736903
,7,11.0305473804437,8.45085431405823,8.54763215840012,12.1595541112119,4.6719918218123,3.6507341027027,539.779401880226,482.549292205435,506.648981601857,3.12649686118039,10.8197977034242,6.98336918652421,10.3953246308329,1.70777348378306,1.83951422598057,9.78978722220836,2.02769161962442,-1.71059060947755,598.168190891251,347.215438782531,372.658482498272,4.848707785427,5.90398117615769,8.46549167188459,5.15338068762958,5.7140237200465,5.79195976562369,4.01069395502964,-1.4963196412109,-3.53563752575428,2.82625047046167,-23.111359891057,-24.1179705895647,6.47776879090907,5.3957349346947,4.39721117800491,10.9298730581795,8.41691755037209,7.69561801025338,9.65906106739567,-3.01655933869006,-0.727124536333577,513.779316063712,330.377919835069,288.808182996086,11.8449735964705,8.37421449297381,10.8844222629323,22.812768449774,3.86310319080621,10.3875040745997,929.440226604753,539.244739720741,453.749969147996,11.6709846278864,4.66014134890793,6.7306811186927,16.3806642633936,4.5973822043652,6.42411720737709,863.491063521137,494.228924571625,507.04624305267,7.52471756261639,7.86082393346805,5.68770512525134,-1.51193557329771,-0.999516760667575,-0.491222329186712,261.588831905959,-12.9204374298024,-16.0721657622616,5.59686433741626,12.8191499388076,6.75734283422571,0.772879782415657,2.80831151148868,-0.482473932992434,-10.4434768872698,-14.7860238724897,-14.799556272189
,8,14.7279569506181,10.2610727976562,3.79904049203469,12.7921681395374,2.79828963087311,5.33106656068776,798.18270020397,718.800895350123,757.161084554475,1.94973204321195,7.34790513642656,4.75442354624738,4.09633421524541,7.66729657604719,-1.21168176161973,5.08138703092936,-0.575473793888705,0.870016684973052,869.787679167554,495.832981627732,529.16610254135,2.83070686314841,0.858454642036122,3.43585463036925,1.57762254039881,4.23357060825128,4.41538910105282,-6.16644080419155,-11.7548094165795,-10.1501381423395,36.5752979201106,-23.5603606387522,-24.1874433542034,-0.904599340962704,3.37795561990606,3.18518329307608,1.23603183635896,2.65585676797582,6.05958796884352,3.71433873716978,-19.5126098675428,-8.4537912994665,768.745385049202,462.82455683694,402.47746634159,8.59261719007736,7.35158479169513,5.39082126874928,17.693235598992,0.0522507880832563,7.31990604397743,1423.53133184328,814.03748191156,683.841992759714,12.4538232176674,6.44574545314299,7.66645200664698,24.6352092282032,0.715612211805819,5.19007393886477,1326.8299951607,787.897801266224,767.697342171375,7.93607753311062,7.65737507660469,5.00364566916232,-3.30139485014661,-4.19509936875602,-5.70503942481901,367.125493928298,5.30735525225009,7.69987035416307,4.85104502835657,1.85107284325022,8.83246125731512,-4.05034308663107,-2.0894472346281,-10.7396196900854,3.62955832003627,-15.7724034843432,-18.1248944450153
,9,3.2016439402787,8.52367293451789,12.0252996186964,17.5189445309152,-4.62358505843622,2.86524328572887,1232.27327001628,1127.61752345742,1188.00160035335,-0.267229057201803,4.56336699019994,3.41160593375753,9.56390903295505,2.01957941274122,7.25811105361936,14.0218373118705,-2.54683016527815,1.01871446327459,1318.77761448972,747.145314121152,802.733139590252,-2.06590822051749,-3.46558097557318,-0.566584262275683,1.89598331677098,-2.68980978459331,3.87232594853413,-8.31849299260011,-16.8850007800229,-11.9598378097271,108.53207483148,3.61130515405694,7.7086021864925,1.80249285390437,6.45860883376008,3.194103386395,6.06631062088854,-4.08084835577392,-2.49384950878539,3.71349028614532,-19.5918506498529,-8.77265369891029,1184.81160956824,706.230171501698,617.245123384383,12.5264673176962,7.33173200293277,7.08735283949227,30.2157372035672,-1.86210324654803,14.3142963730797,2187.58573981132,1285.57543281256,1097.83568073,14.3232762945436,8.46764065232765,5.58138262466127,33.0083925348317,-4.9455680687488,-7.70283109356205,2051.82880495886,1245.23852135975,1232.65932193558,0.195444865686113,1.4768286880817,5.43920817727303,1.1347996864215,-12.8755386999292,-8.69788624501143,553.180342546219,56.1053561363524,64.8042718890019,3.34079452223614,-2.7905858106451,-4.23463238273052,-10.3675101323633,-14.0454797056373,-14.0238180196729,53.4165214980603,6.05379608906696,3.79578191307519
,10,12.1556427940832,0.91232618596041,4.83244758134424,33.6817840476797,3.29704790014694,15.7838327468944,1933.40689841691,1824.44568500584,1907.80526167156,1.78805899444615,1.63715300796957,0.32265249356351,7.21364526638808,4.3406888983518,11.2425537095933,22.8228040820104,6.56893078182748,2.42694792401198,2043.46455271262,1201.64802947018,1298.28340238365,-3.89543379168481,-1.00965090366935,-0.679310078475282,-0.0737292948269896,-8.58759581499544,-7.87622513037331,-9.30615857374323,-16.0815608566572,-12.9667854697209,271.44294681939,79.3702092983885,77.2307534759002,-0.111538081619983,-0.589438251383399,0.0360584686795846,7.07776480848952,1.93118609707471,8.66461389055985,24.4336480971051,-6.37435090230974,-3.2985356552108,1877.79595414806,1143.63665950373,1010.0660607206,20.736089377795,8.53619845203866,10.3041640354122,41.6761540635216,2.5708427331756,26.2160552189152,3270.76012154208,2057.12298122614,1775.7331357093,22.2785706345248,-2.07204532905325,4.03225975127771,51.5095413157123,-4.67206967934726,0.850710102888115,3075.03804655742,2007.68797054807,2002.90379434093,1.58256134381463,-1.98510622646154,0.472419995947348,-1.70375432699893,-15.2192476104046,-12.8159321145095,902.721087175474,184.891693525128,203.40004834228,-0.0281047196640429,-4.1538071626901,-4.56965420877987,-15.0790218984466,-23.4783097707214,-17.8293152507122,171.588604610433,58.5493165663192,55.294216711126
