,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E2,E3,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G9,H1,H2,H3,H4,H5,H6,H7,H8,H9
,1,4571.76519354532,4677.29759408769,5102.90089553443,4679.46081599517,4671.4389527157,5088.01319133091,4954.96903330825,4904.920021689,5712.45908505749,4632.25987181978,4691.64026047819,4885.77250713123,4547.20267803473,4491.53452113984,5251.14092519665,4443.17258645048,4519.16891227999,5326.82289180728,4724.88250988723,4724.35745071277,5851.94993050532,4682.00477485962,4602.30257967806,4821.08826004628,4597.03121106778,4640.11738663636,5186.67258734959,4508.08763300048,4531.2444916949,5218.29176578794,4765.54668718128,4858.61600803752,5612.95279724587,4975.27453691532,4962.15972401941,5091.85661448911,4503.84049888321,4560.83767314103,5292.1521687983,4480.90839996966,4567.92988075789,5213.03985842219,4763.8422279758,4836.90111396415,5735.68782889288,4532.50547118281,4541.87370811407,5284.13727329066,4495.76151655937,4538.08205334934,5250.72017519469,4735.43190111755,4752.7272473658,5804.5124016036,4524.12490881161,4555.7897275914,5367.36818305513,4491.12999876694,4546.17107679194,5238.02448064525,4854.79305735562,4862.00735148158,5643.42110439375,4600.71654354654,4545.94798517396,5475.16210801922,4511.69203671021,4540.91630660225,5331.82108588021,4865.96265861357,4778.9941733264,5460.94669643371,4440.38704935804,4443.23848488423,5159.07065018269,4505.42603973155,4560.27555991394,5205.61280931042,4822.96864000207,4734.69250535696,5866.4526163722
,2,4603.76306794713,4691.18932907808,5151.47957951755,4695.14205477425,4681.11743460893,5133.93890526783,4977.42997088249,4919.58976598208,5768.82176352153,4646.45667354031,4715.04509696188,4930.88158919449,4550.91493068853,4505.82579337187,5310.74655098986,4442.93053646229,4511.86126245837,5376.54783872867,4716.4115009836,4714.69464360713,5912.38013718411,4696.02580645928,4606.92798759572,4859.18600095198,4612.55300181448,4657.09380821771,5231.95128250953,4518.9070460971,4539.19354261179,5258.66953625535,4769.21204324556,4866.1585257159,5665.57572882878,4999.77857815509,4992.89457532375,5130.4322861965,4502.95998115927,4570.95259756805,5348.87910863552,4488.47156536824,4570.63407894025,5256.67231576516,4772.18429391172,4848.29371665029,5791.14732948992,4547.71957244103,4553.77843633709,5349.20046933319,4506.0283767116,4541.70990598405,5300.87394091764,4744.80053571814,4757.46536573445,5868.29699524778,4529.0150110828,4566.3733882658,5417.86882445721,4494.5496718641,4541.11929621489,5286.69170277232,4857.79794104404,4874.18983143186,5706.1026083361,4608.32563486402,4560.71654076994,5534.82054322772,4526.6854595643,4545.24847459705,5385.7098399113,4875.16675552721,4784.68356769058,5511.32614984081,4448.84113948831,4455.70463347217,5214.40470680592,4517.41972449753,4574.42573991675,5254.73419663808,4832.62270855965,4748.28645075418,5939.59580111416
,3,4614.33318029355,4706.94354910674,5179.84517656993,4708.22199724852,4693.27500635712,5159.96757981769,4987.17742932978,4936.86985918233,5825.01359642826,4659.12457922829,4729.31820182554,4971.03895861913,4555.83636533199,4510.91347531238,5351.68121372533,4445.2146492781,4515.52112832601,5419.84439417712,4722.69092840086,4724.56985728074,5994.33683078932,4716.10322336555,4625.27212956336,4890.43396508246,4622.08835593198,4672.33117116333,5259.07885614716,4521.55050056952,4546.48260674481,5292.998789149,4769.74220902763,4876.86039435257,5728.5584588834,5021.27818249462,5010.27720301213,5162.46697404803,4498.37142140498,4569.48208206688,5373.81226109666,4483.45201888692,4575.81878445803,5281.95372620249,4786.95780984847,4857.29220391191,5852.03387049116,4546.38943616502,4557.39124266969,5383.49507993659,4507.37205594428,4548.15582938082,5335.74662770556,4751.30397935504,4764.62772297675,5938.88330000034,4536.4888247307,4578.93276766518,5469.36043798804,4501.82537918283,4546.23293962353,5322.39275214211,4875.73680786987,4891.88525176795,5765.21842434196,4614.85309437717,4570.74973926033,5573.89966778404,4528.38892059759,4554.43135567465,5426.30726858762,4893.20701876939,4803.41477794203,5559.99951952342,4452.17069686488,4464.07654836484,5247.23767971466,4521.09215423603,4583.46282225927,5295.33132828103,4840.61304000865,4746.51228276648,6000.58291282911
,4,4631.37947799322,4717.43380377454,5202.43458532012,4718.66479445865,4707.36925351067,5190.2946785666,5016.0629251125,4952.54351457141,5903.61718185247,4669.13235016072,4743.62409248158,5005.27879501034,4573.05564501285,4522.21873083266,5386.20989984411,4456.27765176625,4525.29506977874,5457.88595547909,4737.15005006222,4728.92185807541,6081.80609230575,4727.69999853602,4630.05053451176,4911.26443717886,4633.82698086474,4685.20871267082,5287.55254314986,4538.41474423036,4557.9735666504,5316.64419852502,4781.09706742939,4894.98462902548,5803.45999671426,5052.10137164025,5038.50117598709,5205.05322324312,4517.8735300054,4586.98752302054,5404.44636204748,4497.19257526224,4584.07998463306,5313.08251903526,4795.28418052409,4875.70569309569,5922.95348601626,4556.87502819991,4571.24722605494,5414.81499355554,4512.32024598929,4554.61041962864,5370.20645418777,4763.99343421963,4768.71865559493,6019.96320694793,4539.67556799239,4587.74365575321,5499.49313556027,4506.06375569899,4558.22969404751,5354.98644677297,4896.45109806305,4912.181953507,5841.91666675266,4625.22838527089,4585.45993313403,5614.63444133666,4540.46136684082,4569.55876833716,5458.99621089221,4917.53199559803,4827.39394355418,5631.9498930331,4465.08760699133,4479.76289923297,5277.89332953743,4526.95628505163,4593.49922775623,5320.71750023541,4865.41741130423,4763.12317417373,6084.4566604618
,5,4644.76556507316,4740.69861530794,5228.49540996175,4734.63599440052,4727.01150903711,5219.32749632146,5060.76425140246,4990.08356917731,6023.1437147749,4685.51045697609,4760.74529565995,5027.17249621488,4575.77062641247,4535.82334313935,5403.27452963677,4464.06478449453,4532.70630621302,5485.36993411349,4749.32195687292,4737.82060340241,6222.04676693614,4750.92760535774,4647.19914845478,4934.80516218285,4639.51260278094,4692.94370748528,5304.557734937,4541.65030025751,4566.06601111,5348.78333190097,4795.59656155475,4925.12328340321,5920.140552037,5092.68044890646,5073.17168601694,5266.69014449944,4524.67727809599,4597.98095271214,5444.07270756617,4503.78715850199,4592.8022150923,5338.17828241663,4812.7505640044,4900.54060287802,6035.86318374826,4574.8738571135,4589.63314738055,5459.61904649537,4528.03808771574,4566.41938822947,5411.1490863251,4788.44151568833,4797.35911776176,6162.97867265577,4547.46197778734,4601.74233405851,5534.62962470518,4516.27882544222,4567.58873146652,5380.03525094932,4929.54001015899,4948.41262718724,5969.82054931552,4635.48310759641,4601.00186453421,5646.67767116131,4553.27094308584,4579.56968556319,5495.42997683077,4960.81254087262,4864.33064174358,5741.09323998828,4472.00034071881,4490.22931430503,5311.77072468822,4539.90173942989,4606.8463444228,5359.86590465811,4904.90168792649,4795.70247234088,6219.29276245371
,6,4663.96993619286,4753.61708162895,5258.04782433876,4748.87404059124,4738.98975902848,5247.86880824887,5117.94950073694,5047.85861174224,6203.09860451782,4698.03550020123,4777.98786050022,5053.77680123185,4596.72835591316,4543.51015040119,5450.98837847552,4477.16311153401,4546.67554137827,5532.03520164616,4790.03357436024,4769.03585866994,6439.37479586584,4766.19984121041,4660.48261513314,4953.87039621458,4648.98021486143,4709.85523641531,5339.66769821623,4558.73591217167,4576.02271227721,5376.38455994554,4832.78901375413,4975.75111164856,6122.71238032334,5163.65151176577,5141.16408688576,5369.34353541717,4536.81725062572,4606.98768387854,5474.44972389109,4511.60826029234,4604.84855398382,5371.37053376206,4841.85673980411,4941.17519136315,6219.36363193962,4584.97466846738,4604.68687994962,5500.74583766797,4538.05622200526,4578.27313453079,5452.15378088647,4830.72864155752,4838.52889536421,6375.16579781185,4561.91896582279,4612.30147589482,5568.81264228233,4532.83248378698,4578.4894649187,5413.70929581044,4985.84376341538,5003.11887555123,6170.83932199058,4654.50366710811,4614.12428366752,5691.85342943303,4568.06677717811,4590.4220453986,5535.49449512359,5024.44853467275,4926.75171313504,5921.82886179474,4488.41595661176,4505.39389152977,5343.08724200118,4549.5616643667,4617.08328770383,5397.14901200255,4952.80876084378,4833.85612173655,6445.08517924713
,7,4676.4944161893,4766.99749908693,5292.21881205195,4766.95316678356,4759.74397213743,5284.40750292892,5230.40469382746,5144.34068777946,6522.54676200023,4709.6998117659,4794.89723501124,5079.73884677957,4611.30219701295,4559.31165040934,5488.97139462424,4479.54273940467,4557.50403910054,5574.7426117209,4838.81915098398,4814.43444520154,6829.58184960046,4781.30903658704,4674.55907999777,4978.22333541426,4662.33965394016,4725.38694162956,5371.84195015488,4564.88075822407,4586.87428063738,5412.90624104952,4883.91221587433,5064.58968144096,6462.61157896883,5290.09430314796,5259.80673050318,5540.30092941784,4547.01251115411,4624.10951493755,5508.52491299323,4518.19735019731,4616.84845448371,5401.82851140725,4896.35159331052,5017.07874168588,6548.96386619298,4590.83871149125,4621.70139710918,5538.29239043003,4551.42048799563,4594.02131009617,5492.7696292646,4897.55614663833,4907.4390601389,6740.22383321828,4576.10701793217,4628.03702282062,5594.07829934198,4534.51615935711,4583.85302302724,5449.85234234238,5086.05443478165,5114.31391655618,6529.835326554,4669.30677253154,4628.22426316656,5731.47957428056,4579.350267039,4606.22386288775,5577.02131646256,5146.41538026885,5035.11872497357,6234.08678931307,4503.15612756128,4517.65441622061,5383.6757303419,4572.68697968472,4631.97574482812,5430.27065655548,5040.65058283687,4916.64649772322,6821.89416756554
,8,4695.62303172891,4785.94097782187,5330.53203263418,4794.70470849126,4777.55445998556,5327.6882188035,5433.85455769767,5321.66882902243,7048.63459826832,4727.23539360621,4813.23192584137,5103.36276344853,4619.30195586586,4572.05253006408,5533.75143761268,4491.63221091309,4568.3351252888,5620.3334655825,4931.55318517702,4875.28827941915,7429.6149012877,4801.07661038952,4693.8449465656,5005.50818350643,4678.29506940731,4741.19212491325,5400.19100583175,4578.0592773813,4597.63865154229,5447.5295487555,4980.14600595327,5221.17143638006,7031.08917474699,5497.13112871836,5465.71072274047,5847.15969980446,4556.01033487697,4635.49237011906,5538.09109692553,4521.89172911848,4628.8963539934,5441.38813627224,4996.53756030011,5155.53872618428,7103.38414306191,4610.04614790538,4637.42009868564,5586.36154342776,4560.50661986413,4604.24340003218,5539.41015675446,5021.54473601258,5022.49829184442,7333.56573881908,4584.88087817768,4647.65741854081,5644.95732145973,4549.32160093352,4601.79584634527,5486.65742810129,5263.84665213294,5296.85531083121,7129.62984074635,4682.93038396916,4647.1218748646,5775.34847608144,4598.6434428585,4620.52993853864,5620.84423520523,5344.71396078494,5228.88841160194,6759.76540317855,4516.99551795569,4527.27568571908,5426.35393496835,4582.76255258826,4647.89244258276,5472.78901101472,5222.95136081141,5058.13455551247,7416.84913381794
,9,4715.86213010834,4803.79503824021,5361.14540939184,4813.73691668196,4799.53337531349,5363.06270260091,5802.94131669262,5638.29048007669,7895.30450814582,4744.78116865172,4831.54116471501,5126.25071152553,4629.39065857212,4588.04761906376,5570.50419751158,4495.90128055176,4575.94520590018,5672.40698587868,5108.33811477196,5010.12261723924,8339.82990253336,4818.8779684878,4707.9223689749,5029.50380325106,4698.82750243501,4754.80232476218,5432.42955450282,4595.26064872295,4611.67956004506,5491.61988074123,5161.10158899337,5515.27081299729,7934.76582882727,5898.43764262355,5848.20514639156,6382.6691145712,4569.61403983357,4651.92842111551,5567.39978473133,4529.2792435389,4644.55435782639,5483.38457089862,5173.29428732097,5406.30644797279,7973.45674944473,4620.06184469456,4652.39850425881,5629.49076586085,4576.95266038073,4617.39640029928,5592.05071309183,5240.96780607391,5227.48613525685,8239.22745178982,4601.50831874214,4661.54680973914,5682.39146974008,4563.1623057698,4614.71419079366,5529.45026117348,5602.28395228877,5646.45766056964,8044.33729454051,4701.89429740672,4666.21684045064,5819.32374948363,4614.83701778727,4632.79740889798,5663.60214894309,5728.80189017723,5588.2830543148,7603.24732425509,4534.07594874313,4541.38295566971,5467.02567731043,4603.82737193884,4660.28236977941,5517.12032559511,5537.67290706581,5306.37892661791,8278.51283078253
,10,4728.82996581903,4828.14581948811,5398.02669906189,4846.11154854731,4821.97410394256,5412.7275024477,6460.83158135725,6225.69267152019,9032.71165484923,4763.7538903624,4844.72494365729,5153.74293190235,4649.24783149226,4603.11997830257,5609.65180370142,4515.32740847097,4589.99408879043,5731.90868578304,5430.74619261997,5260.52400787861,9491.84523161817,4837.91829510806,4724.82968039905,5059.18579001633,4702.70129813687,4772.87997359165,5471.3334499679,4611.76740076811,4627.13616943209,5541.20534372831,5490.27489860458,6061.72532747393,9134.69731122271,6583.85864929105,6503.25622723947,7248.44413348761,4571.32132312204,4660.71102231775,5597.76204388227,4538.10292639053,4656.76484635894,5536.25804598859,5508.13356312391,5866.66190892902,9137.53166278073,4634.61389568686,4672.23822634804,5677.71270206362,4594.00098313955,4632.42971136795,5657.24938532405,5652.50294200747,5634.19264733431,9415.09210411624,4611.065987694,4672.80346132925,5715.92661196919,4578.91116138503,4626.80114462779,5583.24963373979,6201.90700359402,6273.20869290329,9246.36729568074,4722.73028602037,4681.41605185801,5868.075005722,4636.41795097516,4648.29365629734,5726.48423412087,6414.07080860365,6238.72347170409,8767.68564312694,4550.90396248041,4556.63285456555,5508.06552623135,4616.48128056147,4678.40233330682,5570.93171657085,6108.08298987752,5779.50124548042,9329.18095348693
