,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E2,E3,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G9,H1,H2,H3,H4,H5,H6,H7,H8,H9
,1,4664.12956255851,4907.86295221412,5148.33544832782,4827.09532061857,4915.13728567257,5186.18084593618,5018.92421673604,5211.76644664298,5532.5967254762,4572.42837436951,4607.99479891592,5011.31263279065,4648.38444343967,4844.40238557963,5134.86543051297,4827.41879443608,4897.14882999683,5226.97782267657,4975.88095205659,4985.39199885213,5637.75739966806,4565.28907451997,4664.08724381548,5158.22366303053,4679.24030329419,4812.7602778649,5214.00231290022,4812.65240326926,4912.13382928741,5208.04007463607,5031.50661220599,5055.36469939718,5591.86969661731,4826.65512145714,5012.05729211186,5547.06926728446,4633.63986034643,4743.58083192103,4999.91838547124,4745.44013718455,4852.4044683468,4977.85047091529,4911.75743617121,4973.26177035978,5439.78514225954,4726.63670335336,4845.99473342851,5130.56103501519,4964.51639518248,4918.65517011941,5064.11017616503,5026.12158668813,5055.87381542593,5669.21793666303,4658.04285532829,4705.93352534714,4917.86956095562,4774.45345838447,4813.99510440658,4876.30323303238,5037.1641341009,5030.07808928949,5538.40247513695,4732.34066657918,4764.42948878207,5042.3685685528,4825.0574788933,4898.82090495923,4941.72122545307,5111.46258054322,5006.57449493896,5418.45064840968,4665.81283823735,4703.4194569288,4936.34471478593,4660.17561949403,4749.39619289263,4881.51731144367,5022.61753857093,4982.43338301082,5418.64194515904
,2,4700.72529907185,4946.17571057094,5209.66332369098,4861.88436598217,4956.2157340311,5238.78853825518,5045.97183956686,5252.67919849145,5590.90127393375,4585.21015492831,4618.64887310681,5087.96931461256,4664.34031431316,4881.44016800076,5185.92409994406,4855.66938481754,4929.81140418522,5286.82223054819,5002.79647634371,5017.83272107968,5707.88552764294,4572.69851608616,4680.7177360974,5209.01445018487,4696.99846845701,4838.88983852733,5267.10081036906,4844.04368857051,4935.73041944794,5253.36762035487,5057.40216642862,5076.5570426575,5660.46738975673,4842.05316937866,5026.75850914504,5611.27544145892,4652.50439443898,4771.85654879021,5055.85352853149,4779.13368091722,4877.86817471576,5022.34511938092,4935.18745027113,4999.40229894708,5506.53536171875,4752.93238417779,4888.14509813598,5191.13252852208,5008.21326121214,4961.0651600226,5110.74968898081,5057.93937421793,5088.89688639736,5740.25122570147,4677.65348337597,4737.45939707451,4955.19862948068,4798.98323292754,4834.38123244271,4914.59132571218,5050.47550681252,5051.56595555862,5570.29029760123,4754.52720150957,4793.73273096008,5084.01132210665,4862.17105035379,4939.73271782793,4983.97353950326,5146.62207776775,5041.55996495421,5485.70866386178,4691.18014154658,4738.64017576507,4988.09627321559,4695.99020737157,4795.89210585199,4939.32960125409,5063.38894082787,5021.29897106808,5472.33976126136
,3,4715.25034092114,4975.28301916032,5240.44221582615,4882.09386437574,4974.68029167176,5273.7615076126,5076.63572948937,5281.77683778313,5644.84709576073,4596.35521456998,4631.77746555085,5134.52268274108,4681.57975713943,4898.80507357963,5227.05544112863,4876.31336243225,4952.61246909722,5328.20447826548,5017.07874730009,5046.74714470478,5761.67661893525,4578.47301228178,4693.19598564321,5235.22523682644,4714.11455976179,4854.44549178892,5291.39128084384,4862.50752791616,4952.74375273689,5276.50689752137,5081.61469425118,5100.53851480433,5713.83331257284,4850.07408276575,5043.51697150451,5658.30753040614,4666.97304371686,4788.75938105191,5082.25319752745,4798.05948479327,4900.25316643374,5049.31643281381,4950.68564606004,5017.07870665918,5552.0358881829,4772.52799160845,4912.44939517825,5218.07209426066,5028.90345837144,4982.2527065164,5133.30689085115,5080.17913658601,5121.11491334729,5806.60061195006,4694.9169317224,4756.98259557375,4981.10552414723,4823.22181473673,4852.4469685477,4939.71435215451,5071.31052675525,5080.00898381457,5620.19063437256,4772.84245597738,4817.23234985862,5119.78483409048,4884.21136951365,4964.77747664505,5012.8128387494,5173.74700002508,5076.15319171,5533.16252254493,4711.27193014854,4752.49638478156,5031.73891093307,4725.45393934277,4814.0609848464,4961.55216570553,5092.3251828414,5064.63309344493,5520.46466996095
,4,4732.20047414897,4992.45203166607,5268.38152575939,4903.6694975722,4995.55936543301,5302.4269410417,5101.03922943757,5330.1317073489,5705.24915513324,4602.79035178908,4644.92442919315,5158.83374637471,4693.64942413003,4907.66795482498,5265.78041516624,4900.75625228183,4971.07424331791,5350.91047596226,5049.7169938674,5075.32804695279,5839.64115420348,4584.96888327621,4704.9295567044,5266.80045470487,4730.51947370785,4879.5980524134,5319.03311051214,4876.95321771649,4971.06812938754,5306.50714374697,5106.61038273558,5132.74661499537,5782.19246184939,4863.12175976266,5064.65537963355,5716.39637599758,4678.51126104059,4805.75094454598,5111.43067394179,4813.8046416906,4908.70100132219,5060.37544710918,4966.03272100316,5041.51223060498,5603.72747425858,4776.40154555199,4928.35486805141,5242.98071559602,5050.94028672236,5004.5455116858,5160.4149921128,5106.33088286403,5152.68262684664,5882.25780881926,4710.95092376331,4775.85077120338,5012.35286570311,4841.89237110915,4865.06939891341,4956.79014574972,5098.75607326905,5110.13969244529,5675.34028657994,4782.19321244653,4835.65953329204,5148.19753992967,4902.39272812639,4982.12035248045,5035.31277804144,5217.25737047809,5112.25107587361,5599.99904113562,4730.35854638116,4778.42701327637,5056.13194435588,4745.29400326913,4834.05445417036,4989.1731448134,5128.66278368294,5096.81027753758,5580.35781629043
,5,4746.1453568654,5012.35575932159,5295.44436729223,4919.4455156421,5021.19591743754,5332.55334627521,5152.0780933635,5391.46846006288,5812.63987264994,4618.84870689222,4658.69183900484,5192.09414658049,4698.2118433239,4929.29684003723,5287.85998830704,4906.89030998711,4993.22869173553,5379.63508792974,5080.19668169409,5129.31277681831,5961.68905367896,4588.47276987804,4719.17417215892,5293.73247825766,4736.3734438454,4885.58772043113,5332.65956984408,4896.45545721536,4985.30099153096,5331.25855446202,5153.21346324439,5179.21281002231,5893.90423955119,4884.83178253413,5097.82837641024,5799.38839820502,4691.89009618753,4825.23139836913,5127.41568523124,4828.8954361341,4925.50088310147,5091.17839856585,4999.72370649315,5082.48859464013,5699.55242715533,4797.83085186859,4946.13160037967,5272.18146523781,5071.71436402211,5026.7277917615,5189.21119689558,5154.67635951155,5205.71511283255,6010.1885316059,4728.10167897597,4792.79706157519,5034.86157461068,4858.69456185353,4888.39811365077,4981.49237002669,5129.38455426139,5151.18349503358,5758.87947373433,4805.07006571096,4859.99079774335,5170.14503014657,4926.09123203884,5004.17483946262,5056.35616280703,5269.8373088045,5163.36055969285,5689.40336600963,4755.69792365525,4797.64327891943,5080.4906830966,4762.72049122456,4863.45679623159,5017.48347169831,5185.77168676331,5156.45780988119,5672.30022082543
,6,4764.91059117627,5035.84276441791,5320.87820246192,4939.02802965033,5041.8913386462,5362.89130372829,5231.19189256582,5496.8171504934,5969.18424661984,4632.56639794633,4670.45890654236,5219.86223264259,4723.07475118374,4958.02082555231,5319.79351913111,4939.41572946706,5023.23247403194,5411.79788913017,5157.48151405071,5218.80944209819,6150.68273885042,4604.58926700406,4734.69902303688,5329.64196781075,4758.04493057653,4911.85255696244,5370.93478351296,4916.51934323142,5010.21592957331,5361.9514017839,5225.03767311099,5266.00772235273,6078.42929168283,4929.20953211846,5152.76831464549,5942.72774588961,4700.5623189642,4841.55829684641,5150.39506745779,4848.76500557786,4948.69075140505,5110.88308156928,5049.17171478808,5147.92101630326,5846.55006766184,4818.11129944124,4974.08151593903,5305.39425243814,5095.45521881344,5053.29033016356,5215.15153766828,5238.91907991154,5295.76812753301,6217.28092606182,4744.21345085703,4811.59609609652,5062.66322364811,4882.63068528453,4910.19112666314,5009.53474955933,5187.3684767287,5208.18213032784,5882.88708575929,4822.32873107157,4877.97881416171,5201.33310007477,4947.70733054383,5026.69443660248,5084.67358442681,5361.32892722972,5250.10671307297,5850.17242696963,4777.97546458305,4824.37181911936,5127.8510012491,4795.69075132166,4890.95180317172,5041.30473616292,5272.09767982003,5244.0903628251,5822.77266043416
,7,4778.80161883537,5059.60641666713,5366.96432703598,4964.61024635559,5070.53568519133,5401.90407255757,5371.27374453732,5675.45970048043,6245.95142950497,4642.55382745457,4685.27246045142,5252.88600942787,4738.47557168199,4986.79225331987,5365.6616271757,4969.7444322731,5051.11073528562,5461.70595081136,5275.21469864667,5364.35988846825,6474.04084341891,4619.98723917249,4753.39470418166,5371.11824615998,4775.26220060705,4933.42172816745,5399.44821757168,4933.80138472935,5032.11312359797,5396.22402328908,5355.44531223343,5407.72393934025,6402.07168840286,4990.25981121262,5240.4025879676,6175.2000308857,4717.36031916764,4861.0430082971,5184.40628997381,4866.03486628197,4965.51729623922,5137.61760183559,5127.01188754199,5248.0438025943,6101.98498555951,4831.68847582848,4997.83829684239,5334.67363078911,5116.57350184372,5079.4095634165,5242.54724825936,5380.20874262404,5446.21857399896,6564.82871716952,4768.71862968077,4837.26988570693,5095.32651623192,4901.01124619675,4937.60474535726,5036.21918094315,5295.22282266539,5327.29688489566,6124.82679251849,4850.1111376074,4905.74493936233,5238.29258759007,4975.7982592815,5060.91064528761,5121.69559463693,5532.027797038,5401.52283735638,6122.74815405165,4799.16623923829,4849.10309311181,5162.24093048242,4820.91158834555,4918.7050538503,5078.4924607603,5426.43706666687,5387.37675665955,6071.90874582499
,8,4797.38784828381,5082.64432750927,5394.77572439054,4990.32090177793,5098.32120570066,5436.16989402765,5608.23941897964,5992.03972818176,6712.94511139872,4656.56806360748,4696.31713928778,5281.0685498267,4753.94463275089,5011.9675366443,5388.42636522614,4985.5258604781,5085.52383655022,5504.35136390541,5485.51859772616,5617.43271052389,7009.20845408079,4629.71252266543,4770.94107235975,5407.22402575535,4787.43935886021,4950.92248941433,5434.52962707187,4957.02555347582,5061.73611890854,5431.83131885134,5581.72043092075,5667.78127787686,6935.88584442808,5103.85023774451,5394.06243360054,6576.46925475258,4723.44649557094,4878.63576561535,5209.17358509987,4888.7896664267,4991.88052124738,5167.80900452187,5256.34352420572,5444.88437508256,6541.60528218234,4854.33927599927,5020.96562876416,5368.69360906479,5140.4704781706,5103.68290217069,5269.6465627008,5628.42422881774,5725.4666274265,7160.37690569913,4785.79418271097,4850.49345670013,5117.73632671213,4920.34636125141,4957.08654000035,5056.73172925043,5472.32807305866,5522.59023171121,6508.93936099044,4872.0895590815,4928.58697787136,5270.48571451042,5006.24224439321,5086.25317384153,5148.97618081021,5814.08115442689,5663.02455654274,6575.06644182436,4824.22416385803,4867.21250205973,5194.72745370638,4852.37714784924,4948.7490651599,5110.14596369635,5694.04875585581,5660.80895976912,6501.87918153802
,9,4821.15689925616,5113.14785280281,5424.33365898111,5012.29400962051,5124.55800858176,5486.19786171083,6038.61713674334,6543.01350314774,7466.01790751155,4671.83538586104,4709.67609887726,5318.92464832419,4771.00891959015,5030.55848628117,5433.2853394366,5051.8048703213,5113.69422408508,5551.64619388889,5870.07148753877,6080.14961175868,7833.92153093274,4646.96601402765,4790.15814281187,5453.68178767981,4807.73942843178,4975.85766377787,5462.27663482183,4983.91054234875,5087.86112851145,5468.9424486307,6000.5332375267,6129.920895061,7761.73938313956,5303.49801847969,5673.21222278839,7219.33487344543,4747.48091610661,4881.44253452805,5230.43818535597,4907.69851674648,5015.12483030851,5192.3272811566,5510.71358317214,5779.06803132234,7256.34108839195,4874.52729731885,5052.46304780382,5406.2024817979,5169.90440799886,5135.03179363192,5308.50106697627,6084.78342825846,6219.05818669479,8058.79351115424,4799.74952382675,4874.47307840171,5146.11468329022,4947.64536666627,4980.58733808193,5084.04374806467,5786.50646304462,5869.42893303464,7148.06004599907,4888.9425435085,4953.55270735274,5302.75043754617,5032.84055202136,5112.02663782218,5180.52974586614,6337.97738122228,6144.51355754961,7326.3388910963,4844.7907708093,4900.99768447084,5225.25659911298,4878.18089667295,4977.73000587372,5149.95141089463,6172.05915765154,6129.97986513815,7228.04851466458
,10,4831.88634647802,5133.69319701296,5465.92476168353,5045.49765401455,5160.34092155567,5537.98548786412,6804.98505224451,7450.81483226395,8534.07132692814,4683.38570310213,4731.79094323402,5352.23275539869,4784.26899334826,5051.97666224257,5474.2886112078,5088.35186264942,5152.96698874592,5599.31894518378,6548.27203020427,6897.23244203313,8924.32102352915,4658.29461748992,4809.3327011156,5506.24430606152,4817.245693344,4991.24463532934,5501.75179919857,5008.62411328097,5105.06809166775,5506.98036441787,6726.56554728378,6927.88678194431,8879.1648961077,5673.04595073386,6166.89061378422,8182.37439862338,4755.58473150436,4906.11458008793,5261.2563070588,4931.33996122025,5036.04118293787,5226.13791877871,5987.26283385728,6415.90117712817,8294.79202070472,4889.04028512392,5067.69442937295,5439.33104777549,5205.04274791046,5162.59873468957,5352.57125762926,6869.78867003418,7057.12428006894,9258.57836478326,4818.26279871261,4888.56683029822,5170.62611179432,4966.81601735242,5010.87983158481,5117.91590590296,6359.79604306546,6466.17247106437,8113.55050197629,4905.91322118242,4976.09139712961,5332.75410093986,5065.752051766,5149.24906004443,5217.29069337344,7205.97762091861,6947.39354204266,8432.75134089223,4874.38114436931,4930.90502359847,5274.17014275522,4910.67511945384,5016.25752300919,5185.03469948572,6976.52813768707,6944.63669926331,8335.65678334845
,11,4851.50033066154,5161.2441788962,5496.49793672839,5077.94704240773,5200.54946363491,5603.24201921443,7946.70914436696,8702.01858259443,9789.32326691537,4697.26385754821,4745.63904611797,5389.33821611666,4805.35785773016,5087.76818773894,5500.4540136264,5125.34898511819,5193.04878626164,5667.30054402482,7628.00479603689,8083.61361813712,10112.0691939975,4675.53703851673,4838.60294668609,5571.97113264982,4829.49326644903,5015.18476389739,5528.0308298066,5041.32483348835,5149.11907923935,5566.63722740555,7860.82008520531,8138.78754084763,10100.7481296538,6332.39017437257,7032.04193849398,9378.58630105382,4766.89307233539,4925.98106644903,5281.23513173199,4957.89207394469,5062.46541018308,5266.59408272896,6791.18657043078,7408.26400135096,9504.6908698011,4916.93513759041,5098.26220349063,5473.29508848122,5237.11077809842,5200.17810554222,5395.9833873061,8058.57548188931,8282.69290937069,10551.8727201526,4845.13957633773,4916.34997333978,5213.05972192367,5018.9704435742,5057.23514137477,5169.27461855055,7312.49838686026,7454.13387487139,9357.6950947763,4934.24233095581,5007.24834094202,5378.11462820757,5105.72789583866,5197.41134792604,5271.48590970851,8485.82768533624,8133.45646796368,9733.80335522089,4902.03519619476,4958.84805455435,5317.97768172021,4961.11775408557,5056.77242606965,5241.26761041431,8181.25039492561,8161.31101421257,9725.68833976136
