,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E2,E3,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G9,H1,H2,H3,H4,H5,H6,H7,H8,H9
,1,4639.01279575756,4700.56058595582,4795.28927705726,4744.49732793996,4843.49244551621,5206.94044306127,4990.13466530463,5032.20666152792,5733.20410528464,4404.59900783798,4418.88794083458,4441.04915806767,4755.16494452905,4718.77841788576,4919.76250569946,4580.42938652877,4646.80980805393,5182.89824411549,4948.31104508542,4947.73296821102,5532.15510928945,4423.66873503771,4407.29478227055,4507.06215979424,4418.03753601168,4373.13442727256,4409.700516778,4384.93302119763,4389.62035835222,4496.59800193817,4676.80822617089,4647.17929478459,4669.23569398332,4606.59472791053,4615.06083971406,4677.08781730769,4762.39171190426,4807.91681999451,4973.82259932702,4724.64995446066,4767.51669292225,5174.8463602519,5116.05615078876,5150.42927358924,5411.11326549816,4377.67432818023,4361.32131421643,4386.99682172369,4412.68989786473,4407.2600853427,4498.58483039591,4724.99169673877,4612.14018518229,4644.25738430156,4516.18872803467,4516.59768195925,4556.28458426866,4560.81818916762,4560.47005918191,4631.89048600898,4880.5983107848,4889.13548691842,4894.99409670994,4270.05667829859,4222.63516269009,4218.90648348039,4216.76551200796,4286.41814169318,4210.84692142356,4423.23331167244,4390.98696506486,4381.39089442704,4580.43427849255,4608.91328224498,4613.0909352778,4466.33388637496,4501.46874819358,4887.42513311323,4874.57120997526,4858.04714144698,5061.7425633643
,2,4666.13731157824,4736.04521390954,4832.4142938204,4780.2033148001,4880.21839647732,5274.88182738544,5020.77557866667,5060.45241811586,5816.39336521293,4396.77731707619,4406.38409066885,4460.49653676621,4781.96618427318,4742.44323791742,4964.47489307276,4602.50438901133,4665.85675763439,5236.65641341196,4965.26946960936,4963.5948099592,5587.39800409555,4406.68279021166,4394.50379831643,4505.86077122268,4407.35107997405,4369.66017304465,4407.14409711162,4381.67666677721,4382.93874014252,4482.59741383491,4662.706595897,4638.93859737444,4658.15858293993,4593.33664810367,4602.3954998485,4670.41485683783,4794.83104513404,4850.59214779232,5027.54286376115,4755.38005372498,4789.68945493207,5220.44093819094,5148.70961014471,5181.17867271483,5449.17404930716,4378.60719823776,4353.64698948657,4380.12885371764,4406.72251450874,4396.78566373303,4493.41132764149,4719.29034984088,4598.06649559981,4632.63767255136,4525.83112253378,4526.53604538074,4582.67378013615,4574.55232225317,4567.52653311877,4652.04767556983,4882.98919620323,4890.55324192201,4902.43601230937,4264.68186313102,4214.54300526702,4213.77347149427,4213.55971930567,4285.43115818046,4211.27023579877,4422.02117834172,4378.24633830828,4370.97289354266,4589.7890340811,4626.1342919768,4637.54489325259,4473.71477351493,4517.04435284556,4916.69453393048,4896.01305739635,4877.74514905563,5084.9701441191
,3,4684.50676593468,4750.87451039986,4855.16018367622,4800.22461013686,4900.7812438248,5320.6277872711,5040.92766975259,5085.5126326924,5880.49603274525,4391.42805367619,4405.76625350618,4468.10700912835,4797.65441638464,4767.2688713309,4990.896377436,4607.37701823247,4677.18718348887,5270.26625262491,4977.61541765992,4977.63558269766,5631.3442141212,4399.76704418833,4390.30767372996,4508.72557841925,4401.88525265638,4357.84914631671,4396.70171030821,4371.7117134803,4372.69880479553,4486.30028121249,4653.36884168129,4631.63094982702,4648.88117573302,4588.58597776076,4593.06981757111,4669.06138150039,4818.93805716381,4870.08647019423,5056.9915405307,4772.66500754553,4805.10628835923,5257.85033059174,5169.09221061127,5215.54175787388,5491.21674477386,4373.13464432407,4353.98014022013,4379.75032506393,4405.79931416874,4397.9439226413,4491.97342563777,4713.96387186292,4588.44955322651,4628.46087431556,4532.87891969122,4530.26954256686,4596.79659751679,4584.12499933866,4572.77564305845,4667.60567219091,4892.67184894693,4901.05086023918,4909.58593918483,4263.21744713066,4214.87113354119,4211.9232460358,4211.46860157908,4281.28142451225,4211.83894087665,4418.78694820483,4373.55500874651,4363.88109436692,4602.42002400716,4644.84653085867,4661.4600755372,4484.43086459683,4524.45083344363,4956.95317734649,4914.91502064428,4900.98693161643,5103.41630544039
,4,4704.9576255372,4773.64485179388,4886.33445819888,4821.51513152637,4926.59907661757,5360.37713704665,5073.5392903987,5111.84442960849,5944.60895534811,4387.77126014389,4409.05256421467,4471.30809269305,4818.77109857056,4786.12849688567,5015.96297888142,4624.26808917085,4696.66593785519,5308.250824184,5002.4303811768,5008.84851294586,5683.30156837405,4403.54240901645,4388.69641782389,4508.11962536215,4406.73895763181,4367.18980762683,4402.07409781907,4374.22732929125,4379.46821353239,4486.79651132415,4654.35286828191,4628.20034713829,4651.96112418222,4586.23403270034,4590.51635333107,4669.75765076169,4835.08963372448,4889.39921748364,5080.07118642662,4787.70222002547,4823.14598109102,5288.65327368936,5208.19692701749,5242.25306469051,5536.43188762536,4374.16699843533,4353.48664458808,4385.59872604756,4404.93337914167,4397.08196823863,4495.2023492196,4713.97438116979,4590.29097585879,4628.67165350601,4537.28215621917,4538.98825638575,4601.1930233144,4585.28546920245,4578.92665472641,4680.77967885026,4905.36395347723,4917.40705919441,4930.3386317367,4264.476477506,4214.94597569886,4210.60570925135,4209.6634365324,4281.13704601796,4210.01199270124,4413.88482061265,4372.08462730576,4363.0260833148,4617.55866947966,4655.77239408825,4674.58461394361,4501.76646927448,4536.50128367219,4970.88277053038,4933.49802450676,4925.38176475039,5132.77176713483
,5,4733.43220302544,4794.26623435168,4906.80421518829,4842.03591608391,4954.65992418861,5401.1031277826,5107.0975593594,5145.83493055974,6032.56443557674,4387.94961034061,4405.39073985699,4469.79815763603,4838.66032465659,4809.85778135207,5045.03780471071,4633.42672769598,4711.85171708468,5338.02683224249,5027.67535766289,5036.6837698447,5754.07776065434,4402.55375631971,4392.74093480647,4506.22683366832,4406.49086237991,4362.52222134941,4396.36877063618,4374.24312498484,4370.44211469117,4487.23602494125,4645.05931552549,4626.95847645286,4651.51508532506,4585.176764161,4592.34361431354,4671.61541482316,4856.6601386604,4916.02561790259,5100.85291937434,4795.58710843035,4847.79691688956,5314.1830481035,5251.86682284877,5292.7107091405,5608.13463320443,4372.08071396121,4353.53595432509,4386.53967219357,4406.75541052472,4396.94201495915,4495.69502233183,4715.00983093303,4589.47922889023,4629.34847531554,4546.97850682408,4554.74158921821,4614.14544826111,4602.09152484487,4589.36587460496,4692.07162659045,4924.55814834919,4931.04811091805,4951.14387620354,4266.73295540598,4217.44085575914,4217.2272368495,4208.26909119362,4281.28571456201,4207.51443207844,4411.77714994859,4368.53054517121,4356.4068394509,4631.62317419406,4676.28291938666,4684.9142332561,4507.17658672102,4547.09211784313,4988.83555973997,4956.36625114174,4952.17073834319,5162.99939249908
,6,4755.68847761861,4817.15321673533,4935.34512854265,4857.62612662325,4982.11016519315,5442.67091991435,5160.1007331081,5207.5525294409,6167.51063888831,4389.02687034352,4403.85703214766,4473.3427552847,4857.34676978214,4826.81305243768,5068.53459752008,4650.07377269949,4731.25326481566,5373.20200753615,5074.11829583743,5086.21311678567,5854.42701039632,4402.90909846892,4393.75371503209,4513.95198325851,4408.31530590906,4364.46333091276,4402.05214657743,4378.72672749717,4370.76714151286,4488.42381297829,4648.00072254094,4628.91576032822,4649.76804558019,4584.07762583175,4588.13959539443,4674.90366580882,4876.61035504674,4934.60142864845,5129.03961298923,4821.86570642681,4860.63078093579,5343.2313682665,5315.47951497924,5371.27472135116,5714.5664468768,4372.61135476449,4358.2862361329,4385.63883982299,4408.50050407196,4400.28319295599,4500.66727549952,4714.36238983125,4592.03708969548,4630.62954143522,4558.06304384285,4564.48851670925,4632.23236074075,4609.77592791935,4601.65348716241,4703.35890797667,4943.78854431054,4958.24532133777,4978.82284720517,4262.41449551786,4218.93250459102,4210.61140307284,4207.67399864287,4277.02236351236,4211.18387172748,4415.28495856083,4371.47791843956,4365.4503260325,4637.2975495752,4685.15456839134,4706.40097094331,4520.6197915591,4555.38813108956,5013.7209716845,4995.0697540809,4982.01348636821,5205.75504264941
,7,4773.78786412819,4839.73315041651,4963.61366446799,4887.49987461286,5005.71355074984,5483.52447407764,5235.19582227749,5295.22903569181,6375.55791366749,4386.98375295654,4407.53665508431,4474.14586676519,4878.90365534983,4853.98088505082,5087.80065957009,4666.01851899208,4744.65732982087,5406.61976709628,5144.60328601829,5154.28117298028,6023.81782584516,4407.66178778067,4391.54450630852,4517.29196848969,4410.54270727794,4368.95535788003,4402.77293344706,4381.37925372351,4378.98360393822,4492.54540577491,4649.75186920351,4623.85754157158,4658.20996727989,4585.31555339327,4588.35463459635,4683.99128008088,4910.01810648211,4958.55061665912,5166.30557112977,4851.8422182443,4886.41497133621,5387.7619926804,5432.75059229444,5494.4189772069,5887.26704465945,4385.10579138443,4359.21680757811,4391.25250214257,4404.08301569502,4397.52032082833,4502.25572647413,4718.18663498312,4594.59991165366,4633.54268083265,4568.50123235722,4568.9961042371,4642.53529022327,4626.39205759022,4610.66205289324,4723.38872412068,4986.80026713305,5010.94093383269,5028.08601475175,4266.97736446611,4216.54567880244,4216.46425398755,4212.22633155699,4281.72227532279,4211.79148044926,4417.80166704077,4376.1656543724,4364.92353250356,4657.15028824729,4700.86999051389,4717.3590671685,4530.46008941635,4573.05250911111,5040.28535533304,5061.59650762849,5055.96505110404,5285.45443991257
,8,4790.60266994531,4860.21697441047,4985.84850233092,4913.61392249372,5035.12080606337,5528.96754283609,5380.03706581246,5448.72200442033,6707.96433393875,4385.66670656738,4408.5818166211,4479.55648419987,4899.51693414705,4872.04124423548,5128.077911484,4687.65022513839,4770.27699838214,5453.83245081859,5252.7439008064,5273.2267469036,6291.49803702452,4407.88514163595,4390.03047215048,4521.32135298525,4411.12676876639,4366.90261961547,4406.16968539601,4383.63631046847,4381.22578581871,4492.6333321982,4649.24301600688,4634.36606619724,4658.25988569363,4594.89408058925,4594.37333272028,4702.10209163373,4927.02743959437,4982.63018871669,5194.08981751335,4872.17941219749,4912.70075751576,5431.78044368905,5617.03248829735,5692.46260242003,6171.16672385825,4380.80005853858,4357.37265905828,4391.22139921622,4410.52011214613,4402.41538323659,4505.99524317694,4724.85078409905,4598.87241411442,4644.10403404056,4580.68465191763,4588.34449914322,4641.80468503469,4639.75048339865,4619.00461227993,4734.46734549249,5061.16916584483,5078.91176821965,5104.22424672634,4273.61064422384,4222.16431422071,4218.89895990597,4212.68312820812,4289.63558824839,4217.70347180842,4420.53768291973,4377.37557096966,4368.9750391283,4674.08240524218,4716.59508757279,4739.63103794551,4546.94375669535,4586.63782230566,5064.19787409767,5164.32813397894,5161.91376381237,5413.17578211868
,9,4815.88837002117,4880.38129313343,5018.08594342362,4941.93465920539,5074.76548981605,5578.94535103782,5630.64849268432,5721.5405286219,7264.17052935974,4393.12141253362,4411.90867225314,4480.21214303081,4923.38972499462,4895.88552168322,5153.91983334764,4704.04952920485,4793.55446409283,5505.4552518807,5459.20961642497,5504.22374180309,6757.83857348264,4409.62993952429,4397.89152790199,4529.64443356492,4413.38250754747,4374.07772142506,4407.79496561699,4383.00239570975,4380.70434177311,4496.56287305843,4651.6203925519,4632.4232677255,4661.96721007075,4597.70240848127,4600.3515280908,4728.20499926762,4959.80445882481,5010.26662738011,5227.00358868046,4895.74047063239,4939.79759654218,5477.66094425416,5962.18690088734,6071.14094192316,6666.827476982,4380.13627517126,4359.58177581149,4394.9563837607,4415.5795707361,4404.47798497013,4515.24970500649,4734.6308560315,4609.78924730832,4657.27334174568,4591.92014603694,4593.66005143658,4659.25964417073,4657.30721940069,4639.20844585899,4755.86744508744,5188.47423029154,5203.74443384679,5240.88215175838,4274.46861998513,4225.84693914332,4218.75438259878,4210.1835978314,4291.50196231349,4216.7540810949,4425.96430792506,4386.08923823762,4381.95433090808,4691.60294310906,4738.77794036879,4747.95780769288,4560.60692748573,4602.84169585614,5096.43789532527,5353.25571388833,5355.46620670299,5645.83465032526
,10,4837.72457400711,4905.36981502331,5045.12005985476,4979.49403811753,5107.80316371153,5646.19183376847,6074.82646078548,6202.25817452215,8108.56603987417,4391.52741683639,4413.2432343185,4484.75442949045,4951.18011389103,4920.26457197957,5187.82739689884,4732.06071691589,4827.73930629071,5577.33742880726,5828.22995113276,5906.77930607502,7514.06404238555,4413.94888033874,4395.27811265168,4540.78844070694,4414.80577229729,4368.15022358856,4401.9706525579,4385.5401370467,4375.3036523562,4499.99043428391,4656.63467946609,4634.09943183504,4673.60881542185,4601.18967828043,4609.59661291212,4768.67178459837,4987.78431552456,5040.23407700119,5247.65187647696,4927.50425767143,4976.40567059583,5541.13917252368,6566.22888650054,6711.91913823428,7469.96244566833,4382.02578380551,4364.35620222943,4392.79723563161,4421.33355446563,4413.94769019598,4527.97135748564,4756.00504062423,4621.38885593443,4681.06379305014,4598.04846502044,4602.5995687082,4675.42221863606,4674.85397998964,4652.73145114376,4786.85082419475,5408.80751111306,5423.79739300834,5497.61229377133,4275.37527753451,4225.03749065678,4218.10402108391,4212.61375429095,4288.01793661538,4217.94827573923,4439.25901558102,4399.33549593753,4390.96515854921,4707.87152426322,4752.49738532181,4771.26523184885,4583.97627604506,4615.47144533258,5139.29963671775,5689.97942956288,5706.28806765203,6057.12281451017
