,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E2,E3,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G9,H1,H2,H3,H4,H5,H6,H7,H8,H9
,1,4709.57397246689,4711.21375029842,5144.68326631467,4775.45025642217,4704.70485435867,5074.1622284892,5556.42352762191,4971.16702030993,5000.59514504705,4706.27700246594,4658.74722924155,5021.29281034255,4711.95892955425,4616.42765252895,5128.96556430103,4726.01904193792,4623.60269372426,5166.90907358327,5461.67280314913,4863.38892175026,4923.12484288841,4625.50575010704,4686.25730138394,5144.31242780043,4794.15950024786,4691.79841291299,5141.78603293964,4648.95353049161,4700.14912204646,5277.45443212169,5555.74464912368,5056.5234885413,4945.99898770121,4915.51623999992,4905.30913705937,5610.59529549378,4710.37312380932,4717.06439287638,5179.10541480136,4688.89578866378,4684.2863714312,5091.22483712539,5487.50210796628,5020.12103922823,5042.46855232661,4809.26692544235,4631.20074545975,5142.68719838377,4684.68895835345,4634.08088161559,5229.08505671304,5363.46009558554,4915.64183542996,5070.35748892749,4606.7259948409,4579.6312162658,4853.7506302968,4579.84782657504,4549.39272832139,4785.363084678,5138.67641738567,4839.22806813227,5002.52806371901,4686.1894452614,4558.27914379902,5069.63933684149,4651.79593743763,4667.23117657348,5234.7922289349,5272.56826660081,4943.17851668878,5173.07019212782,4613.26519901282,4589.20748066035,5133.21070965462,4655.60790671384,4621.46054818423,5157.86811297588,4170.42133907901,4866.56074604307,5401.48606900257
,2,4772.9736251267,4739.1084898696,5232.05808496096,4830.40286628886,4737.13909267262,5152.38061239094,5656.85737584111,5002.6431328437,5036.37227411545,4720.69791049236,4677.60284351062,5126.78128776717,4740.25453444988,4639.66119859459,5203.37034092995,4762.77591049738,4644.24198196609,5255.11580221032,5549.6909834867,4892.72204634131,4943.15199786826,4626.65147332386,4699.56522896249,5212.00722917954,4837.71320328227,4718.30877290447,5213.68863882349,4680.46639627096,4734.69191798229,5369.91245025988,5639.12337257089,5091.59078327655,4970.20011277487,4927.19855554678,4920.5220889644,5683.73041680113,4725.19398047744,4724.74009986647,5219.40442801736,4705.09223017926,4694.30177847644,5131.31677515854,5528.80525620198,5039.64293839411,5057.83088521869,4840.00228976942,4649.69998086032,5199.61848524124,4708.80508081577,4657.2202548104,5278.15885767906,5413.55883829868,4936.82634560169,5091.66168000993,4611.51803665876,4584.72537768724,4877.63229800003,4593.05769879509,4557.70528468071,4805.41957877734,5154.50447219696,4841.57163326455,5006.08611004084,4707.36494276432,4578.19587303609,5116.72802902855,4675.82863342024,4691.14981936284,5288.16169448341,5315.31116896933,4966.15788597605,5191.24878886121,4641.92862995061,4601.58917004344,5194.11136768354,4684.76966566523,4641.6421414352,5221.77249530632,4175.56882071121,4906.81595822472,5457.92346721092
,3,4799.62324135984,4755.3588815688,5274.59548564151,4863.57902786104,4760.14546284107,5194.41365839948,5731.92912641181,5033.06038992561,5067.54859207019,4735.93039812391,4690.83361440035,5180.4379000766,4760.45307823675,4651.66808233271,5236.48712105715,4787.28560162413,4665.72115810289,5299.63067342365,5612.44696054507,4918.91663002793,4979.34960787241,4636.01553840068,4710.59689944808,5247.1218642445,4867.29956581915,4745.00474384939,5257.22554263858,4701.05172377692,4756.475983657,5420.09519481689,5709.20429714898,5123.43622146339,4997.73101358742,4945.59876949019,4939.84511285958,5747.24725693086,4737.47203349331,4736.28278317551,5246.42930747339,4719.41311911408,4703.68509592182,5153.26453368306,5572.75550460315,5058.20161722867,5075.11873443407,4860.15169345738,4666.10706871808,5237.93305543342,4724.61713693058,4674.47069230445,5308.16163241043,5464.05372749712,4965.02007688344,5120.19076694599,4621.46877569686,4591.77273580046,4887.59835150418,4596.76016927127,4555.60806436272,4818.86589858356,5171.46656470972,4857.14036277953,5017.40341526799,4716.86888271681,4583.89453217195,5156.00969875934,4693.31364111861,4701.73542725265,5317.07205571182,5357.87407883563,4989.60489843421,5223.19071977385,4659.70122676156,4619.03398841257,5226.27219178775,4701.03943986581,4653.17279239289,5246.95650795079,4181.51518574475,4929.22847548644,5508.5771192888
,4,4821.65694514976,4774.24456946924,5308.98501403858,4881.13976441224,4776.43561326102,5230.82776542242,5813.98621974249,5070.04836337049,5102.17310285226,4751.91688909652,4703.50546980665,5222.01783519694,4781.72988155832,4664.4767011003,5287.18447224567,4814.4761712559,4680.10641763562,5328.90402186227,5693.24081763708,4951.0133000077,5003.02177858457,4650.02763764218,4726.8283754056,5275.04897411989,4885.48563171036,4761.08034314873,5291.36197256984,4722.79348084928,4773.3540006147,5457.36318282268,5785.91444733335,5168.86019540697,5023.88471157567,4970.83322597039,4970.58957130057,5828.88634705014,4755.06715439192,4751.8744013614,5269.24386278663,4732.54821548051,4715.35946958598,5174.00608561312,5640.84784214732,5095.73430573574,5104.22095651004,4880.86069774503,4686.21438831915,5266.56919334251,4743.23772594891,4682.89310203382,5343.2201081253,5536.02549691387,4991.39906626612,5156.94349004506,4628.57859162895,4597.42855249333,4913.46612961135,4610.87857417632,4568.13678250435,4836.65277437718,5205.0926669934,4868.40575510123,5038.45424688024,4730.55647449754,4603.66915776491,5181.89825175933,4704.88478242587,4723.9868044102,5356.53999503695,5417.51786094195,5024.92914487324,5275.72825491203,4674.77949067921,4640.77355817979,5251.375136986,4715.30727197185,4668.67586368699,5283.96652453257,4180.46974482088,4962.89756668737,5577.19787935892
,5,4837.59476695496,4792.11981321073,5342.77742861184,4913.40838500302,4801.86600600582,5263.61156369694,5925.71703456816,5118.57494938875,5153.94671779493,4768.52451762511,4714.41673743822,5256.70164490816,4800.55551286014,4676.92444437931,5320.58217316355,4828.88590686793,4699.19601033225,5375.39392112014,5800.04393850616,4994.48284794052,5050.54677162209,4659.00014187437,4742.91124369539,5311.52980320928,4903.70099362625,4780.55164807036,5330.17769201159,4747.91119297559,4796.04759864395,5497.08866796731,5892.41856216451,5219.06706044841,5066.41754659993,5012.42480518438,5009.73539195162,5954.15272885192,4770.91258062789,4772.21061767493,5303.89766593308,4751.82304000947,4734.04081924845,5199.88485912301,5727.00307736723,5135.07785961713,5152.15090967412,4898.19723473673,4704.3008368349,5303.55384810448,4760.81863692099,4698.73148105246,5380.54876690833,5624.69372301767,5043.5294862433,5211.41309982717,4636.98863851159,4608.58335477652,4931.94722662889,4625.995194105,4571.69792589604,4849.82899154256,5243.80054485135,4886.21778835431,5061.54314543975,4749.79817644403,4623.97354796806,5213.77224832189,4725.71285757484,4736.54754738046,5390.81126895795,5502.47589635374,5080.06342636475,5348.84158709233,4690.26676815753,4645.9636777565,5291.57369423017,4734.8690743474,4676.9504240824,5315.64412096995,4186.91399548979,5016.03539960149,5687.14907792453
,6,4861.29503724005,4809.53920454797,5379.46469111318,4937.81775760683,4820.29417721121,5302.5155700612,6108.11503990649,5205.46682842406,5237.80708208406,4785.52831504212,4732.51531346901,5287.09639139239,4811.06501269502,4690.09353049339,5348.45167326165,4850.48927189329,4712.48839627557,5404.77038895311,5975.1548139698,5055.83362879798,5115.44809031945,4671.66414116823,4759.76283223264,5336.89987131639,4930.3131957852,4795.38806618565,5361.23099062889,4767.54110733335,4813.06424466884,5538.44426438235,6063.12014720864,5305.05446926988,5137.13609872779,5087.22948958944,5079.64077738029,6159.57794258567,4781.7946084632,4776.91404363403,5342.90445642492,4767.46456478789,4743.09688554243,5230.96985189669,5864.10537812505,5210.24428390187,5225.9439442123,4923.99865405334,4715.35586726948,5345.98021819705,4789.02762515512,4720.39190348638,5421.9087947626,5776.80028657865,5112.16335180929,5299.26641460161,4649.89663580403,4617.52106188732,4951.19245278586,4639.32979478841,4583.80943729977,4864.88366237644,5294.95524175679,4907.17676435142,5101.75080045722,4766.07500241876,4638.44972713199,5238.67946026342,4744.42493314959,4751.87560245741,5426.26705122195,5637.47134337833,5165.33672826638,5469.68697511411,4706.31440291217,4666.1686013229,5325.09579958456,4759.24380728483,4696.32717757954,5356.28147449117,4190.84213349744,5097.80509130322,5853.20072692712
,7,4882.03780625551,4824.84657411507,5411.52416760543,4957.7613674718,4836.42604355852,5337.52907786268,6409.90910136239,5346.41319153444,5377.13330538985,4803.48265771174,4748.61839108416,5316.87720023289,4831.30446987227,4710.988787404,5383.56447324276,4870.1507225814,4723.99464463847,5439.69953411599,6275.04063057843,5177.61527548441,5227.88839331202,4682.87167696741,4769.1438315138,5366.90030076993,4947.899927978,4813.95932875014,5395.53909667817,4781.29325368136,4831.7566734725,5566.95646696577,6328.90972601413,5444.04958908798,5240.91250354772,5200.11880566628,5197.21790433125,6508.9418892632,4807.30489752545,4795.50713962708,5373.99073983928,4791.53511822691,4765.83386541925,5270.08137299421,6105.58183154256,5323.10901873464,5343.46903656734,4954.29489198169,4740.43904321002,5386.09161460871,4812.57275811985,4738.24927839496,5465.95516599172,6025.6679661992,5231.26783095177,5450.92459057458,4661.91283949675,4629.47872440848,4970.99521953678,4657.73506276336,4594.30091951306,4883.62615608964,5377.47568371472,4956.24325781627,5162.63063753957,4783.76351763523,4655.19370405489,5268.22453882261,4764.53337449274,4769.14540043141,5459.72922053361,5868.59737168195,5309.78308668325,5680.07618185629,4724.33889980811,4683.29450127841,5362.65538350148,4782.2541773378,4716.21187088567,5387.47246073685,4195.04561572901,5242.14438255546,6136.01567718184
,8,4900.64732434101,4850.45684266179,5454.090841503,4988.31074266958,4864.96610518792,5375.56257247038,6907.37963692768,5593.00011629143,5627.7746065947,4814.48910177428,4755.72615005256,5344.34924373467,4852.43406956249,4719.64447018544,5425.6578592924,4898.82611524833,4740.93304128458,5482.38623715456,6775.78667355219,5371.58183783433,5441.53473944172,4700.58156605791,4784.83454379647,5400.46965042687,4974.73380219903,4832.94508205346,5427.29159687052,4804.9844796868,4845.93276082316,5612.35105598705,6804.44394394406,5693.77165391042,5439.09190403794,5415.66715773401,5404.0933402586,7098.32048315819,4828.98313414719,4815.55459038516,5411.43563396809,4809.05284655364,4788.62545816474,5300.56518704499,6504.54751737473,5546.92835324345,5560.99742506776,4980.10163760487,4757.64685023542,5434.2186935505,4831.81342269718,4763.51841599962,5510.39290910355,6443.55446867805,5434.90477139442,5713.2947210696,4672.7811609318,4639.72645797045,4987.55604656519,4668.95206714998,4610.67882833489,4910.05583263206,5526.78722563435,5010.55475640387,5264.57025312534,4808.99693095053,4667.57866815804,5303.12582970534,4783.84807056602,4790.15044481031,5503.42121143485,6265.12594414599,5571.46393339492,6041.92204439825,4746.51907529358,4698.66637103125,5405.07840786245,4808.53307104917,4735.67160645265,5426.78930453711,4193.2282066611,5486.52241057059,6635.28402353825
,9,4926.96299491401,4865.61751378082,5495.17376322794,5018.10324290424,4886.97865041124,5425.74116354532,7743.08296196077,6048.57524456246,6084.79589124274,4842.72264451647,4778.91613718661,5382.24002888769,4872.93558898963,4740.7192713208,5461.40613653835,4919.82428057997,4762.48491561855,5531.95218052254,7582.31665060146,5759.33025130376,5819.62917840027,4722.05125797742,4809.10876795295,5442.69344800573,4993.48809850053,4853.43696438744,5462.9037344605,4828.07293199943,4874.92743098014,5659.1435770986,7564.86668543633,6140.52168462325,5798.3835942242,5819.64471478058,5803.68642104478,8020.92643496985,4847.33492013711,4837.0596978185,5452.75591550084,4834.69953951867,4812.77704423435,5352.80566518588,7171.08295488231,5924.24654916231,5945.19382639809,5014.34337621352,4787.75128205876,5485.13923889807,4862.89766956654,4782.02344926068,5565.9681964079,7145.47122364702,5810.27129788705,6189.65987171092,4690.91746301751,4650.62801882497,5010.74870465622,4684.4382692595,4616.90454661461,4936.58960449328,5784.34265280451,5136.14149182835,5453.79346240045,4830.98595740231,4687.69951530441,5341.74071618229,4816.06557970788,4812.25046445846,5555.02022513622,6957.65797005311,6048.37208158064,6684.75061983423,4771.23236624292,4723.02953652437,5443.21144522706,4825.16769227026,4759.31721406678,5477.02341605806,4199.95791131363,5956.14744538511,7464.1245953275
,10,4943.55818536193,4887.39174460738,5539.11531664245,5053.59263528643,4909.87394096773,5479.93982286352,8839.07489675653,6804.67472265505,6845.52907434025,4856.55815735083,4794.20636014498,5415.02624041323,4897.72701723902,4753.55341579042,5497.936385162,4952.36145046363,4784.50745326156,5580.10629267326,8644.65153516764,6415.57060555943,6477.15747688732,4736.64297902039,4833.84674587801,5484.64195494291,5021.3169396092,4874.27555186284,5498.91330941795,4855.01263936208,4893.7260094384,5710.51502131541,8585.78836328235,6901.17248916029,6428.90484728059,6510.20704169618,6489.99221019303,9177.05323638169,4876.86852646205,4859.68617473378,5504.82487357239,4864.12734619782,4834.02045779886,5397.57444057416,8122.08583089228,6595.27296951098,6622.25209881805,5039.53440679814,4808.95447034231,5534.79421368638,4898.80577719009,4806.39933710844,5635.68836409936,8157.34247934889,6465.53443259916,6998.70608754224,4703.34810096114,4668.67622101078,5033.41887000056,4702.56086874227,4636.25978968252,4974.04457032664,6232.15855832747,5358.38798894014,5789.13265309071,4845.68301145463,4708.06611947534,5377.23771949847,4837.59339762699,4835.53098165287,5608.70658926521,7988.62290658306,6849.64719086896,7673.8590247785,4794.09931429196,4746.88345460102,5482.23725616033,4856.0758361356,4780.40085501664,5526.14002464747,4203.54917295753,6743.86377404357,8570.93940256949
